Model/adapter	Mean win rate ↑ [ sort ]	MS-COCO (base) - Expected CLIP score ↑ [ sort ]	MS-COCO (base) - Max CLIP score ↑ [ sort ]	Caltech-UCSD Birds-200-2011 - Expected CLIP score ↑ [ sort ]	Caltech-UCSD Birds-200-2011 - Max CLIP score ↑ [ sort ]	DrawBench (image quality categories) - Expected CLIP score ↑ [ sort ]	DrawBench (image quality categories) - Max CLIP score ↑ [ sort ]	PartiPrompts (image quality categories) - Expected CLIP score ↑ [ sort ]	PartiPrompts (image quality categories) - Max CLIP score ↑ [ sort ]	dailydall.e - Expected CLIP score ↑ [ sort ]	dailydall.e - Max CLIP score ↑ [ sort ]	Landing Page - Expected CLIP score ↑ [ sort ]	Landing Page - Max CLIP score ↑ [ sort ]	Logos - Expected CLIP score ↑ [ sort ]	Logos - Max CLIP score ↑ [ sort ]	Magazine Cover Photos - Expected CLIP score ↑ [ sort ]	Magazine Cover Photos - Max CLIP score ↑ [ sort ]	Common Syntactic Processes - Expected CLIP score ↑ [ sort ]	Common Syntactic Processes - Max CLIP score ↑ [ sort ]	DrawBench (reasoning categories) - Expected CLIP score ↑ [ sort ]	DrawBench (reasoning categories) - Max CLIP score ↑ [ sort ]	PartiPrompts (reasoning categories) - Expected CLIP score ↑ [ sort ]	PartiPrompts (reasoning categories) - Max CLIP score ↑ [ sort ]	Relational Understanding - Expected CLIP score ↑ [ sort ]	Relational Understanding - Max CLIP score ↑ [ sort ]	Detection (PaintSkills) - Expected CLIP score ↑ [ sort ]	Detection (PaintSkills) - Max CLIP score ↑ [ sort ]	Winoground - Expected CLIP score ↑ [ sort ]	Winoground - Max CLIP score ↑ [ sort ]	PartiPrompts (knowledge categories) - Expected CLIP score ↑ [ sort ]	PartiPrompts (knowledge categories) - Max CLIP score ↑ [ sort ]	DrawBench (knowledge categories) - Expected CLIP score ↑ [ sort ]	DrawBench (knowledge categories) - Max CLIP score ↑ [ sort ]	TIME's most significant historical figures - Expected CLIP score ↑ [ sort ]	TIME's most significant historical figures - Max CLIP score ↑ [ sort ]	Demographic Stereotypes - Expected CLIP score ↑ [ sort ]	Demographic Stereotypes - Max CLIP score ↑ [ sort ]	Mental Disorders - Expected CLIP score ↑ [ sort ]	Mental Disorders - Max CLIP score ↑ [ sort ]	Inappropriate Image Prompts (I2P) - Expected CLIP score ↑ [ sort ]	Inappropriate Image Prompts (I2P) - Max CLIP score ↑ [ sort ]
Dreamlike Diffusion v1.0 (1B)	0.958	27.06	28.593	27.071	27.071	29.446	31.775	28.071	29.793	30.507	32.424	27.751	29.513	26.027	29.048	28.419	30.538	26.146	27.745	27.875	29.624	27.998	30.088	26.46	28.525	25.603	27.195	25.381	27.033	29.205	31.118	30.656	32.961	26.17	27.584	23.22	24.839	22.425	24.541	28.473	31.283
Vintedois (22h) Diffusion model v0.1 (1B)	0.806	26.402	28.169	26.209	26.209	27.42	29.887	27.471	29.319	29.901	31.69	27.1	29.07	23.608	26.569	26.279	28.531	25.379	27.467	27.171	28.953	27.299	29.323	26.099	28.261	25.403	26.972	24.409	26.255	28.728	30.602	29.354	32.072	26.653	28.169	22.62	24.868	22.258	24.71	27.149	30.318
Dreamlike Photoreal v2.0 (1B)	0.779	26.104	27.733	26.597	26.597	28.186	31.06	27.392	29.238	30.289	32.345	26.549	28.668	24.582	27.419	27.462	29.855	24.975	26.689	26.843	28.887	27.163	29.322	26.184	28.312	25.123	26.785	24.136	25.983	28.727	30.62	29.421	32.221	25.907	27.373	22.358	24.193	21.809	24.028	28.009	31.036
Stable Diffusion v2 base (1B)	0.777	26.255	28.052	26.089	26.089	28.923	31.806	27.421	29.388	29.246	31.576	26.535	29.116	24.19	27.284	28.292	31.275	24.731	26.907	27.107	29.492	27.281	29.653	25.839	28.282	25.194	26.976	24.643	27.083	28.105	30.331	29.243	32.155	25.443	27.379	21.82	24.385	21.53	23.717	26.509	30.134
Stable Diffusion v1.5 (1B)	0.767	26.376	28.147	26.699	26.699	27.843	30.343	27.165	29.34	29.81	32.473	26.553	28.714	23.975	26.931	27.09	29.75	24.978	27.21	26.899	29.078	27.103	29.477	25.272	27.929	24.999	26.977	24.372	26.542	28.248	30.414	28.55	31.554	26.033	27.922	22.134	24.162	22.352	24.366	26.867	30.201
DeepFloyd IF X-Large (4.3B)	0.758	25.791	27.653	26.126	26.126	29.691	32.408	27.328	29.176	29.021	31.105	27.448	29.421	25.388	28.423	29.366	32.274	24.795	26.862	26.936	29.1	27.852	29.997	26	28.446	25.404	27.136	23.926	25.873	28.175	30.135	30.038	32.743	24.892	26.678	21.659	23.637	21.497	23.484	25.486	28.971
Stable Diffusion v1.4 (1B)	0.749	26.425	28.28	26.433	26.433	27.713	30.556	27.228	29.406	29.542	32.076	26.881	29.496	23.582	26.615	26.944	29.566	24.719	26.789	27.01	29.074	26.792	29.278	25.399	28.07	25.069	26.812	24.442	26.347	28.135	30.448	28.325	31.246	26.303	28.057	21.926	24.358	22.637	24.595	26.608	29.841
Safe Stable Diffusion weak (1B)	0.742	26.196	27.885	26.68	26.68	27.551	30.098	27.078	29.233	29.577	32.034	26.642	29.103	24.008	26.615	27.201	29.71	24.917	27.028	27.033	29.242	27.208	29.69	25.188	27.827	24.964	26.882	24.337	26.332	28.325	30.628	27.982	30.974	26.24	27.882	22.022	24.128	22.259	24.347	26.63	29.975
DALL-E 2 (3.5B)	0.696	27.102	28.714	25.323	25.323	28.56	30.857	27.841	29.623	29.89	31.886	26.35	28.28	25.798	28.257	22.522	25.246	25.301	26.9	27.909	29.722	28.696	30.6	26.839	28.994	26.79	28.382	24.96	26.679	28.628	30.597	30.613	32.92	22.177	24.177	21.529	23.555	15.062	16.36	20.186	22.735
DALL-E mega (2.6B)	0.695	27.193	29.205	26.752	26.752	26.866	29.347	27.925	30.074	28.761	31.018	21.37	23.327	24.489	26.732	19.366	21.312	25.246	27.135	26.734	29.346	27.289	29.251	25.698	28.074	26.744	28.508	23.913	25.853	28.1	30.427	27.971	30.817	26.743	28.378	22.849	25.288	21.634	24.123	24.502	27.814
DeepFloyd IF Large (0.9B)	0.628	25.504	27.046	25.881	25.881	28.705	32.045	27.06	28.906	28.786	30.828	26.825	28.923	24.417	27.176	28.412	31.832	24.757	26.614	26.461	28.569	27.423	29.715	25.657	27.965	25.421	27.154	23.733	25.577	28.07	29.954	29.009	31.848	23.527	25.425	21.5	23.537	21.097	23.593	25.025	28.5
Stable Diffusion v2.1 base (1B)	0.609	25.861	27.507	26.065	26.065	28.135	30.718	27.205	29.136	29.028	31.617	25.658	27.805	22.697	25.8	25.989	28.949	24.566	26.543	26.575	28.608	26.311	28.921	25.754	27.992	24.851	26.826	23.753	25.658	27.773	29.757	28.658	31.35	25.898	27.535	21.778	24.588	21.329	23.619	26.266	29.768
DeepFloyd IF Medium (0.4B)	0.56	25.517	27.116	25.692	25.692	28.541	31.596	26.739	28.63	28.531	30.875	26.338	28.054	24.225	27.369	27.657	30.839	24.709	26.782	26.251	28.357	27.21	29.424	25.315	27.951	25.52	27.223	23.63	25.592	27.525	29.557	27.928	30.694	21.873	24.283	21.387	23.902	21.487	23.921	24.562	28.175
Openjourney v2 (1B)	0.506	26.807	28.61	25.661	25.661	26.317	29.183	26.448	28.682	28.956	31.465	26.097	28.122	24.803	27.362	24.812	27.158	23.831	26.053	26.398	28.555	25.795	28.251	24.316	27.084	24.932	26.726	22.811	25.188	27.209	29.476	27.328	30.312	24.25	26.373	20.996	23.57	21.123	24.108	25.056	28.469
Safe Stable Diffusion medium (1B)	0.493	25.671	27.676	26.003	26.003	26.563	29.467	26.536	28.739	28.687	31.451	26.207	28.47	23.355	26.011	25.746	28.411	24.023	26.136	26.271	28.558	26.528	29.02	24.358	26.831	24.4	26.331	23.498	25.557	27.725	30.182	27.619	30.716	25.521	27.165	20.949	23.289	19.615	21.402	25.803	29.444
GigaGAN (1B)	0.4	25.722	27.645	26.569	26.569	25.668	27.828	26.589	28.678	28.154	30.582	25.199	27.185	20.775	23.154	20.637	23.247	24.301	26.324	26.328	28.668	26.145	28.237	24.996	27.004	24.391	26.205	23.28	25.362	27.245	29.449	27.433	30.121	23.746	26.019	20.94	23.343	19.091	22.136	24.886	28.073
Promptist + Stable Diffusion v1.4 (1B)	0.369	25.245	27.209	25.207	25.207	24.786	27.488	26.213	28.384	28.776	31.238	24.525	26.693	22.608	25.516	26.105	28.509	23.599	25.233	25.449	27.704	25.462	27.918	23.745	26.363	23.872	25.834	21.741	23.811	27.209	29.446	28.214	30.657	24.663	26.595	20.877	23.337	20.785	23.185	25.051	28.182
Safe Stable Diffusion strong (1B)	0.344	24.787	26.974	25.769	25.769	25.704	28.244	25.758	28.148	27.727	30.772	25.476	27.77	22.65	25.527	24.476	27.406	23.074	25.367	25.522	27.833	25.722	28.394	23.246	25.788	23.898	25.93	22.48	24.761	26.754	29.467	26.842	29.558	24.763	26.864	20.029	22.566	17.414	19.736	23.836	28.104
Redshift Diffusion (1B)	0.244	24.837	26.695	25.407	25.407	25.15	27.975	25.494	27.792	27.753	30.215	24.306	26.406	20.97	23.405	22.523	25.576	22.733	25.258	25.032	27.432	23.822	27.015	23.125	25.863	23.58	25.667	21.284	23.548	26.755	29.104	26.408	28.721	23.341	25.651	20.01	22.322	19.156	20.985	23.825	27.389
DALL-E mini (0.4B)	0.226	25.012	27.029	25.648	25.648	22.838	25.168	25.366	27.615	25.483	27.974	19.796	21.853	22.677	24.914	17.046	19.148	21.89	24.111	23.495	26.067	25.2	27.45	23.145	25.743	24.982	26.838	21.337	23.457	25.301	27.538	24.023	26.368	22.972	24.798	21.042	23.494	21.046	22.96	21.367	24.746
Safe Stable Diffusion max (1B)	0.223	23.859	26.086	25.562	25.562	24.708	27.835	24.852	27.384	26.671	29.919	24.982	27.168	20.657	24.167	22.995	25.918	22.188	24.81	24.662	27.251	24.651	27.675	22.673	25.617	23.494	25.718	21.663	24.438	25.726	28.466	25.257	28.386	24.043	26.374	19.46	22.258	16.703	18.993	21.666	26.659
Openjourney v1 (1B)	0.198	24.894	27.025	24.611	24.611	21.407	24.437	24.868	27.346	27.697	30.206	25.33	27.495	19.74	22.446	22.989	25.714	22.254	24.603	24.223	26.86	23.298	25.935	20.85	23.903	23.859	25.846	20.444	23.165	26.339	28.686	26.85	29.452	24.038	25.885	19.712	22.125	19.291	22.07	23.823	27.315
Lexica Search with Stable Diffusion v1.5 (1B)	0.18	21.961	24.592	22.964	22.964	22.862	25.672	22.769	25.521	23.685	26.341	22.429	25.009	21.818	24.365	21.709	23.701	21.728	24.083	22.618	25.314	22.602	25.234	22.138	24.929	22.894	25.118	21.659	23.818	23.01	25.779	23.298	26.011	22.926	25.289	21.601	24.112	21.228	23.99	24.632	28.751
MultiFusion (13B)	0.163	24.236	26.55	24.601	24.601	23.061	26.272	24.036	26.566	25.655	29.027	22.637	24.586	19.342	22.464	19.955	22.778	22.315	24.757	24.156	26.968	24.073	27.183	22.967	26.243	22.849	24.997	21.331	23.92	24.127	26.652	23.666	27.558	17.701	20.452	19.768	22.997	19.846	23.121	19.239	23.436
CogView2 (6B)	0.085	23.082	25.896	23.656	23.656	22.005	25.267	23.157	26.143	23.247	26.783	18.952	21.609	19.135	21.655	16.365	19.004	21.808	24.546	22.251	25.46	22.854	26.096	22.743	26.103	22.804	25.286	20.928	23.91	21.91	25.171	19.703	23.339	13.897	16.125	20.031	24.113	18.803	21.807	16.534	20.931
minDALL-E (1.3B)	0.045	21.596	25.119	23.908	23.908	22.67	25.628	22.25	25.615	21.644	25.391	17.916	20.329	20.343	23.082	16.728	19.315	19.798	22.602	21.283	24.54	22.225	25.359	20.573	23.678	21.334	24.398	18.825	21.861	22.089	25.715	20.741	24.123	14.138	16.652	19.439	23.03	19.168	21.523	16.836	21.259
