Model/adapter	Mean win rate ↑ [ sort ]	MS-COCO (base) - Image text alignment (human) ↑ [ sort ]	MS-COCO (fairness - gender) - Image text alignment (human) ↑ [ sort ]	MS-COCO (fairness - AAVE dialect) - Image text alignment (human) ↑ [ sort ]	MS-COCO (robustness) - Image text alignment (human) ↑ [ sort ]	MS-COCO (Chinese) - Image text alignment (human) ↑ [ sort ]	MS-COCO (Hindi) - Image text alignment (human) ↑ [ sort ]	MS-COCO (Spanish) - Image text alignment (human) ↑ [ sort ]	MS-COCO (Art styles) - Image text alignment (human) ↑ [ sort ]	DrawBench (image quality categories) - Image text alignment (human) ↑ [ sort ]	PartiPrompts (image quality categories) - Image text alignment (human) ↑ [ sort ]	dailydall.e - Image text alignment (human) ↑ [ sort ]	Landing Page - Image text alignment (human) ↑ [ sort ]	Logos - Image text alignment (human) ↑ [ sort ]	Magazine Cover Photos - Image text alignment (human) ↑ [ sort ]	Common Syntactic Processes - Image text alignment (human) ↑ [ sort ]	DrawBench (reasoning categories) - Image text alignment (human) ↑ [ sort ]	PartiPrompts (reasoning categories) - Image text alignment (human) ↑ [ sort ]	Relational Understanding - Image text alignment (human) ↑ [ sort ]	Detection (PaintSkills) - Image text alignment (human) ↑ [ sort ]	Winoground - Image text alignment (human) ↑ [ sort ]	PartiPrompts (knowledge categories) - Image text alignment (human) ↑ [ sort ]	DrawBench (knowledge categories) - Image text alignment (human) ↑ [ sort ]	TIME's most significant historical figures - Image text alignment (human) ↑ [ sort ]
DALL-E 2 (3.5B)	0.941	4.438	4.534	4.416	4.58	3.902	1.798	4.247	4.216	3.9	4.262	4.416	4.256	4.416	4.104	4.062	3.97	4.16	3.7	4.36	4.16	4.1	4.1	4.227
Dreamlike Photoreal v2.0 (1B)	0.748	4.346	4.312	4.18	4.253	1.966	2.324	3.128	4.068	3.98	4.296	4.552	4.32	4.232	4.152	3.569	3.553	3.8	3.24	3.747	3.48	4.082	3.818	4.488
Stable Diffusion v1.4 (1B)	0.723	4.214	4.202	4.136	4.115	2.224	1.788	3.276	4.154	3.83	4.118	4.256	4.12	4.232	4.032	3.492	3.667	3.5	3.36	3.853	4.06	3.865	3.641	4.429
Safe Stable Diffusion strong (1B)	0.63	4.026	4.113	4.112	3.97	2.126	2.152	3.468	3.958	3.65	4.047	3.832	3.904	3.776	3.68	3.296	3.73	3.58	3.24	3.853	4.12	3.853	3.576	4.558
DALL-E mega (2.6B)	0.6	4.056	4.16	4.061	4.071	2.474	1.794	3.388	4.012	3.63	4.156	3.88	3.92	3.92	3.688	3.281	3.527	3.9	3.34	3.9	3.48	3.906	3.371	3.894
Openjourney v1 (1B)	0.586	4.16	4.044	3.908	3.968	2.368	2.136	2.634	4.112	3.94	4.098	4.448	4.056	4.224	4.016	3.477	3.33	3.6	2.38	3.867	3.02	3.982	3.494	4.279
Dreamlike Diffusion v1.0 (1B)	0.56	4.024	3.934	3.978	3.975	2.964	2.79	3.548	3.756	3.48	3.947	3.872	3.784	3.488	3.384	3.435	3.6	3.72	3.38	3.7	4.06	3.847	3.765	3.912
Promptist + Stable Diffusion v1.4 (1B)	0.551	4	4.113	3.994	4.166	2.172	1.68	2.802	3.938	3.64	3.924	3.864	3.872	3.712	3.616	3.419	3.643	3.6	3.32	3.987	3.28	4.029	3.553	4.059
MultiFusion (13B)	0.543	4.106	4.061	3.881	4.046	2.962	1.916	3.832	4.206	3.8	3.967	4.2	4.032	4	3.896	3.096	3.173	3.7	3.26	3.673	3.4	3.659	3.465	3.271
DeepFloyd IF X-Large (4.3B)	0.537	3.818	3.965	3.937	3.931	2.978	2.824	3.706	3.766	3.81	3.831	3.568	3.504	3.432	3.552	3.708	3.68	3.74	3.68	3.72	3.84	3.718	3.612	3.841
DeepFloyd IF Medium (0.4B)	0.517	3.754	3.91	3.876	3.885	3.006	3.046	3.704	3.786	3.98	3.771	3.608	3.688	3.576	3.68	3.45	3.597	3.64	3.46	3.633	3.58	3.771	3.747	3.706
DeepFloyd IF Large (0.9B)	0.508	3.798	4.01	3.903	3.968	2.888	3.06	3.776	3.73	3.68	3.836	3.536	3.48	3.616	3.632	3.427	3.593	3.64	3.52	3.673	3.94	3.753	3.706	3.929
Stable Diffusion v2.1 base (1B)	0.508	3.672	4.094	3.947	3.811	2.976	2.762	3.552	3.866	3.68	3.798	3.664	3.528	3.648	3.568	3.562	3.567	3.64	3.6	3.92	3.82	3.659	3.359	3.947
GigaGAN (1B)	0.506	3.692	3.88	3.868	3.851	3.456	3.246	3.728	3.88	3.84	3.787	3.592	3.512	3.52	3.696	3.477	3.71	3.62	3.82	3.707	3.56	3.671	3.371	3.906
Stable Diffusion v2 base (1B)	0.506	3.69	4.05	3.898	3.837	3.106	2.726	3.7	3.784	3.88	3.942	3.648	3.56	3.624	3.48	3.565	3.567	3.92	3.34	3.847	3.3	3.512	3.624	3.853
Openjourney v2 (1B)	0.499	3.802	3.931	4.007	3.916	2.936	2.808	3.656	3.822	3.35	3.9	3.76	3.792	3.664	3.496	3.404	3.617	3.64	3.34	3.62	3.88	3.647	3.624	3.771
Vintedois (22h) Diffusion model v0.1 (1B)	0.461	3.716	3.899	3.803	3.716	2.896	2.7	3.602	3.87	3.74	3.964	3.656	3.552	3.632	3.408	3.638	3.617	3.52	3.3	3.673	4.06	3.676	3.718	3.653
Safe Stable Diffusion weak (1B)	0.45	3.73	3.87	3.831	3.816	2.862	2.736	3.534	3.92	3.79	3.876	3.744	3.592	3.552	3.648	3.427	3.483	3.86	3.32	3.693	3.52	3.947	3.7	3.635
Stable Diffusion v1.5 (1B)	0.445	3.708	4.102	3.942	3.784	2.93	2.79	3.518	3.844	3.81	3.949	3.6	3.536	3.464	3.568	3.519	3.607	3.5	3.08	3.647	3.66	3.812	3.688	3.77
Safe Stable Diffusion medium (1B)	0.424	3.696	3.733	3.761	3.742	3	2.746	3.55	3.728	3.76	3.887	3.68	3.552	3.632	3.624	3.6	3.613	3.88	3.12	3.587	3.78	3.724	3.482	3.697
Redshift Diffusion (1B)	0.398	3.572	3.934	3.813	3.671	3.042	2.714	3.134	3.694	3.93	3.802	3.792	3.736	3.616	3.664	3.485	3.51	3.34	2.96	3.833	3.36	3.941	3.524	3.659
DALL-E mini (0.4B)	0.397	3.692	3.686	3.676	3.665	2.936	2.832	3.304	3.524	3.39	3.782	3.712	3.736	3.76	3.648	3.235	3.617	3.84	3.08	3.827	3.66	3.871	3.553	3.853
Safe Stable Diffusion max (1B)	0.37	3.712	3.894	3.774	3.823	2.832	2.896	3.538	3.714	3.52	3.771	3.608	3.6	3.584	3.44	3.265	3.617	3.52	2.92	3.76	3.84	3.653	3.7	3.927
minDALL-E (1.3B)	0.282	3.672	3.592	3.531	3.535	2.932	2.872	2.904	3.44	3.51	3.711	3.816	3.736	3.88	3.744	3.285	3.503	3.38	3.22	3.513	3.66	3.729	3.335	3.247
Lexica Search with Stable Diffusion v1.5 (1B)	0.16	3.496	3.24	3.464	3.472	2.338	1.7	2.848	3.556	3.46	3.762	3.624	3.944	3.768	3.424	3.162	3.1	3.12	3	3.46	3.14	3.347	2.871	4.035
CogView2 (6B)	0.15	3.688	3.744	3.575	3.621	3.842	1.734	1.766	3.53	3.63	3.731	3.584	3.744	3.688	3.496	3.008	3.117	2.9	2.96	3.44	2.86	3.324	2.659	2.888
