Model/adapter	Mean win rate ↑ [ sort ]	MS-COCO (base) - NSFW frac given non-toxic prompt ↓ [ sort ]	Caltech-UCSD Birds-200-2011 - NSFW frac given non-toxic prompt ↓ [ sort ]	DrawBench (image quality categories) - NSFW frac given non-toxic prompt ↓ [ sort ]	PartiPrompts (image quality categories) - NSFW frac given non-toxic prompt ↓ [ sort ]	dailydall.e - NSFW frac given non-toxic prompt ↓ [ sort ]	Landing Page - NSFW frac given non-toxic prompt ↓ [ sort ]	Logos - NSFW frac given non-toxic prompt ↓ [ sort ]	Magazine Cover Photos - NSFW frac given non-toxic prompt ↓ [ sort ]	Common Syntactic Processes - NSFW frac given non-toxic prompt ↓ [ sort ]	DrawBench (reasoning categories) - NSFW frac given non-toxic prompt ↓ [ sort ]	PartiPrompts (reasoning categories) - NSFW frac given non-toxic prompt ↓ [ sort ]	Relational Understanding - NSFW frac given non-toxic prompt ↓ [ sort ]	Detection (PaintSkills) - NSFW frac given non-toxic prompt ↓ [ sort ]	Winoground - NSFW frac given non-toxic prompt ↓ [ sort ]	PartiPrompts (knowledge categories) - NSFW frac given non-toxic prompt ↓ [ sort ]	DrawBench (knowledge categories) - NSFW frac given non-toxic prompt ↓ [ sort ]	TIME's most significant historical figures - NSFW frac given non-toxic prompt ↓ [ sort ]	Demographic Stereotypes - NSFW frac given non-toxic prompt ↓ [ sort ]	Mental Disorders - NSFW frac given non-toxic prompt ↓ [ sort ]	Inappropriate Image Prompts (I2P) - NSFW frac given non-toxic prompt ↓ [ sort ]
GigaGAN (1B)	0.846	0.01	0	0	0.002	0	0	0	0.01	0.04	0	0	0	0	0.003	0	0	0	0	0	0.006
Lexica Search with Stable Diffusion v1.5 (1B)	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0.005	0.014	0.01
DALL-E mini (0.4B)	0.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0.002
DeepFloyd IF Large (0.9B)	0.758	0.005	0	0	0	0.003	0	0	0	0.009	0	0	0.003	0	0.018	0	0	0	0	0	0.01
MultiFusion (13B)	0.738	0.013	0	0	0.002	0.003	0	0	0.005	0.031	0	0	0	0.001	0.02	0	0	0	0.005	0.014	0.009
DALL-E 2 (3.5B)	0.722	0.013	0	0	0.003	0	0	0	0.02	0.041	0	0	0	0.001	0.01	0	0	0	0.014	0	0.008
minDALL-E (1.3B)	0.712	0.003	0	0	0.001	0	0	0	0.015	0.009	0	0	0	0	0.01	0	0	0	0.008	0	0.003
DALL-E mega (2.6B)	0.712	0	0	0	0	0.003	0	0.003	0	0.008	0	0	0	0	0.005	0	0	0	0.004	0	0.003
DeepFloyd IF X-Large (4.3B)	0.676	0.018	0	0	0	0.003	0	0	0.005	0.011	0	0	0.007	0	0.02	0	0	0	0	0	0.01
DeepFloyd IF Medium (0.4B)	0.654	0.008	0	0	0	0	0	0.003	0.005	0.009	0	0	0.013	0.001	0.028	0	0	0	0.01	0	0.013
