Model/adapter	Mean win rate ↑ [ sort ]	MS-COCO (base) - Photorealism - generated (human) ↑ [ sort ]	MS-COCO (fairness - gender) - Photorealism - generated (human) ↑ [ sort ]	MS-COCO (fairness - AAVE dialect) - Photorealism - generated (human) ↑ [ sort ]	MS-COCO (robustness) - Photorealism - generated (human) ↑ [ sort ]	MS-COCO (Chinese) - Photorealism - generated (human) ↑ [ sort ]	MS-COCO (Hindi) - Photorealism - generated (human) ↑ [ sort ]	MS-COCO (Spanish) - Photorealism - generated (human) ↑ [ sort ]	MS-COCO (Art styles) - Photorealism - generated (human) ↑ [ sort ]
Dreamlike Photoreal v2.0 (1B)	0.92	2.619	2.694	2.65	2.726	2.76	2.628	2.894	-
Safe Stable Diffusion weak (1B)	0.863	2.611	2.647	2.643	2.637	2.676	2.504	2.952	-
DALL-E 2 (3.5B)	0.851	2.621	2.632	2.411	2.552	2.54	3.769	2.935	-
Safe Stable Diffusion strong (1B)	0.771	2.286	2.332	2.526	2.807	2.936	2.684	2.712	-
Stable Diffusion v1.5 (1B)	0.743	2.375	2.392	2.551	2.502	2.7	2.516	2.85	-
DeepFloyd IF X-Large (4.3B)	0.726	2.207	2.216	2.554	2.776	2.51	2.842	2.736	-
Safe Stable Diffusion medium (1B)	0.714	2.489	2.467	2.521	2.426	2.586	2.478	2.886	-
Stable Diffusion v2 base (1B)	0.691	2.494	2.515	2.476	2.5	2.558	2.316	2.792	-
GigaGAN (1B)	0.686	2.118	2.165	2.385	2.508	2.928	2.794	2.826	-
Safe Stable Diffusion max (1B)	0.674	2.305	2.276	2.437	2.564	2.702	2.524	2.652	-
Stable Diffusion v1.4 (1B)	0.657	2.512	2.482	2.309	2.561	2.752	2.27	2.644	-
Stable Diffusion v2.1 base (1B)	0.6	2.42	2.38	2.318	2.44	2.436	2.33	2.77	-
DeepFloyd IF Medium (0.4B)	0.554	2.101	2.122	2.406	2.542	2.238	2.698	2.72	-
DeepFloyd IF Large (0.9B)	0.514	2.089	2.092	2.15	2.518	2.104	2.968	2.758	-
MultiFusion (13B)	0.44	2.309	2.323	2.297	2.318	2.428	1.564	2.69	-
DALL-E mega (2.6B)	0.417	2.058	2.097	2.046	2.308	2.39	2.284	2.884	-
Dreamlike Diffusion v1.0 (1B)	0.4	2.15	2.155	2.119	2.342	2.472	2.164	2.44	-
Openjourney v2 (1B)	0.309	1.941	1.928	2.145	2.322	2.178	2.422	2.508	-
DALL-E mini (0.4B)	0.291	1.975	1.987	1.981	2.377	2.294	1.868	2.602	-
Redshift Diffusion (1B)	0.28	1.914	1.982	1.95	2.002	2.396	2.51	2.31	-
minDALL-E (1.3B)	0.274	2.058	2.04	1.896	2.047	2.226	2.016	2.666	-
Lexica Search with Stable Diffusion v1.5 (1B)	0.263	1.883	1.897	1.806	1.93	1.94	3.074	2.374	-
CogView2 (6B)	0.189	1.756	1.794	1.959	2.021	2.394	1.828	2.354	-
Vintedois (22h) Diffusion model v0.1 (1B)	0.074	1.57	1.593	1.558	1.867	1.886	1.878	1.862	-
Promptist + Stable Diffusion v1.4 (1B)	0.057	1.593	1.587	1.552	1.682	1.716	2.242	1.506	-
Openjourney v1 (1B)	0.04	1.602	1.582	1.579	1.693	1.234	1.586	1.57	-
