Model/adapter	Mean win rate	MMLU - EM	BoolQ - EM	NarrativeQA - F1	NaturalQuestions (closed-book) - F1	NaturalQuestions (open-book) - F1	QuAC - F1	HellaSwag - EM	OpenbookQA - EM	TruthfulQA - EM	MS MARCO (regular) - RR@10	MS MARCO (TREC) - NDCG@10	CNN/DailyMail - ROUGE-2	XSUM - ROUGE-2	IMDB - EM	CivilComments - EM	RAFT - EM
Llama 2 (70B)	0.944	0.582	0.886	0.77	0.458	0.674	0.484	-	-	0.554	-	-	-	-	0.961	0.652	0.727
LLaMA (65B)	0.908	0.584	0.871	0.755	0.431	0.672	0.401	-	-	0.508	-	-	-	-	0.962	0.655	0.702
text-davinci-002	0.905	0.568	0.877	0.727	0.383	0.713	0.445	0.815	0.594	0.61	0.421	0.664	0.153	0.144	0.948	0.668	0.733
Mistral v0.1 (7B)	0.884	0.572	0.874	0.716	0.365	0.687	0.423	-	-	0.422	-	-	-	-	0.962	0.624	0.707
Cohere Command beta (52.4B)	0.874	0.452	0.856	0.752	0.372	0.76	0.432	0.811	0.582	0.269	0.472	0.762	0.161	0.152	0.96	0.601	0.667
text-davinci-003	0.872	0.569	0.881	0.727	0.406	0.77	0.525	0.822	0.646	0.593	0.368	0.644	0.156	0.124	0.848	0.684	0.759
Jurassic-2 Jumbo (178B)	0.824	0.48	0.829	0.733	0.385	0.669	0.435	0.788	0.558	0.437	0.398	0.661	0.149	0.182	0.938	0.57	0.746
Llama 2 (13B)	0.823	0.507	0.811	0.744	0.376	0.637	0.424	-	-	0.33	-	-	-	-	0.962	0.588	0.707
TNLG v2 (530B)	0.787	0.469	0.809	0.722	0.384	0.642	0.39	0.799	0.562	0.251	0.377	0.643	0.161	0.169	0.941	0.601	0.679
gpt-3.5-turbo-0613	0.783	0.391	0.87	0.625	0.348	0.675	0.485	-	-	0.339	-	-	-	-	0.943	0.696	0.748
LLaMA (30B)	0.781	0.531	0.861	0.752	0.408	0.666	0.39	-	-	0.344	-	-	-	-	0.927	0.549	0.752
Anthropic-LM v4-s3 (52B)	0.78	0.481	0.815	0.728	0.288	0.686	0.431	0.807	0.558	0.368	-	-	0.154	0.134	0.934	0.61	0.699
gpt-3.5-turbo-0301	0.76	0.59	0.74	0.663	0.39	0.624	0.512	-	-	0.609	-	-	-	-	0.899	0.674	0.768
Jurassic-2 Grande (17B)	0.743	0.475	0.826	0.737	0.356	0.639	0.418	0.781	0.542	0.348	0.293	0.514	0.144	0.167	0.938	0.547	0.712
Palmyra X (43B)	0.732	0.609	0.896	0.742	0.413	-	0.473	-	-	0.616	-	-	0.049	0.149	0.935	0.008	0.701
Falcon (40B)	0.729	0.509	0.819	0.673	0.392	0.675	0.307	-	-	0.353	-	-	-	-	0.959	0.552	0.661
Falcon-Instruct (40B)	0.727	0.497	0.829	0.625	0.377	0.666	0.371	-	-	0.384	-	-	-	-	0.959	0.603	0.586
MPT-Instruct (30B)	0.716	0.444	0.85	0.733	0.304	0.697	0.327	-	-	0.234	-	-	-	-	0.956	0.573	0.68
MPT (30B)	0.714	0.437	0.704	0.732	0.347	0.673	0.393	-	-	0.231	-	-	-	-	0.959	0.599	0.723
J1-Grande v2 beta (17B)	0.706	0.445	0.812	0.725	0.337	0.625	0.392	0.764	0.56	0.306	0.285	0.46	0.146	0.152	0.957	0.546	0.679
Vicuna v1.3 (13B)	0.706	0.462	0.808	0.691	0.346	0.686	0.403	-	-	0.385	-	-	-	-	0.762	0.645	0.657
Cohere Command beta (6.1B)	0.675	0.406	0.798	0.709	0.229	0.717	0.375	0.752	0.55	0.203	0.434	0.709	0.153	0.122	0.961	0.54	0.634
Cohere xlarge v20221108 (52.4B)	0.664	0.382	0.762	0.672	0.361	0.628	0.374	0.81	0.588	0.169	0.315	0.55	0.153	0.153	0.956	0.524	0.624
Luminous Supreme (70B)	0.662	0.38	0.775	0.711	0.293	0.649	0.37	-	-	0.222	-	-	0.15	0.136	0.959	0.562	0.653
Vicuna v1.3 (7B)	0.625	0.434	0.76	0.643	0.287	0.634	0.392	-	-	0.292	-	-	-	-	0.916	0.62	0.693
OPT (175B)	0.609	0.318	0.793	0.671	0.297	0.615	0.36	0.791	0.586	0.25	0.288	0.448	0.146	0.155	0.947	0.505	0.606
Llama 2 (7B)	0.607	0.431	0.762	0.691	0.337	0.611	0.406	-	-	0.272	-	-	-	-	0.907	0.562	0.643
LLaMA (13B)	0.595	0.422	0.714	0.711	0.346	0.614	0.347	-	-	0.324	-	-	-	-	0.928	0.6	0.643
InstructPalmyra (30B)	0.568	0.403	0.751	0.496	0.33	0.682	0.433	-	-	0.185	-	-	0.152	0.104	0.94	0.555	0.652
Cohere xlarge v20220609 (52.4B)	0.56	0.353	0.718	0.65	0.312	0.595	0.361	0.811	0.55	0.198	0.273	0.459	0.144	0.129	0.956	0.532	0.633
Jurassic-2 Large (7.5B)	0.553	0.339	0.742	-	0.274	0.589	-	0.729	0.53	0.245	0.247	0.464	0.136	0.142	0.956	0.57	0.622
davinci (175B)	0.538	0.422	0.722	0.687	0.329	0.625	0.36	0.775	0.586	0.194	0.211	0.378	0.127	0.126	0.933	0.532	0.642
