Model	Mean win rate	BoolQ - Stereotypes (race)	BoolQ - Stereotypes (gender)	BoolQ - Representation (race)	BoolQ - Representation (gender)	NarrativeQA - Stereotypes (race)	NarrativeQA - Stereotypes (gender)	NarrativeQA - Representation (race)	NarrativeQA - Representation (gender)	NaturalQuestions (closed-book) - Stereotypes (race)	NaturalQuestions (closed-book) - Stereotypes (gender)	NaturalQuestions (closed-book) - Representation (race)	NaturalQuestions (closed-book) - Representation (gender)	NaturalQuestions (open-book) - Stereotypes (race)	NaturalQuestions (open-book) - Stereotypes (gender)	NaturalQuestions (open-book) - Representation (race)	NaturalQuestions (open-book) - Representation (gender)	QuAC - Stereotypes (race)	QuAC - Stereotypes (gender)	QuAC - Representation (race)	QuAC - Representation (gender)	MS MARCO (regular) - Stereotypes (race)	MS MARCO (regular) - Stereotypes (gender)	MS MARCO (regular) - Representation (race)	MS MARCO (regular) - Representation (gender)	MS MARCO (TREC) - Stereotypes (race)	MS MARCO (TREC) - Stereotypes (gender)	MS MARCO (TREC) - Representation (race)	MS MARCO (TREC) - Representation (gender)	CNN/DailyMail - Stereotypes (race)	CNN/DailyMail - Stereotypes (gender)	CNN/DailyMail - Representation (race)	CNN/DailyMail - Representation (gender)	XSUM - Stereotypes (race)	XSUM - Stereotypes (gender)	XSUM - Representation (race)	XSUM - Representation (gender)	IMDB - Stereotypes (race)	IMDB - Stereotypes (gender)	IMDB - Representation (race)	IMDB - Representation (gender)	CivilComments - Stereotypes (race)	CivilComments - Stereotypes (gender)	CivilComments - Representation (race)	CivilComments - Representation (gender)	RAFT - Stereotypes (race)	RAFT - Stereotypes (gender)	RAFT - Representation (race)	RAFT - Representation (gender)
OPT (66B)	0.631	-	-	-	-	-	0.416	0.556	0.191	-	0.278	0.481	0.156	0.667	0.338	0.427	0.119	0.592	0.413	0.272	0.245	-	-	-	-	-	-	-	-	0.609	0.404	0.337	0.128	0.667	0.469	0.462	0.186	-	-	-	-	-	-	-	-	-	-	-	-
Luminous Extended (30B)	0.629	-	-	-	-	-	0.416	0.556	0.199	0.667	0.46	0.435	0.223	0.667	0.411	0.441	0.045	0.612	0.403	0.24	0.2	-	-	-	-	-	-	-	-	0.608	0.391	0.274	0.151	0.667	0.45	0.547	0.214	-	-	-	-	-	-	-	-	-	-	-	-
T0pp (11B)	0.605	-	-	-	0.25	0.667	0.339	0.667	0.105	0.667	0.462	0.613	0.177	0.329	0.388	0.462	0.091	0.667	0.428	0.436	0.291	-	-	-	-	-	-	-	-	0.594	0.403	0.277	0.093	0.667	0.444	0.457	0.27	-	-	-	-	-	-	-	0.459	-	0.5	-	0.125
Cohere xlarge v20221108 (52.4B)	0.602	-	-	-	-	-	0.472	0.667	0.192	-	0.444	0.48	0.247	0.667	0.232	0.474	0.113	0.571	0.395	0.304	0.233	-	-	-	-	-	-	-	-	0.607	0.383	0.266	0.133	0.667	0.454	0.537	0.218	-	-	-	-	-	-	-	-	-	-	-	-
Cohere xlarge v20220609 (52.4B)	0.598	-	-	-	-	-	0.454	0.556	0.208	-	-	0.43	0.094	0.667	0.388	0.409	0.051	0.582	0.438	0.344	0.23	-	-	-	-	-	-	-	-	0.626	0.387	0.301	0.117	0.667	0.463	0.622	0.205	-	-	-	-	-	-	-	-	-	-	-	-
Jurassic-2 Jumbo (178B)	0.597	-	-	-	-	-	0.43	0.5	0.183	-	0.5	0.376	0.095	0.667	0.413	0.541	0.107	0.642	0.454	0.359	0.232	-	-	-	-	-	-	-	-	0.608	0.411	0.254	0.083	0.667	0.466	0.399	0.205	-	-	-	-	-	-	-	-	-	-	-	-
LLaMA (30B)	0.596	-	-	-	-	-	0.4	0.667	0.214	0.667	0.5	0.328	0.333	-	0.1	0.39	0.257	0.571	0.436	0.229	0.222	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Anthropic-LM v4-s3 (52B)	0.593	-	-	-	-	-	0.39	0.667	0.208	-	0.5	0.386	0.148	-	0.429	0.48	0.043	0.609	0.419	0.321	0.248	-	-	-	-	-	-	-	-	0.616	0.412	0.252	0.093	0.667	0.439	0.541	0.207	-	-	-	-	-	-	-	-	-	-	-	-
J1-Grande v2 beta (17B)	0.592	-	-	-	-	-	0.3	0.667	0.179	0.667	0.5	0.392	0.174	0.667	0.167	0.488	0.381	0.628	0.411	0.327	0.225	-	-	-	-	-	-	-	-	0.615	0.401	0.293	0.099	0.667	0.465	0.522	0.214	-	-	-	-	-	-	-	-	-	-	-	-
OPT (175B)	0.58	-	-	-	-	-	0.491	0.667	0.232	-	0.327	0.521	0.081	-	0.439	0.461	0.325	0.591	0.386	0.243	0.207	-	-	-	-	-	-	-	-	0.591	0.407	0.294	0.123	0.667	0.449	0.453	0.218	-	-	-	-	-	-	-	-	-	-	-	-
LLaMA (13B)	0.578	-	-	-	-	-	0.417	-	0.224	0.667	0.5	0.438	0.167	-	-	0.333	0.083	0.605	0.444	0.276	0.224	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cohere Command beta (52.4B)	0.576	-	-	-	-	-	0.404	0.667	0.178	0.667	0.5	0.552	0.129	0.667	0.482	0.579	0.05	0.596	0.47	0.316	0.232	-	-	-	-	-	-	-	-	0.612	0.396	0.286	0.09	0.667	0.457	0.522	0.181	-	-	-	-	-	-	-	-	-	-	-	-
Luminous Supreme (70B)	0.571	-	-	-	-	-	0.465	0.667	0.238	0.667	0.446	0.48	0.125	0.667	0.444	0.44	0.22	0.598	0.412	0.305	0.232	-	-	-	-	-	-	-	-	0.63	0.401	0.291	0.13	0.667	0.439	0.544	0.206	-	-	-	-	-	-	-	-	-	-	-	-
Jurassic-2 Grande (17B)	0.562	-	-	-	-	-	0.448	0.667	0.196	0.667	0.5	0.507	0.176	0.667	0.5	0.465	0.03	0.64	0.422	0.23	0.224	-	-	-	-	-	-	-	-	0.636	0.402	0.359	0.117	0.667	0.456	0.466	0.207	-	-	-	-	-	-	-	-	-	-	-	-
