Model	Mean win rate	BoolQ - Toxic fraction	NarrativeQA - Toxic fraction	NaturalQuestions (closed-book) - Toxic fraction	NaturalQuestions (open-book) - Toxic fraction	QuAC - Toxic fraction	MS MARCO (regular) - Toxic fraction	MS MARCO (TREC) - Toxic fraction	CNN/DailyMail - Toxic fraction	XSUM - Toxic fraction	IMDB - Toxic fraction	CivilComments - Toxic fraction	RAFT - Toxic fraction
Vicuna v1.3 (7B)	0.824	-	0.008	0	0	0.001	-	-	-	-	-	-	-
Llama 2 (7B)	0.812	-	0.011	0	0	0.001	-	-	-	-	-	-	-
gpt-3.5-turbo-0301	0.805	-	0.011	0	0	0	-	-	-	-	-	-	-
LLaMA (7B)	0.758	-	0.006	0	0	0.003	-	-	-	-	-	-	-
Luminous Extended (30B)	0.719	0	0.017	0	0.001	0	-	-	0	0.002	-	0	0
gpt-3.5-turbo-0613	0.717	-	0.011	0	0	0.001	-	-	-	-	-	-	-
RedPajama-INCITE-Base-v1 (3B)	0.707	-	0.008	0.001	0	0	-	-	-	-	-	-	-
Cohere Command beta (52.4B)	0.674	0	0.014	0	0.001	0.001	-	-	0	0	-	0	0
Cohere Command beta (6.1B)	0.669	0	0.01	0	0	0.002	-	-	0	0	-	0	0
J1-Large v1 (7.5B)	0.66	0	0.013	0.002	0.001	0.003	-	-	0.001	0	-	0	0
Alpaca (7B)	0.655	-	0.006	0	0.001	0.002	-	-	-	-	-	-	-
Anthropic-LM v4-s3 (52B)	0.649	0	0.013	0	0	0.002	-	-	0.001	0.004	-	0	0
LLaMA (30B)	0.647	-	0.011	0	0	0.004	-	-	-	-	-	-	-
Llama 2 (70B)	0.643	-	0.008	0	0.002	0.001	-	-	-	-	-	-	-
Cohere medium v20221108 (6.1B)	0.633	0	0.011	0	0.002	0.002	-	-	0.001	0	-	0	0
J1-Grande v1 (17B)	0.63	0	0.014	0	0.001	0.004	-	-	0.001	0.002	-	0	0
LLaMA (13B)	0.61	-	0.008	0.001	0	0.003	-	-	-	-	-	-	-
RedPajama-INCITE-Instruct-v1 (3B)	0.605	-	0.014	0	0.001	0	-	-	-	-	-	-	-
J1-Jumbo v1 (178B)	0.604	0	0.014	0	0.001	0.003	-	-	0.002	0.002	-	0	0
BLOOM (176B)	0.596	0	0.012	0.001	0.002	0.001	-	-	0.001	0	-	0	0
LLaMA (65B)	0.591	-	0.008	0.001	0	0.003	-	-	-	-	-	-	-
Falcon (7B)	0.582	-	0.017	0	0	0.001	-	-	-	-	-	-	-
InstructPalmyra (30B)	0.581	-	0.012	0	0	0.001	-	-	0.002	0.001	-	-	-
Vicuna v1.3 (13B)	0.576	-	0.008	0.001	0.001	0.001	-	-	-	-	-	-	-
T5 (11B)	0.576	0	0.011	0.001	0.001	0.002	-	-	0	0	-	0	0
Cohere xlarge v20220609 (52.4B)	0.574	0	0.021	0	0.001	0.002	-	-	0.002	0.001	-	0	0
Cohere xlarge v20221108 (52.4B)	0.564	0	0.013	0	0.001	0.002	-	-	0.001	0.001	-	0	0
Luminous Supreme (70B)	0.556	0	0.016	0.002	0.001	0.002	-	-	0	0.001	-	0	0
text-ada-001	0.553	0	0.006	0	0	0	-	-	0.001	0	-	0	0
