	model_name	split_name	average_score	harness|hendrycksTest-abstract_algebra|5	harness|hendrycksTest-anatomy|5	harness|hendrycksTest-astronomy|5	harness|hendrycksTest-business_ethics|5	harness|hendrycksTest-clinical_knowledge|5	harness|hendrycksTest-college_biology|5	harness|hendrycksTest-college_chemistry|5	harness|hendrycksTest-college_computer_science|5	harness|hendrycksTest-college_mathematics|5	harness|hendrycksTest-college_medicine|5	harness|hendrycksTest-college_physics|5	harness|hendrycksTest-computer_security|5	harness|hendrycksTest-conceptual_physics|5	harness|hendrycksTest-econometrics|5	harness|hendrycksTest-electrical_engineering|5	harness|hendrycksTest-elementary_mathematics|5	harness|hendrycksTest-formal_logic|5	harness|hendrycksTest-global_facts|5	harness|hendrycksTest-high_school_biology|5	harness|hendrycksTest-high_school_chemistry|5	harness|hendrycksTest-high_school_computer_science|5	harness|hendrycksTest-high_school_european_history|5	harness|hendrycksTest-high_school_geography|5	harness|hendrycksTest-high_school_government_and_politics|5	harness|hendrycksTest-high_school_macroeconomics|5	harness|hendrycksTest-high_school_mathematics|5	harness|hendrycksTest-high_school_microeconomics|5	harness|hendrycksTest-high_school_physics|5	harness|hendrycksTest-high_school_psychology|5	harness|hendrycksTest-high_school_statistics|5	harness|hendrycksTest-high_school_us_history|5	harness|hendrycksTest-high_school_world_history|5	harness|hendrycksTest-human_aging|5	harness|hendrycksTest-human_sexuality|5	harness|hendrycksTest-international_law|5	harness|hendrycksTest-jurisprudence|5	harness|hendrycksTest-logical_fallacies|5	harness|hendrycksTest-machine_learning|5	harness|hendrycksTest-management|5	harness|hendrycksTest-marketing|5	harness|hendrycksTest-medical_genetics|5	harness|hendrycksTest-miscellaneous|5	harness|hendrycksTest-moral_disputes|5	harness|hendrycksTest-moral_scenarios|5	harness|hendrycksTest-nutrition|5	harness|hendrycksTest-philosophy|5	harness|hendrycksTest-prehistory|5	harness|hendrycksTest-professional_accounting|5	harness|hendrycksTest-professional_law|5	harness|hendrycksTest-professional_medicine|5	harness|hendrycksTest-professional_psychology|5	harness|hendrycksTest-public_relations|5	harness|hendrycksTest-security_studies|5	harness|hendrycksTest-sociology|5	harness|hendrycksTest-us_foreign_policy|5	harness|hendrycksTest-virology|5	harness|hendrycksTest-world_religions|5
0	details_kyujinpy__PlatYi-34B-Llama-Q	2023-12-10T04-42-16.291896	0.7877691613518727	0.47	0.7555555555555555	0.8881578947368421	0.81	0.8037735849056604	0.9166666666666666	0.58	0.7	0.48	0.7283236994219653	0.6078431372549019	0.82	0.7957446808510639	0.6228070175438597	0.8137931034482758	0.7619047619047619	0.5952380952380952	0.58	0.9290322580645162	0.7044334975369458	0.84	0.8666666666666667	0.9242424242424242	0.9792746113989638	0.8358974358974359	0.4888888888888889	0.8823529411764706	0.5695364238410596	0.9376146788990826	0.6990740740740741	0.9117647058823529	0.9240506329113924	0.7982062780269058	0.8854961832061069	0.9173553719008265	0.9259259259259259	0.8895705521472392	0.6964285714285714	0.9029126213592233	0.9273504273504274	0.91	0.9067688378033205	0.8294797687861272	0.7642458100558659	0.8431372549019608	0.8488745980707395	0.8672839506172839	0.6666666666666666	0.622555410691004	0.8272058823529411	0.8251633986928104	0.7272727272727273	0.8326530612244898	0.900497512437811	0.91	0.5662650602409639	0.8888888888888888
1	details_kyujinpy__PlatYi-34B-LoRA	2023-12-05T00-53-53.251371	0.784585647417638	0.54	0.7555555555555555	0.8947368421052632	0.81	0.8	0.8958333333333334	0.53	0.67	0.45	0.7398843930635838	0.5686274509803921	0.82	0.7957446808510639	0.5789473684210527	0.8137931034482758	0.7380952380952381	0.5873015873015873	0.61	0.9161290322580645	0.6699507389162561	0.87	0.8666666666666667	0.9242424242424242	0.9689119170984456	0.8256410256410256	0.4740740740740741	0.8781512605042017	0.5562913907284768	0.9284403669724771	0.7175925925925926	0.9264705882352942	0.9282700421940928	0.8116591928251121	0.8778625954198473	0.8925619834710744	0.8981481481481481	0.8650306748466258	0.6696428571428571	0.8932038834951457	0.9316239316239316	0.92	0.9080459770114943	0.838150289017341	0.7687150837988826	0.8725490196078431	0.8392282958199357	0.8796296296296297	0.6808510638297872	0.6232073011734028	0.8382352941176471	0.8464052287581699	0.7363636363636363	0.8367346938775511	0.8905472636815921	0.91	0.572289156626506	0.8713450292397661
2	details_kyujinpy__PlatYi-34B-Llama-Q-FastChat	2023-12-10T05-55-07.023442	0.7837428442901545	0.55	0.7555555555555555	0.881578947368421	0.82	0.8075471698113208	0.9027777777777778	0.51	0.67	0.49	0.7283236994219653	0.5490196078431373	0.82	0.7872340425531915	0.5789473684210527	0.7724137931034483	0.753968253968254	0.6031746031746031	0.64	0.9258064516129032	0.6847290640394089	0.87	0.8666666666666667	0.9242424242424242	0.9689119170984456	0.823076923076923	0.4925925925925926	0.8697478991596639	0.5496688741721855	0.9302752293577982	0.7222222222222222	0.9215686274509803	0.919831223628692	0.8026905829596412	0.8549618320610687	0.9338842975206612	0.8888888888888888	0.8773006134969326	0.6339285714285714	0.883495145631068	0.9487179487179487	0.9	0.9080459770114943	0.8352601156069365	0.788826815642458	0.8660130718954249	0.8456591639871383	0.8580246913580247	0.6631205673758865	0.6186440677966102	0.8272058823529411	0.8316993464052288	0.7181818181818181	0.8367346938775511	0.8706467661691543	0.93	0.5843373493975904	0.8771929824561403
3	details_kyujinpy__PlatYi-34B-Llama	2023-12-08T13-53-50.560895	0.7825506758304114	0.51	0.7555555555555555	0.8947368421052632	0.81	0.8	0.9305555555555556	0.49	0.71	0.48	0.7109826589595376	0.5490196078431373	0.83	0.8	0.6403508771929824	0.8	0.746031746031746	0.5793650793650794	0.55	0.9225806451612903	0.6995073891625616	0.85	0.8787878787878788	0.9090909090909091	0.9740932642487047	0.8307692307692308	0.4703703703703704	0.8739495798319328	0.5695364238410596	0.9284403669724771	0.6898148148148148	0.9362745098039216	0.9240506329113924	0.8026905829596412	0.8931297709923665	0.8925619834710744	0.8981481481481481	0.8895705521472392	0.6428571428571429	0.8737864077669902	0.9401709401709402	0.88	0.9118773946360154	0.8265895953757225	0.7284916201117319	0.869281045751634	0.8263665594855305	0.8765432098765432	0.6702127659574468	0.6258148631029987	0.8492647058823529	0.826797385620915	0.7454545454545455	0.8367346938775511	0.8955223880597015	0.91	0.5783132530120482	0.8713450292397661
4	details_kyujinpy__PlatYi-34B-Q	2023-12-04T22-52-59.529862	0.7766084695579158	0.52	0.7333333333333333	0.8552631578947368	0.81	0.7962264150943397	0.9097222222222222	0.51	0.65	0.44	0.7283236994219653	0.5294117647058824	0.83	0.7872340425531915	0.6052631578947368	0.8206896551724138	0.7354497354497355	0.5555555555555556	0.5	0.9096774193548387	0.6748768472906403	0.84	0.8666666666666667	0.9191919191919192	0.9637305699481865	0.8	0.4703703703703704	0.8697478991596639	0.5496688741721855	0.9155963302752294	0.6851851851851852	0.9264705882352942	0.919831223628692	0.7982062780269058	0.8702290076335878	0.9256198347107438	0.8888888888888888	0.8834355828220859	0.6517857142857143	0.9223300970873787	0.9230769230769231	0.91	0.9195402298850575	0.8352601156069365	0.7441340782122905	0.8562091503267973	0.8392282958199357	0.8734567901234568	0.6702127659574468	0.6245110821382008	0.8419117647058824	0.8169934640522876	0.7545454545454545	0.8408163265306122	0.8955223880597015	0.91	0.5602409638554217	0.8830409356725146
5	details_cloudyu__Yi-34Bx2-MoE-60B	2024-01-11T00-14-54.121598	0.7746987523965543	0.49	0.7333333333333333	0.875	0.78	0.8	0.875	0.48	0.67	0.44	0.7630057803468208	0.6470588235294118	0.81	0.7957446808510639	0.6140350877192983	0.7655172413793103	0.7275132275132276	0.5873015873015873	0.57	0.9032258064516129	0.6305418719211823	0.82	0.8666666666666667	0.9292929292929293	0.9689119170984456	0.823076923076923	0.44814814814814813	0.8487394957983193	0.5099337748344371	0.9155963302752294	0.6805555555555556	0.9215686274509803	0.8987341772151899	0.7892376681614349	0.9083969465648855	0.9008264462809917	0.8703703703703703	0.8834355828220859	0.6428571428571429	0.912621359223301	0.9444444444444444	0.89	0.9080459770114943	0.8265895953757225	0.8100558659217877	0.8594771241830066	0.8263665594855305	0.8765432098765432	0.6418439716312057	0.6003911342894394	0.8235294117647058	0.8235294117647058	0.7181818181818181	0.8489795918367347	0.900497512437811	0.92	0.5542168674698795	0.8888888888888888
6	details_cloudyu__Mixtral_34Bx2_MoE_60B	2024-01-06T08-41-04.550193	0.7734083385400412	0.48	0.7333333333333333	0.875	0.77	0.8	0.875	0.49	0.65	0.44	0.7687861271676301	0.6372549019607843	0.79	0.7957446808510639	0.5964912280701754	0.7517241379310344	0.7380952380952381	0.5793650793650794	0.59	0.9032258064516129	0.625615763546798	0.81	0.8727272727272727	0.9242424242424242	0.9689119170984456	0.823076923076923	0.4444444444444444	0.8571428571428571	0.5231788079470199	0.9192660550458716	0.6712962962962963	0.9215686274509803	0.9029535864978903	0.7937219730941704	0.8931297709923665	0.8842975206611571	0.8703703703703703	0.8834355828220859	0.6428571428571429	0.912621359223301	0.9444444444444444	0.89	0.9106002554278416	0.8294797687861272	0.8111731843575419	0.8594771241830066	0.819935691318328	0.8765432098765432	0.6382978723404256	0.5990873533246415	0.8235294117647058	0.8202614379084967	0.7181818181818181	0.8530612244897959	0.900497512437811	0.92	0.5602409638554217	0.9005847953216374
7	details_cloudyu__Mixtral_34Bx2_MoE_60B	2024-01-06T09-19-18.252659	0.7727645969364295	0.47	0.7333333333333333	0.875	0.77	0.7962264150943397	0.8819444444444444	0.5	0.66	0.43	0.7572254335260116	0.6372549019607843	0.8	0.7914893617021277	0.6140350877192983	0.7517241379310344	0.7407407407407407	0.5714285714285714	0.57	0.9064516129032258	0.6305418719211823	0.81	0.8666666666666667	0.9292929292929293	0.9689119170984456	0.823076923076923	0.43703703703703706	0.8487394957983193	0.5231788079470199	0.9211009174311927	0.6759259259259259	0.9215686274509803	0.9029535864978903	0.7892376681614349	0.8931297709923665	0.8842975206611571	0.8796296296296297	0.8773006134969326	0.625	0.912621359223301	0.9444444444444444	0.89	0.909323116219668	0.8265895953757225	0.8156424581005587	0.8627450980392157	0.819935691318328	0.8765432098765432	0.6382978723404256	0.6003911342894394	0.8198529411764706	0.8251633986928104	0.7181818181818181	0.8489795918367347	0.9054726368159204	0.92	0.5542168674698795	0.8947368421052632
8	details_CausalLM__72B-preview	2023-12-09T20-37-44.242475	0.7720827753020035	0.42	0.725925925925926	0.9210526315789473	0.8	0.8415094339622642	0.8958333333333334	0.54	0.65	0.56	0.7745664739884393	0.5098039215686274	0.84	0.8085106382978723	0.5614035087719298	0.8	0.6851851851851852	0.5476190476190477	0.55	0.9	0.6600985221674877	0.78	0.8606060606060606	0.9444444444444444	0.9896373056994818	0.8076923076923077	0.5296296296296297	0.8277310924369747	0.5298013245033113	0.9247706422018349	0.6944444444444444	0.9215686274509803	0.890295358649789	0.8071748878923767	0.8854961832061069	0.8677685950413223	0.8425925925925926	0.8588957055214724	0.6785714285714286	0.8640776699029126	0.9401709401709402	0.89	0.9208173690932312	0.8497109826589595	0.576536312849162	0.8529411764705882	0.8488745980707395	0.8888888888888888	0.6276595744680851	0.6251629726205997	0.8272058823529411	0.8137254901960784	0.7545454545454545	0.7959183673469388	0.8905472636815921	0.96	0.5662650602409639	0.8830409356725146
9	details_CausalLM__72B-preview	2023-12-09T21-42-26.382618	0.7714314354396921	0.42	0.7407407407407407	0.9144736842105263	0.79	0.8301886792452831	0.8958333333333334	0.53	0.63	0.56	0.7803468208092486	0.5392156862745098	0.84	0.8	0.5701754385964912	0.8	0.6798941798941799	0.5555555555555556	0.54	0.8903225806451613	0.6600985221674877	0.78	0.8606060606060606	0.9444444444444444	0.9896373056994818	0.8076923076923077	0.5296296296296297	0.8319327731092437	0.543046357615894	0.9284403669724771	0.6759259259259259	0.9215686274509803	0.8945147679324894	0.8116591928251121	0.8778625954198473	0.8677685950413223	0.8518518518518519	0.8588957055214724	0.6785714285714286	0.8640776699029126	0.9401709401709402	0.88	0.9195402298850575	0.846820809248555	0.5642458100558659	0.8562091503267973	0.8456591639871383	0.8827160493827161	0.6276595744680851	0.6258148631029987	0.8272058823529411	0.8202614379084967	0.7545454545454545	0.7959183673469388	0.8905472636815921	0.96	0.5662650602409639	0.8830409356725146
10	details_kyujinpy__PlatYi-34B-200k-Q-FastChat	2023-12-10T08-30-20.014698	0.7713152358797621	0.44	0.7185185185185186	0.875	0.79	0.8113207547169812	0.8958333333333334	0.52	0.64	0.5	0.7456647398843931	0.5686274509803921	0.8	0.7829787234042553	0.6403508771929824	0.7517241379310344	0.7380952380952381	0.5317460317460317	0.64	0.896774193548387	0.6650246305418719	0.83	0.8606060606060606	0.9444444444444444	0.9637305699481865	0.8153846153846154	0.43703703703703706	0.8613445378151261	0.5165562913907285	0.9302752293577982	0.6759259259259259	0.9264705882352942	0.8987341772151899	0.8026905829596412	0.8625954198473282	0.8760330578512396	0.8703703703703703	0.852760736196319	0.6428571428571429	0.8932038834951457	0.9401709401709402	0.87	0.9144316730523627	0.815028901734104	0.7262569832402235	0.8627450980392157	0.842443729903537	0.8734567901234568	0.6205673758865248	0.6173402868318123	0.8125	0.8202614379084967	0.7636363636363637	0.8285714285714286	0.8855721393034826	0.91	0.5662650602409639	0.8830409356725146
11	details_moreh__MoMo-70B-LoRA-V1.4	2024-01-05T09-27-55.373220	0.7712466146850139	0.41	0.7185185185185186	0.881578947368421	0.8	0.8415094339622642	0.9236111111111112	0.53	0.63	0.54	0.7745664739884393	0.5588235294117647	0.81	0.774468085106383	0.6228070175438597	0.8137931034482758	0.6534391534391535	0.5555555555555556	0.51	0.8838709677419355	0.645320197044335	0.82	0.8727272727272727	0.9292929292929293	0.9792746113989638	0.8179487179487179	0.4703703703703704	0.8487394957983193	0.5496688741721855	0.9174311926605505	0.7083333333333334	0.9264705882352942	0.9113924050632911	0.8116591928251121	0.8854961832061069	0.8842975206611571	0.8425925925925926	0.8343558282208589	0.6160714285714286	0.8932038834951457	0.9401709401709402	0.85	0.9195402298850575	0.8410404624277457	0.6871508379888268	0.8464052287581699	0.8327974276527331	0.8765432098765432	0.6382978723404256	0.6095176010430248	0.8382352941176471	0.8120915032679739	0.7454545454545455	0.8285714285714286	0.900497512437811	0.93	0.5903614457831325	0.8771929824561403
12	details_NousResearch__Nous-Hermes-2-Yi-34B	2023-12-29T16-55-23.292289	0.7669908813597819	0.49	0.7185185185185186	0.8947368421052632	0.78	0.8	0.9027777777777778	0.51	0.65	0.49	0.6994219653179191	0.5294117647058824	0.83	0.7914893617021277	0.5701754385964912	0.7724137931034483	0.6904761904761905	0.5793650793650794	0.51	0.896774193548387	0.6206896551724138	0.84	0.8787878787878788	0.898989898989899	0.9792746113989638	0.8282051282051283	0.4148148148148148	0.8529411764705882	0.5033112582781457	0.9211009174311927	0.6620370370370371	0.9117647058823529	0.9071729957805907	0.7937219730941704	0.8931297709923665	0.9090909090909091	0.8981481481481481	0.8711656441717791	0.6071428571428571	0.9223300970873787	0.9188034188034188	0.86	0.9106002554278416	0.8352601156069365	0.7106145251396648	0.8431372549019608	0.8135048231511254	0.8888888888888888	0.648936170212766	0.6166883963494133	0.8308823529411765	0.8235294117647058	0.7181818181818181	0.8408163265306122	0.8756218905472637	0.92	0.572289156626506	0.8713450292397661
