Mean (selected datasets)	CIFAR-100	Caltech101	Camelyon	Clevr-Count	Clevr-Dist	DMLab	DTD	EuroSAT	Flowers102	KITTI-Dist	Pets	Resisc45	Retinopathy	SVHN	Sun397	dSpr-Loc	dSpr-Orient	sNORB-Azim	sNORB-Elev
Sup-Rotation-100%	90.2	84.8	94.6	85.9	99.8	92.5	76.5	75.9	98.8	94.7	82.3	91.5	94.9	79.5	97.0	70.2	100	96.5	100	98.4
Sup-Exemplar-100%	90.1	84.1	94.4	86.7	99.8	92.7	76.8	74.5	98.6	93.4	84.0	91.8	95.1	79.5	97.1	69.4	100	96.4	99.8	98.0
Sup-100%	89.7	83.8	94.1	83.9	99.8	92.1	76.4	74.0	98.8	93.2	80.7	91.9	95.3	79.3	97.0	70.7	100	96.4	99.8	97.7
Semi-Exemplar-10%	88.8	82.7	85.3	86.0	99.8	93.1	76.8	70.5	98.6	92.2	81.5	89.0	94.7	78.8	97.0	67.4	100	96.5	100	97.8
Semi-Rotation-10%	88.6	82.4	88.1	78.6	99.8	93.2	76.1	72.4	98.7	93.2	81.0	87.9	94.9	79.0	96.9	66.7	100	96.5	99.9	97.5
Rotation	86.4	73.6	88.3	86.4	99.8	93.3	76.8	63.3	98.3	83.4	82.6	71.8	93.4	78.6	96.9	60.5	100	96.5	99.9	98.0
Exemplar	84.8	70.7	81.9	84.7	99.8	93.3	74.7	61.1	98.5	79.3	78.2	67.8	93.5	79.0	96.7	58.2	100	96.5	99.9	97.4
Rel.Pat.Loc	83.1	65.7	79.9	85.3	99.5	87.7	71.5	65.2	97.8	78.8	75.0	66.8	91.5	79.8	93.7	58.0	100	90.4	99.7	92.6
Jigsaw	83.0	65.3	79.1	83.0	99.6	88.6	72.0	63.9	97.9	77.9	74.7	65.4	92.0	80.1	93.9	59.2	100	90.3	99.9	93.6
From-Scratch	75.4	64.4	55.9	81.2	99.7	89.4	71.5	31.3	96.2	50.6	68.4	23.8	86.8	76.8	96.3	52.7	100	96.3	99.9	91.7
Uncond-BigGAN	68.2	58.1	73.6	82.2	47.6	54.9	54.8	44.9	89.8	63.5	57.4	30.9	75.4	75.9	93.0	46.9	86.1	95.9	88.1	76.6
VAE	66.8	44.2	48.4	81.3	98.4	90.1	59.7	16.0	92.5	18.4	57.0	14.0	65.0	74.2	93.1	29.3	100	94.7	97.9	95.6
WAE-MMD	64.9	38.8	50.8	80.6	98.1	89.3	52.6	11.0	94.1	20.8	61.6	16.2	64.8	73.8	90.9	31.6	100	90.2	96.3	72.4
Cond-BigGAN	51.4	56.3	0.148	81.3	12.4	24.5	51.4	44.8	94.5	68.8	49.7	31.6	76.5	75.3	91.4	44.9	6.16	7.45	80.6	79.2
WAE-GAN	48.5	24.8	42.0	77.1	52.2	70.2	37.3	8.67	81.5	15.5	62.3	13.1	38.4	73.6	78.2	12.8	97.7	49.9	33.4	52.2
WAE-UKL	46.8	23.2	41.7	76.4	44.5	67.8	36.7	12.3	78.1	17.2	55.1	12.3	36.8	73.6	65.5	12.0	98.1	51.4	35.9	51.0
