Model,Rank,Rank-Before,Average,Average-Before,Boolean Expressions (× 0.0075),Causal Judgement (× 0.0099),Date Understanding (× 0.0079),Disambiguation QA (× 0.0090),Dyck Languages (× 0.0176),Formal Fallacies (× 1.0000),Geometric Shapes (× 0.0100),Hyperbaton (× 0.0090),Logical Deduction Three Objects (× 0.0075),Logical Deduction Five Objects (× 0.0100),Logical Deduction Seven Objects (× 0.0112),Movie Recommendation (× 0.0071),Multistep Arithmetic Two (× 0.0075),Navigate (× 0.0075),Object Counting (× 0.0070),Penguins In A Table (× 0.0080),Reasoning About Colored Objects (× 0.0069),Ruin Names (× 0.0074),Salient Translation Error Detection (× 0.0095),Snarks (× 0.0122),Sports Understanding (× 0.0064),Temporal Sequences (× 0.0057),Tracking Shuffled Objects Three Objects (× 0.0088),Tracking Shuffled Objects Five Objects (× 0.0073),Tracking Shuffled Objects Seven Objects (× 0.0077),Web Of Lies (× 0.0053),Word Sorting (× 0.0129)
GPT-4,1.0,1.0,3.709899273220136,86.72222222222223,0.7217658553422669,0.7168273372150575,0.7067038099963979,0.7726270811946725,1.1141954171263186,81.2,0.4942469945158062,0.8958101343195018,0.7367345236391994,0.8401710684854119,0.6609460177250607,0.6187287927696654,0.6543654423466754,0.7441558965017427,0.6934941082524705,0.7819054455387159,0.6722331819661876,0.6558496855580683,0.6582048500861036,1.0989982274904382,0.6067927512070443,0.5689694119706927,0.878331716326303,0.727846527418535,0.7689012120386249,0.5250176793153437,0.6534572085973561
DeepSeek-67B-Chat,2.0,6.0,2.6516847361515086,68.55185185185185,0.6708529111894928,0.6264792933278411,0.6061948236857991,0.7545750465873203,0.5429939691058642,56.8,0.4185156001948359,0.6140633985254649,0.6588682731732678,0.5949536752911052,0.5125703810929043,0.5676410942840967,0.4302676881183619,0.6748620275967221,0.5430977956194046,0.6332389425328964,0.5868265072081884,0.26175166822721113,0.5522868282331674,0.887465382818606,0.31104502372798065,0.5189001037172718,0.7377986417140946,0.5939227663735245,0.572062501756737,0.5229176085980823,0.40133592339050217
Qwen-72B-Chat,3.0,8.0,2.5483719433902827,67.95555555555556,0.6948119437319747,0.4616685759072046,0.678435657596542,0.4332488305764519,0.26797104968860824,54.4,0.3507559315918625,0.7549367664224833,0.6708476963218726,0.5748538889637029,0.5440440009845738,0.5789939161697786,0.5916180711627477,0.5453126205134229,0.5068912759114443,0.6766334893562167,0.5840714531837368,0.5646777561755566,0.5901146931806447,0.7306393083205236,0.6144413993315029,0.3322781365908845,0.6815854118692111,0.5094925691929745,0.5259284290344195,0.5250176793153437,0.41677192044398303
ChatGPT,4.0,4.0,2.540514350443256,70.11851851851854,0.697806822799785,0.5152817008512671,0.6690129401299234,0.5668338866708579,0.29617852860319865,53.6,0.5380914859647891,0.7729974546144087,0.5959763016430922,0.5587740599017812,0.42264575283099126,0.52790621768421,0.5856421310499926,0.7140281274126034,0.6823536406500212,0.6332389425328964,0.5923366152570916,0.4205672871515864,0.5333728957594288,0.8133073165830786,0.6118918499566833,0.3595886683654778,0.7659052566365363,0.561897519167109,0.5382308484270375,0.47461598210107075,0.5454052292229902
XuanYuan-70B,5.0,3.0,2.5125632428472215,71.35185185185185,0.6678580321216826,0.6790995826247914,0.6690129401299234,0.6787565012364414,0.09167430647241863,52.8,0.35474179445086096,0.7910581428063341,0.6948065426190824,0.5467141881053399,0.44962314130956516,0.6357580255981883,0.442219568343872,0.5995426048738737,0.6238661857371622,0.5890407929906256,0.5923366152570916,0.5352674563747463,0.5106761767909426,0.9628391550579944,0.6169909487063223,0.5439347578439822,0.7061786999263477,0.6143024691412435,0.5443820581233465,0.5229176085980823,0.37560926163470076
OrionStar-Yi-34B-Chat,6.0,17.0,2.455073885481237,61.6925925925926,0.6588733949182519,0.6155581012096062,0.6533084110188924,0.7112501635296752,0.09167430647241863,53.2,0.3427842058738656,0.7043668394850922,0.6229300037274532,0.5788738462291834,0.44512690989646947,0.593184943526881,0.24202557456657856,0.4971081899707998,0.470684756203484,0.544842643448355,0.5041748864746408,0.48232891673328787,0.49932781730669934,0.956760625038689,0.555801763710654,0.37779568954854,0.42511255070193066,0.33480940261252606,0.3106360896636045,0.5229176085980823,0.3447372675277391
LLaMA-2-70B-Chat,7.0,18.0,2.442029333741567,60.79259259259258,0.6019706926298575,0.5738590040308909,0.6313220702634489,0.6029379558855622,0.07051869728647586,53.2,0.0,0.6429604996325456,0.6648579847475702,0.538674273574379,0.5305553067452868,0.6215669982410859,0.08067519152219287,0.5844787203293039,0.45675917170042235,0.5665399168600151,0.5262153186702535,0.5676187861556377,0.4312376604012404,0.956760625038689,0.6093423005818638,0.4870378166469129,0.4391658581631515,0.34063217483187436,0.32601411390437696,0.5229176085980823,0.3601732645812199
Yi-34B,8.0,10.0,2.419278924211829,66.39999999999999,0.646893878647011,0.6056297447384835,0.6690129401299234,0.6823669081579117,0.3384897469750841,51.2,0.21523659438591564,0.7152032524002474,0.6379042826632093,0.5065146154505354,0.44962314130956516,0.6158905872982449,0.25098948473571114,0.6115937125095294,0.5848745491285896,0.544842643448355,0.5647860750125757,0.4852699467133689,0.5182417497804379,0.8947596188417725,0.6220900474559613,0.49158957194267855,0.481325780546814,0.49493563864460377,0.5013235902491835,0.5229176085980823,0.4682252439555859
InternLM-20B,9.0,25.0,2.4079833637502555,52.51111111111111,0.5390782322058425,0.6215151150922797,0.5622221421749121,0.5704442935923284,0.05641495782918069,54.0,0.3507559315918625,0.5815541597799992,0.5390740416872191,0.4864148291231332,0.4271419842440869,0.5506118614555737,0.11653083219872301,0.5001209668797137,0.4316931195949114,0.418677016573146,0.4683591841567701,0.4764468567731258,0.4539343793697267,0.7379335443436902,0.5863963562084882,0.25262241891498755,0.23187957311014398,0.18632871101914494,0.1445534278632615,0.48301626497011624,0.24183062050453338
ChatGLM3-6B-Base,10.0,11.0,2.3830785007893462,66.18888888888888,0.6558785158504417,0.6374004854460761,0.5904902945747681,0.6570940597076187,0.16219300375889448,50.4,0.3706852458868547,0.8452402073821105,0.5061306280285557,0.474354957326692,0.36869097587384336,0.6158905872982449,0.42727971806198445,0.6567853661432386,0.6405768871408363,0.49501927487343167,0.5565209129392209,0.617616295817015,0.40475815493800626,0.7306393083205236,0.5965945537077663,0.5097965931257407,0.5199723760651714,0.46582177754786236,0.43058467874163,0.4977167599909459,0.5093879027648682
Baichuan-13B-Chat,11.0,43.0,2.3652786456473605,45.41851851851851,0.5540526275448936,0.541095427676186,0.4805585907975506,0.5596130728279171,0.07051869728647586,54.4,0.1833496915139281,0.5598813339496886,0.4402438007112289,0.36983606842420047,0.3596985130476521,0.5137151903271076,0.041831580789285186,0.488069859244058,0.42055265199246206,0.3519779909002647,0.388462617447674,0.29410299800810236,0.3177540655588087,0.6418927700386629,0.5634504118351126,0.2412430306755737,0.3126860910121639,0.14848069159338112,0.1199485890780255,0.3297111026100359,0.16979596758828938
Yi-6B,12.0,45.0,2.317880652572842,44.88518518518521,0.4492318601715354,0.5202458790868284,0.49940402573078785,0.41880720289057016,0.021155609185942757,53.2,0.282996262988889,0.653796912547701,0.3683672618195997,0.34973628209679825,0.31023996750359994,0.5449354505127328,0.0687233112966828,0.5001209668797137,0.37320566468205246,0.3905509214098828,0.39397272549657725,0.33821844770931775,0.3064057060745655,0.7306393083205236,0.5914954549581272,0.18434608947850442,0.3021461104162482,0.125189602715988,0.110721774533562,0.3423115269136041,0.20581329404641138
DeepSeek-67B-Base,13.0,2.0,2.2899160214919196,71.67777777777778,0.6379092414435803,0.5679019901482173,0.678435657596542,0.6787565012364414,0.5359420993772165,46.4,0.38264283446385,0.7115911147618623,0.6738425521090239,0.602993589822066,0.5035779182667129,0.6300816146553473,0.28983309546861874,0.6417214815986688,0.5737340815261404,0.6163632854349385,0.5950916692815432,0.5617367261954755,0.5144589632856902,0.9215051509267168,0.6348377943300589,0.5416588801960994,0.7588786029059259,0.5968341524831986,0.6274233890235179,0.5229176085980823,0.42706258514630363
WeMix-LLaMA2-70B,14.0,7.0,2.275310804356113,68.42592592592592,0.6498887577148211,0.6790995826247914,0.6815765634187482,0.7581854535087909,0.26797104968860824,46.8,0.0,0.8416280697437255,0.6528785615989654,0.6070135470875464,0.6294723978333912,0.6414344365410293,0.23604963445382357,0.6115937125095294,0.5848745491285896,0.6107380664022859,0.5482557508658662,0.4676237668328828,0.4841966713277085,0.9762119211004665,0.6271891462056004,0.516624226069389,0.6218588551590225,0.5153153414123227,0.461340727223175,0.5250176793153437,0.43735324984862417
Qwen-14B,15.0,23.0,2.2724075507589188,53.74444444444443,0.5750167810195652,0.5470524415588597,0.07538173973294911,0.5704442935923284,0.05641495782918069,50.0,0.44641664020782496,0.7152032524002474,0.592981445855941,0.474354957326692,0.43613444707027815,0.5704792997555173,0.4780752090204021,0.5724276126936483,0.3537098463777661,0.4901976585597294,0.5069299404990923,0.47350582679304487,0.4425860198854835,0.6151472379537186,0.5634504118351126,0.08875922826742806,0.4110592432407098,0.24746781932230189,0.2306703636115875,0.5124172550117755,0.3087199410696171
MPT-7B,16.0,75.0,2.241498012386641,35.63703703703704,0.5061345624599298,0.47258976802543956,0.32979511133165235,0.44769045826233367,0.007051869728647586,53.2,0.15146278864194063,0.5056992693739123,0.3264392807994827,0.3095367094419939,0.19783418217620868,0.3547756839275604,0.0,0.36755878288750043,0.27851169006123316,0.24188441840406322,0.2286694840294819,0.16763870886461837,0.2799262006113315,0.560440467779969,0.5354053687120979,0.1342767812250835,0.28809280295502737,0.12810098882566215,0.1014949599890985,0.3171106783064676,0.08232531761856456
StableBeluga2,17.0,5.0,2.2388434496747966,69.26296296296297,0.6528836367826314,0.6264792933278411,0.6376038819078612,0.693198128922323,0.16219300375889448,45.6,0.4543883659258219,0.7188153900386324,0.6828271194704776,0.6311332906804291,0.6114874721810085,0.6414344365410293,0.2539774547920886,0.6477470354164967,0.5514531463212416,0.6107380664022859,0.5868265072081884,0.5205623064743412,0.5295901092646811,1.038212927297383,0.62973869558042,0.5280036143088028,0.562132298448834,0.46582177754786236,0.418282259349012,0.5250176793153437,0.4682252439555859
InternLM-7B,18.0,70.0,2.238160156607635,36.955555555555556,0.46420625551058653,0.429897835199612,0.486840402441963,0.3971447613617476,0.007051869728647586,52.8,0.17537796579593126,0.5273720952042228,0.35339298288384363,0.2934568803800721,0.25178895913335647,0.340584656570458,0.050795490958417726,0.40672488270338164,0.3927014829863387,0.28045734891368124,0.28652561854296527,0.14705149900405118,0.14752867329516117,0.724560778301218,0.4742161837164296,0.14793204711238012,0.281066149224417,0.14265791937403285,0.098419355140944,0.28140947611302425,0.04116265880928228
Qwen-7B,19.0,44.0,2.233515731129165,45.237037037037034,0.5660321438161345,0.6155581012096062,0.5056858373752003,0.3971447613617476,0.007051869728647586,50.8,0.1833496915139281,0.7224275276770176,0.4043055312654143,0.36581611115872004,0.31023996750359994,0.5364208340984713,0.18525414349540584,0.4187759903390374,0.18381771544041386,0.42349863288684825,0.4160131576921899,0.3117491778885885,0.40854094143275405,0.6893053041892461,0.5226576218380004,0.20255311066156662,0.3091727641468587,0.15139207770305527,0.1076461696854075,0.3444115976308655,0.21610395874873195
Nanbeige-16B-Base-32K,20.0,24.0,2.232079939638518,52.918518518518525,0.5780116600873756,0.5679019901482173,0.5747857654637369,0.5523922589849762,0.03525934864323793,49.2,0.2471234972579031,0.7043668394850922,0.5330843301129167,0.41405559834448535,0.42264575283099126,0.5506118614555737,0.10159098191683545,0.5212104052421114,0.3871312491851141,0.418677016573146,0.4793794002545764,0.3970390473109382,0.4804138848329607,0.7379335443436902,0.5532522143358345,0.34820928012606395,0.33376605220399513,0.1892400971288191,0.166082661800343,0.5250176793153437,0.24697595285569365
Dolphin-2.2.1-Mistral-7B,21.0,19.0,2.22968784566483,59.77407407407408,0.6019706926298575,0.5947085526202486,0.5747857654637369,0.6607044666290892,0.08462243674377103,47.6,0.3666993830278562,0.740488215868943,0.6109505805788483,0.5627940171672616,0.44962314130956516,0.5761557106983581,0.28385715535586376,0.5151848514242835,0.5013210421102197,0.5617183005463129,0.5399905887925115,0.491152006673531,0.5409384687489244,0.7646790764286344,0.62973869558042,0.436968508393492,0.38997928204887855,0.20088564156751565,0.19376310543373348,0.48091619425285487,0.24697595285569365
Baichuan2-13B-Base,22.0,31.0,2.220741120275327,48.97777777777779,0.5480628694092732,0.5470524415588597,0.5276721781306438,0.4910153413199788,0.0493630881005331,49.6,0.282996262988889,0.6068391232486948,0.47019235858274105,0.4421952992028484,0.5035779182667129,0.5250680122127894,0.12848271242423306,0.5001209668797137,0.4233377688930744,0.4564463443638136,0.43254348183889946,0.26469269820729213,0.3366679980325473,0.6285200039961908,0.5889459055833077,0.17751845653485612,0.3513326865305212,0.1688603943611001,0.116872984229871,0.4263143556040591,0.36531859693238017
Vicuna-7B-v1.5,23.0,49.0,2.2199636141588432,43.351851851851855,0.5091294415277401,0.562937811912656,0.42402228599783875,0.4621320859482154,0.03525934864323793,50.8,0.33481248015586873,0.5093114070122974,0.46719750279558986,0.4180755556099658,0.4271419842440869,0.4739803137272207,0.014939850281887566,0.4519165363370907,0.3230735604710305,0.33590593652125716,0.388462617447674,0.32057226782883164,0.40854094143275405,0.6759325381467739,0.560900862460293,0.1160697600420213,0.2634995148978909,0.10772128605794318,0.1260997987743345,0.33391124404455863,0.08747064996972484
LLaMA-2-Chinese-7B,24.0,63.0,2.218178244743177,39.63333333333334,0.4672011345783968,0.5043605087330322,0.42088138017563254,0.4910153413199788,0.0493630881005331,51.6,0.12754761148795,0.5634934715880737,0.4192798102011704,0.34973628209679825,0.29675127326431294,0.45695108089869785,0.014939850281887566,0.4790315285173162,0.36485031398021545,0.29733300601163914,0.2975458346407716,0.29116196802802136,0.30451431282719166,0.6285200039961908,0.5736486093343907,0.050069308253420965,0.2775528223591118,0.11063267216761731,0.11379737938171651,0.2583086982231491,0.08232531761856456
WeMix-LLaMa2-7B,25.0,54.0,2.2139410523595697,42.437037037037044,0.533088474070222,0.5252100573223898,0.4962631199085817,0.5523922589849762,0.007051869728647586,50.8,0.0,0.5490449210345333,0.48516663751849715,0.4180755556099658,0.37768343870003473,0.43140723165591344,0.01792782033826508,0.47601875160840224,0.3537098463777661,0.32465549845595193,0.38019745537431926,0.3117491778885885,0.3177540655588087,0.7646790764286344,0.540504467461737,0.09558686121107637,0.3161994178774691,0.125189602715988,0.1014949599890985,0.25410855678862637,0.22124929109989222
Baichuan-13B-Base,26.0,52.0,2.211781899139161,42.62222222222222,0.5600423856805141,0.4993963304974708,0.486840402441963,0.46935289979115624,0.028207478914590346,50.8,0.21125073152691717,0.621287673802235,0.4192798102011704,0.4301354274064071,0.33721735598217384,0.5023623684414256,0.01792782033826508,0.5242231821510253,0.35928008017899077,0.36322842896557,0.3526469151298034,0.18822591872518554,0.2383155491691065,0.5944802358880799,0.545603566211376,0.18434608947850442,0.281066149224417,0.12810098882566215,0.11379737938171651,0.28140947611302425,0.18008663229060995
DeepSeek-7B-Base,27.0,51.0,2.209128391401751,42.796296296296305,0.5480628694092732,0.5093246869685935,0.5056858373752003,0.375482319832925,0.05641495782918069,50.8,0.33082661729687035,0.657409050186086,0.3833415407553558,0.2894369231145917,0.21581910782859126,0.5562882723984148,0.011951880225510053,0.4428782056103489,0.34535449567592913,0.32465549845595193,0.3195862668363843,0.33527741772923675,0.2761434141165837,0.6345985340154964,0.5863963562084882,0.1570355577039112,0.2740394954938065,0.13392376104501041,0.1014949599890985,0.3927132241278771,0.08232531761856456
Vicuna-13B-v1.5,28.0,27.0,2.2085550563859764,51.51481481481481,0.5690270228839448,0.6056297447384835,0.5747857654637369,0.5957171420426214,0.04231121837188551,48.8,0.37865697160485157,0.6176755361638501,0.551053464835824,0.40601568381352443,0.4631118355488521,0.47965672467006165,0.03884361073290767,0.5091592976064555,0.4511889378991977,0.4901976585597294,0.42978842781444787,0.34410050766947975,0.40097536844325854,0.7306393083205236,0.5991441030825858,0.2822088283374636,0.2775528223591118,0.14848069159338112,0.1260997987743345,0.4977167599909459,0.22124929109989222
OpenLLaMA-7Bv2,29.0,80.0,2.2041539953500284,34.62962962962964,0.5600423856805141,0.5520166197944211,0.3423587346204772,0.33215743677527976,0.014103739457295173,52.4,0.007971725717996874,0.5851662974183842,0.3084701460765754,0.2693371367871895,0.1663605622845391,0.27530593072778686,0.0029879700563775133,0.4127504365212095,0.3342140280734798,0.2145619259597504,0.19009872768715963,0.22645930846623885,0.18157375174789067,0.6212257679730242,0.4206756468452198,0.18207021183062166,0.3126860910121639,0.1397465332643587,0.116872984229871,0.2709091225267174,0.07203465291624397
Nanbeige-16B-Base,30.0,28.0,2.200032891445405,50.796296296296305,0.5660321438161345,0.5043605087330322,0.5779266712859431,0.3177158090893981,0.021155609185942757,48.8,0.24313763439890468,0.6176755361638501,0.46719750279558986,0.4220955128754462,0.46760806696194773,0.5846703271126197,0.06274737118392779,0.5513381743312508,0.39827171678756346,0.42349863288684825,0.48488950830347965,0.30292608794834547,0.36314750349578134,0.724560778301218,0.5761981587092102,0.37779568954854,0.3724126477223525,0.20961979989653806,0.1445534278632615,0.47461598210107075,0.3447372675277391
MOSS-Moon,31.0,81.0,2.171716003915789,34.111111111111114,0.5270987159346016,0.5043605087330322,0.3894723219535704,0.3935343544402772,0.0,51.6,0.21523659438591564,0.5020871317355272,0.3474032713095412,0.2974768376455526,0.22031533924168692,0.27530593072778686,0.005975940112755027,0.4127504365212095,0.32028844357041814,0.27001051356732636,0.2507099162250946,0.16175664890445632,0.11348359484243167,0.5665189977992745,0.2931981781042441,0.1570355577039112,0.2740394954938065,0.12227821660631387,0.09226814544463499,0.28770968826480836,0.03601732645812199
TigerBot-70B-Chat-V1,32.0,16.0,2.1585055611551165,63.177777777777756,0.6049655716976676,0.6264792933278411,0.5716448596415308,0.5560026659064466,0.2609191799599607,44.8,0.31488316586087656,0.8271795191901851,0.5989711574302434,0.530634359043418,0.44512690989646947,0.5818321216411991,0.1553744429316307,0.6507598123254107,0.5932298998304266,0.544842643448355,0.48488950830347965,0.5117392165340982,0.49932781730669934,0.8473470846911896,0.5838468068336686,0.45745140722443695,0.5937522402365808,0.4046826692447054,0.3352409284488405,0.5229176085980823,0.37560926163470076
LLaMA-2-70B,33.0,12.0,2.1552790661633727,64.91111111111111,0.6079604507654779,0.6314434715634024,0.694140186707573,0.6065483628070327,0.24681544050266552,44.4,0.0,0.7657731793376386,0.6438939942375117,0.5426942308398595,0.476600529788139,0.6783311076694956,0.1583624129880082,0.6206320432362713,0.5765191984267526,0.5617183005463129,0.5317254267191567,0.4676237668328828,0.4804138848329607,0.9081323848842447,0.6271891462056004,0.43014087544984364,0.6499654700814642,0.5269608858510193,0.442887098134248,0.5250176793153437,0.39104525868818163
TigerBot-70B-Chat-V2,34.0,13.0,2.153743608410299,63.87777777777778,0.6169450879689087,0.6790995826247914,0.5873493887525618,0.7076397566082049,0.2538673102313131,44.4,0.3666993830278562,0.8235673815518001,0.6319145710889069,0.5507341453708202,0.46760806696194773,0.5960231489983016,0.1553744429316307,0.6387087046897548,0.5375275618181801,0.5560930815136603,0.5234602646458019,0.48821097669345,0.5106761767909426,0.8740926167761339,0.4614684368423321,0.40510622132313323,0.664018777542685,0.4046826692447054,0.34139213814514946,0.5229176085980823,0.38589992633702136
Vicuna-13B-v1.5-16k,35.0,37.0,2.151877103984699,48.11851851851852,0.5360833531380321,0.562937811912656,0.5779266712859431,0.6029379558855622,0.007051869728647586,48.0,0.32684075443787186,0.4045594154991298,0.4971460606671021,0.4220955128754462,0.5080741496798086,0.5250680122127894,0.020915790394642593,0.4971081899707998,0.4094121843900127,0.36322842896557,0.41325810366773835,0.25881063824713013,0.42745487390649267,0.7306393083205236,0.6093423005818638,0.22303600949251157,0.3056594372815534,0.15139207770305527,0.116872984229871,0.45361527492845705,0.14921463818364825
TigerBot-13B-Base-V2,36.0,35.0,2.151428325803442,48.2111111111111,0.5390782322058425,0.5202458790868284,0.5716448596415308,0.35743028522557285,0.014103739457295173,48.0,0.2471234972579031,0.6176755361638501,0.48816149330564845,0.40601568381352443,0.476600529788139,0.5733175052269376,0.023903760451020106,0.533261512877767,0.4094121843900127,0.4347490709521535,0.3636671312276097,0.2970440279881834,0.3328852115377996,0.724560778301218,0.5914954549581272,0.24807066361922203,0.3056594372815534,0.16012623603207768,0.159931452104034,0.45571534564571836,0.23668528815337306
TigerBot-70B-Base-V1,37.0,14.0,2.145738140144155,63.75185185185186,0.5989758135620472,0.6215151150922797,0.6093357295080053,0.6246003974143849,0.23271170104537034,44.4,0.3108973030018781,0.7729974546144087,0.6109505805788483,0.4783749145921724,0.39566836435241737,0.6499490529552907,0.1822661734390283,0.6176192663273573,0.5653787308243033,0.5560930815136603,0.509684994523544,0.4617417068727207,0.5031106038014471,0.8400528486680229,0.6195404980811419,0.5052448378299751,0.646452143216159,0.4105054414640537,0.3106360896636045,0.5250176793153437,0.37560926163470076
TigerBot-13B-Base-V1,38.0,41.0,2.1401176515356175,46.34444444444444,0.5630372647483244,0.5897443743846872,0.5370948955972624,0.3718719129114546,0.007051869728647586,48.0,0.29096798870688595,0.6465726372709306,0.48516663751849715,0.4703350000612115,0.5260590753321912,0.4257308207130725,0.011951880225510053,0.46999319779057436,0.4233377688930744,0.4459995090174587,0.3691772392765129,0.252928578286968,0.3101884925693132,0.6759325381467739,0.5761981587092102,0.1615873129996767,0.2599861880325857,0.1543034638127294,0.14147782301510697,0.41581400201775226,0.20066796169525108
InternLM-20B-Chat,39.0,77.0,2.133367610934098,35.333333333333336,0.470196013646207,0.43585484908228567,0.34549964044268344,0.41880720289057016,0.007051869728647586,50.4,0.1713921029369328,0.19866757011117983,0.3713621176067509,0.237177478663346,0.17984925652382605,0.4257308207130725,0.02689173050739762,0.4248015441568653,0.4121973012906251,0.3029582250442918,0.27550540244515886,0.05882059960162048,0.20805325721112472,0.7440120743629958,0.4844143812157076,0.15248380240814566,0.2634995148978909,0.1310123749353363,0.129175403622489,0.32551096117551315,0.0
Alpaca-7B,40.0,84.0,2.132949343550603,32.818518518518516,0.42227794856124323,0.5470524415588597,0.35806326373150826,0.4332488305764519,0.007051869728647586,50.8,0.051816217166979685,0.49847499409714213,0.3593826944581461,0.24521739319430683,0.21581910782859126,0.2894969580848893,0.00896391016913254,0.37659711361424225,0.2367349365520482,0.24750963743671583,0.17907851158935328,0.15587458894429426,0.20048768422162927,0.5811074698456077,0.42832429496967833,0.07510396238013144,0.28809280295502737,0.10480989994826903,0.1076461696854075,0.3045102540028994,0.0668893205650837
LLaMA-2-Chinese-13B,41.0,36.0,2.1274939626267546,48.20370370370371,0.5570475066127039,0.5947085526202486,0.5433767072416749,0.38270313367586584,0.05641495782918069,47.2,0.29096798870688595,0.6176755361638501,0.5480586090486728,0.4622950855302506,0.43613444707027815,0.46262749184153884,0.011951880225510053,0.5151848514242835,0.4428335871973607,0.3961761404425354,0.4270333737899963,0.2558696082670491,0.3177540655588087,0.8400528486680229,0.5991441030825858,0.12289739298566964,0.3056594372815534,0.10480989994826903,0.14147782301510697,0.4956166892736845,0.31386527342077736
Baichuan2-7B-Chat,42.0,73.0,2.125473363891677,35.840740740740735,0.29349814864540313,0.5252100573223898,0.38633141613136424,0.32854702985380935,0.007051869728647586,50.0,0.051816217166979685,0.5093114070122974,0.3623775502452973,0.35777619662775917,0.35520228163455647,0.36896671128466285,0.03585564067653016,0.3344182368894471,0.15318142953367825,0.3688536479982226,0.29479078061631997,0.26469269820729213,0.3026229195798178,0.5458519957336357,0.4410720418437759,0.12517327063355238,0.21782626564892316,0.11063267216761731,0.0953437502927895,0.45361527492845705,0.09776131467204541
Skywork-13B-base,43.0,34.0,2.1220016300346023,48.3074074074074,0.5420731112736528,0.5569807980299823,0.5842084829303557,0.47657371363409706,0.021155609185942757,47.2,0.16342037721893593,0.7838338675295641,0.4911563490927996,0.37385602568968096,0.27876634761193037,0.44559825901301586,0.1583624129880082,0.4971081899707998,0.3787758984832771,0.4516247280501114,0.4215232657410931,0.4440955269922346,0.4388032333907358,0.6759325381467739,0.5812972574588492,0.12972502592931795,0.33025272533868993,0.17468316658044838,0.153780242407725,0.42211421416953643,0.11834264407668653
WeMix-LLaMa2-13B,44.0,32.0,2.1149933853874074,48.59259259259258,0.5660321438161345,0.562937811912656,0.5559403305304996,0.6065483628070327,0.12693365511565655,46.8,0.0,0.5093114070122974,0.5031357722414045,0.49043478638861365,0.5035779182667129,0.46262749184153884,0.014939850281887566,0.5121720745153695,0.36763543088082773,0.4347490709521535,0.49315467037683436,0.3146902078686695,0.3253196385483041,0.8607198507336616,0.550702664961015,0.22758776478827708,0.3126860910121639,0.1775945526901225,0.153780242407725,0.4452149920594115,0.22639462345105255
LLaMA-2-7B,45.0,65.0,2.114921368082548,38.2,0.5091294415277401,0.5202458790868284,0.47113587333093193,0.4260280167335111,0.021155609185942757,49.2,0.0,0.46596575535167634,0.413290098626868,0.3296364957693961,0.26977388478573905,0.5193916012699485,0.00896391016913254,0.40371210579446776,0.34535449567592913,0.25313485646936845,0.31407615878748113,0.24116445836664394,0.18157375174789067,0.5871859998649133,0.5634504118351126,0.06827632943648312,0.3056594372815534,0.1310123749353363,0.135326613318798,0.2793094053957629,0.1389239734813277
Aquila2-34B,46.0,53.0,2.107251721568742,42.53333333333334,0.5510577484770833,0.5093246869685935,0.3894723219535704,0.29605336756057543,0.007051869728647586,48.0,0.27901040012989065,0.46596575535167634,0.44922836807268257,0.36983606842420047,0.33721735598217384,0.3093643963848327,0.1374466225933656,0.5513381743312508,0.4734698731040964,0.3688536479982226,0.4793794002545764,0.2205772485060768,0.2912745600955746,0.758600546409329,0.4359729430941369,0.15931143535179396,0.34079270593460553,0.15139207770305527,0.14147782301510697,0.3297111026100359,0.09261598232088512
Chinese-Alpaca-2-7B,47.0,64.0,2.104921707957077,38.800000000000004,0.482175529917448,0.541095427676186,0.46485406168651955,0.3790927267543954,0.028207478914590346,48.8,0.11160416005195624,0.46235361771329125,0.38034668496820456,0.34973628209679825,0.283262579025026,0.4427600535415954,0.0029879700563775133,0.4097376596122956,0.3927014829863387,0.3134050603906467,0.33336153695864224,0.2235182784861578,0.2572294816428451,0.6285200039961908,0.5124594243387224,0.1320009035772007,0.2670128417631961,0.125189602715988,0.116872984229871,0.32551096117551315,0.0668893205650837
Baichuan-7B,48.0,85.0,2.1007412709443947,32.78888888888889,0.43725234390029444,0.5470524415588597,0.3266542055094462,0.38992394751880677,0.0,50.0,0.0,0.45151720479813595,0.3503981270966924,0.2773770513181504,0.1663605622845391,0.2866587526134688,0.0,0.4458909825192629,0.2729414562600085,0.24188441840406322,0.16530324146709532,0.20881312858575268,0.17022539226364752,0.5458519957336357,0.4257747455948588,0.1411044141687318,0.3161994178774691,0.125189602715988,0.12302419392618,0.2583086982231491,0.04630799116044256
InternLM-Chat-7B-8K,49.0,72.0,2.0986901041221193,35.98888888888889,0.4162881904256228,0.3981270944920195,0.2763997123541468,0.3141054021679276,0.007051869728647586,49.2,0.1713921029369328,0.43345651660621054,0.3713621176067509,0.24521739319430683,0.15287186804525213,0.40586338241312914,0.023903760451020106,0.3976865519766398,0.35928008017899077,0.27001051356732636,0.24244475415173983,0.16469767888453732,0.7537202090784837,0.6893053041892461,0.4359729430941369,0.08420747297166252,0.2634995148978909,0.13683514715468456,0.110721774533562,0.34021145619634274,0.0
