Model,Rank,Rank-Before,WinRate,WinRate-Before,humaneval-python,java,javascript
DeepSeek-Coder-7b-instruct,1.0,1.0,0.9358974358974359,0.7916666666666666,80.22,53.34,65.8
Phind-CodeLlama-34B-v2,2.0,2.0,0.9102564102564101,0.7083333333333333,71.95,54.06,65.34
DeepSeek-Coder-33b-instruct,3.0,3.0,0.8846153846153846,0.625,80.02,52.03,65.13
Phind-CodeLlama-34B-Python-v1,4.0,4.0,0.8589743589743589,0.5416666666666666,70.22,48.72,66.24
Phind-CodeLlama-34B-v1,5.0,5.0,0.8076923076923077,0.375,65.85,49.47,64.45
WizardCoder-Python-34B-V1.0,6.0,6.0,0.7948717948717948,0.3333333333333333,70.73,44.94,55.28
WizardCoder-Python-13B-V1.0,7.0,8.0,0.7051282051282051,0.041666666666666664,62.19,41.77,48.45
DeepSeek-Coder-33b-base,8.0,7.0,0.6923076923076923,0.08333333333333333,52.45,43.77,51.28
CodeLlama-34b-Python,,,,,53.29,39.46,44.72
WizardCoder-15B-V1.0,,,,,58.12,35.77,41.91
DeepSeek-Coder-7b-base,,,,,45.83,37.72,45.9
CodeLlama-34b,,,,,45.11,40.19,41.66
CodeLlama-13b-Python,,,,,42.89,33.56,40.66
CodeLlama-13b,,,,,35.07,32.23,38.26
CodeLlama-7b-Instruct,,,,,45.65,28.77,33.11
CodeLlama-7b-Python,,,,,40.48,29.15,36.34
StarCoder-15B,,,,,33.57,30.22,30.79
CodeLlama-7b,,,,,29.98,29.2,31.8
CodeGeex2-6B,,,,,33.49,23.46,29.9
Phi-1,,,,,51.22,10.76,19.25
Refact-1.6B,,,,,31.1,22.78,22.36
Replit-2.7B,,,,,20.12,21.39,20.18
StarCoderBase-3B,,,,,21.5,19.25,21.32
StableCode-3B,,,,,20.2,19.54,18.98
SantaCoder-1.1B,,,,,18.12,15.0,15.47
StarCoderBase-1.1B,,,,,15.17,14.2,13.38
