Model,Rank,Rank-Before,Average,Average-Before,CoLA (× 0.0060),SST-2 (× 0.0314),MRPC (× 0.0211),STS-B (× 0.0117),QQP (× 1.0000),QNLI (× 0.0206),RTE (× 0.0060),WNLI (× 0.0047),MNLI (× 0.0161)
Vega v1,1.0,2.0,10.551224245678121,91.27222222222223,0.44208602967699817,3.0714106483975416,1.9770596348138296,1.0883415445695344,83.9,1.9925118504142614,0.5523390913992999,0.4569908947651181,1.4802785170665151
Turing NLR v5 ,2.0,3.0,10.534826806967697,91.17777777777778,0.4348976389505429,3.0619987669417776,1.9601526577122683,1.0906745382342065,83.75,2.017237954038844,0.5625011742497198,0.4476550235748195,1.488323509007094
DeBERTa + CLEVER,3.0,4.0,10.530643687953875,91.10555555555555,0.4474773227218396,3.0619987669417776,1.9485291109549445,1.0877582961533665,83.75,1.9925118504142614,0.5571212480347917,0.450922578491424,1.479474017872457
Turing ULR v6,4.0,1.0,10.522348220747839,91.27777777777777,0.4390908668743085,3.05886147312319,1.970719518400744,1.0883415445695344,83.65,1.9925118504142614,0.5595123263525374,0.4569908947651181,1.4851055122308625
ALBERT + DAAF + NAS,5.0,9.0,10.5062463043121,90.56666666666668,0.4402889319953843,3.0494495916674262,1.9654360880565063,1.081342563575518,83.55,2.008995919497316,0.5481547043432445,0.4411199137416104,1.4714290259318783
DeBERTa / TuringNLRv4,6.0,7.0,10.505894822569715,90.76666666666668,0.4283082807846256,3.05886147312319,1.9654360880565063,1.0819258119916861,83.5,2.044024566298808,0.5571212480347917,0.4411199137416104,1.4762560210962257
StructBERT + CLEVER,7.0,6.0,10.471774900371855,91.01111111111112,0.45107151808506724,3.065136060760366,1.9633227159188111,1.0883415445695344,83.19999999999999,2.0069354108619346,0.5529368609787363,0.444387468658215,1.473842523514052
ELECTRA-Large + Standard Tricks,8.0,15.0,10.455958230768424,89.44999999999999,0.42950634590570147,3.0463122978488384,1.9421889945418596,1.081342563575518,83.19999999999999,1.9739672726958246,0.5367970823339516,0.4285164876347073,1.4649930323794154
ERNIE,9.0,5.0,10.455740122385443,91.08888888888889,0.45226958320614313,3.0682733545789533,1.9622660298499632,1.0825090604078542,83.05000000000001,2.0048749022265526,0.5535346305581728,0.4476550235748195,1.4802785170665151
Funnel-Transformer (Ensemble B10-10-10H1024),10.0,14.0,10.442393229997297,89.70555555555556,0.4223179551792462,3.05886147312319,1.9506424830926403,1.0784263214946779,83.05000000000001,1.9739672726958246,0.5379926214928246,0.4411199137416104,1.468211029155647
2digit LANet,11.0,16.0,10.434216517551887,89.28333333333333,0.43010537846623936,3.052586885486014,1.923168645302603,1.083092308824022,83.0,1.9863303245081159,0.5445680868666257,0.41264550661119964,1.4754515219021678
NEZHA-Large,12.0,12.0,10.432025796135935,89.84999999999998,0.42950634590570147,3.052586885486014,1.9474724248860973,1.0749268309976698,82.95,1.9822093072373521,0.539785930231134,0.4411199137416104,1.4706245267378206
T5,13.0,10.0,10.425715826406414,90.30555555555556,0.4289073133451635,3.05886147312319,1.9358488781287737,1.084258805656358,82.85,1.9966328676850253,0.5547301697170457,0.4411199137416104,1.4810830162605733
ANNA,14.0,13.0,10.424439485953295,89.8111111111111,0.41153536908956334,3.0431750040302505,1.9316221338533837,1.0836755572401904,82.9,1.9780882899665884,0.548752473922681,0.4476550235748195,1.4754515219021678
MacALBERT + DKM,15.0,8.0,10.408145051098911,90.6888888888889,0.44807635528237755,3.0431750040302505,1.9770596348138296,1.081342563575518,82.65,2.0151774454034617,0.5499480130815539,0.4411199137416104,1.4674065299615888
ELECTRA-Large-NewSCL(single),16.0,24.0,10.407819910638477,85.56666666666665,0.4390908668743085,3.0494495916674262,1.9326788199222311,1.0714273405006616,82.94999999999999,1.9698462554250609,0.5194617645302939,0.28147651638750376,1.4569480404388364
 DropAttack-RoBERTa-large,17.0,17.0,10.404667137250307,88.77777777777777,0.4211198900581703,3.033763122574487,1.9305654477845358,1.0725938373329975,82.8,1.9636647295189154,0.5373948519133881,0.4187138228848937,1.4641885331853575
ELECTRA-large-M (bert4keras),18.0,20.0,10.395097306625793,88.27222222222221,0.4151295644527909,3.005527478207196,1.9210552731649078,1.0632618626743093,82.8,1.9327570999881873,0.5254394603246587,0.4285164876347073,1.4641885331853575
FreeLB-RoBERTa (ensemble),19.0,18.0,10.376787999192683,88.41111111111111,0.40734214116579776,3.0369004163930744,1.9432456806107066,1.0755100794138377,82.55,1.9698462554250609,0.5302216169601505,0.4154462679682892,1.4625795347972417
HIRE-RoBERTa,20.0,19.0,10.343278948642908,88.32777777777778,0.41093633652902534,3.0463122978488384,1.9411323084730117,1.075510079413838,82.25,1.967785746789679,0.5254394603246587,0.4154462679682892,1.4569480404388366
RoBERTa,21.0,21.0,10.339160075620704,88.10555555555555,0.40614407604472186,3.033763122574487,1.9242253313714504,1.073760334165334,82.25,1.9657252381542973,0.5272327690629681,0.4154462679682892,1.4561435412447785
MT-DNN-SMART,22.0,11.0,10.338721586604372,89.85555555555555,0.4163276295738668,3.05886147312319,1.9580392855745732,1.081342563575518,82.05000000000001,2.044024566298808,0.5361993127545152,0.4411199137416104,1.4625795347972417
MT-DNN-ensemble,23.0,22.0,10.283444969455763,87.56111111111109,0.40973827140794955,3.027488534937311,1.9337355059910786,1.0603456205934694,81.80000000000001,1.9780882899665884,0.5158751470536751,0.4154462679682892,1.410287087183479
ConvBERT-base-paddle-v1.1,24.0,29.0,10.266485933992065,83.10000000000001,0.3971585876366528,2.9929783029328445,1.9041482960633462,1.0451811617731006,81.95,1.922454556811278,0.4674558111193209,0.3038826072442205,1.4151140823478263
distilRoBERTa+GAL (6-layer transformer single model),25.0,33.0,10.229156322027409,82.65000000000002,0.35941953632276274,2.989841009114256,1.913658470682975,1.0475141554377727,81.65,1.910091504998987,0.4889755159790338,0.3038826072442205,1.3990240984666684
Snorkel MeTaL,26.0,27.0,10.219948377793955,83.18888888888888,0.38218277362320435,3.0180766534815473,1.902034923925651,1.0486806522701089,81.5,1.9348176086235693,0.48359558976410566,0.3038826072442205,1.4062645912131895
ConvBERT base,27.0,26.0,10.21791930727021,83.21666666666667,0.40614407604472186,3.002390184388608,1.8988648657191083,1.050430397518613,81.5,1.9203940481758963,0.4656625023810115,0.3038826072442205,1.4135050839597103
XLM (English only),28.0,28.0,10.215864448193946,83.1222222222222,0.3767914805783629,2.9992528905700198,1.8787878304110044,1.032349696617404,81.5,1.936878117258951,0.4543048803717185,0.3356245692912359,1.4287905686468103
RobustRoBERTa,29.0,39.0,10.210965814184538,81.9,0.3809847085021285,3.0369004163930744,1.9041482960633462,1.0492639006862767,81.45,1.9595437122481514,0.30067809845654525,0.37390164117146024,1.4432715541398524
SemBERT,30.0,30.0,10.190317820755538,82.92777777777776,0.3731972852151353,2.967879952384141,1.8967514935814132,1.0177684862132035,81.3,1.9492411690712421,0.5051152946238185,0.3038826072442205,1.3990240984666682
