Model,Rank,Rank-Before,WinRate,WinRate-Before,MS-COCO (base) - Expected aesthetics score ↑ [ sort ],MS-COCO (base) - Max aesthetics score ↑ [ sort ],MS-COCO (base) - Fractal dimension loss ↓ [ sort ],Caltech-UCSD Birds-200-2011 - Expected aesthetics score ↑ [ sort ],Caltech-UCSD Birds-200-2011 - Max aesthetics score ↑ [ sort ],Caltech-UCSD Birds-200-2011 - Fractal dimension loss ↓ [ sort ],DrawBench (image quality categories) - Expected aesthetics score ↑ [ sort ],DrawBench (image quality categories) - Max aesthetics score ↑ [ sort ],DrawBench (image quality categories) - Fractal dimension loss ↓ [ sort ],PartiPrompts (image quality categories) - Expected aesthetics score ↑ [ sort ],PartiPrompts (image quality categories) - Max aesthetics score ↑ [ sort ],PartiPrompts (image quality categories) - Fractal dimension loss ↓ [ sort ],dailydall.e - Expected aesthetics score ↑ [ sort ],dailydall.e - Max aesthetics score ↑ [ sort ],dailydall.e - Fractal dimension loss ↓ [ sort ],Landing Page - Expected aesthetics score ↑ [ sort ],Landing Page - Max aesthetics score ↑ [ sort ],Landing Page - Fractal dimension loss ↓ [ sort ],Logos - Expected aesthetics score ↑ [ sort ],Logos - Max aesthetics score ↑ [ sort ],Logos - Fractal dimension loss ↓ [ sort ],Magazine Cover Photos - Expected aesthetics score ↑ [ sort ],Magazine Cover Photos - Max aesthetics score ↑ [ sort ],Magazine Cover Photos - Fractal dimension loss ↓ [ sort ],Common Syntactic Processes - Expected aesthetics score ↑ [ sort ],Common Syntactic Processes - Max aesthetics score ↑ [ sort ],Common Syntactic Processes - Fractal dimension loss ↓ [ sort ],DrawBench (reasoning categories) - Expected aesthetics score ↑ [ sort ],DrawBench (reasoning categories) - Max aesthetics score ↑ [ sort ],DrawBench (reasoning categories) - Fractal dimension loss ↓ [ sort ],PartiPrompts (reasoning categories) - Expected aesthetics score ↑ [ sort ],PartiPrompts (reasoning categories) - Max aesthetics score ↑ [ sort ],PartiPrompts (reasoning categories) - Fractal dimension loss ↓ [ sort ],Relational Understanding - Expected aesthetics score ↑ [ sort ],Relational Understanding - Max aesthetics score ↑ [ sort ],Relational Understanding - Fractal dimension loss ↓ [ sort ],Detection (PaintSkills) - Expected aesthetics score ↑ [ sort ],Detection (PaintSkills) - Max aesthetics score ↑ [ sort ],Detection (PaintSkills) - Fractal dimension loss ↓ [ sort ],Winoground - Expected aesthetics score ↑ [ sort ],Winoground - Max aesthetics score ↑ [ sort ],Winoground - Fractal dimension loss ↓ [ sort ],PartiPrompts (knowledge categories) - Expected aesthetics score ↑ [ sort ],PartiPrompts (knowledge categories) - Max aesthetics score ↑ [ sort ],PartiPrompts (knowledge categories) - Fractal dimension loss ↓ [ sort ],DrawBench (knowledge categories) - Expected aesthetics score ↑ [ sort ],DrawBench (knowledge categories) - Max aesthetics score ↑ [ sort ],DrawBench (knowledge categories) - Fractal dimension loss ↓ [ sort ],TIME's most significant historical figures - Expected aesthetics score ↑ [ sort ],TIME's most significant historical figures - Max aesthetics score ↑ [ sort ],TIME's most significant historical figures - Fractal dimension loss ↓ [ sort ],Demographic Stereotypes - Expected aesthetics score ↑ [ sort ],Demographic Stereotypes - Max aesthetics score ↑ [ sort ],Demographic Stereotypes - Fractal dimension loss ↓ [ sort ],Mental Disorders - Expected aesthetics score ↑ [ sort ],Mental Disorders - Max aesthetics score ↑ [ sort ],Mental Disorders - Fractal dimension loss ↓ [ sort ],Inappropriate Image Prompts (I2P) - Expected aesthetics score ↑ [ sort ],Inappropriate Image Prompts (I2P) - Max aesthetics score ↑ [ sort ],Inappropriate Image Prompts (I2P) - Fractal dimension loss ↓ [ sort ]
Redshift Diffusion (1B),1.0,3.0,0.7377777777777778,0.42666666666666664,6.353,6.85,-0.162,6.552,6.552,-0.079,5.702,6.354,-0.177,6.208,6.728,-0.165,6.618,7.13,-0.154,3.988,4.634,-0.13,4.1,5.094,-0.258,4.439,5.547,-0.162,6.355,6.939,-0.134,6.014,6.577,-0.164,5.565,6.312,-0.183,5.832,6.437,-0.167,6.316,6.853,-0.136,6.282,6.829,-0.152,6.324,6.811,-0.196,6.14,6.683,-0.189,6.412,6.962,-0.111,6.331,7.013,-0.083,6.237,6.703,-0.062,6.319,7.116,-0.146
Dreamlike Diffusion v1.0 (1B),2.0,2.0,0.7188888888888889,0.49000000000000005,6.323,6.804,-0.109,6.201,6.201,-0.066,5.439,6.078,-0.109,6.335,6.777,-0.112,6.837,7.284,-0.098,4.333,5.066,-0.09,3.398,4.332,-0.118,4.103,4.805,-0.122,6.533,7.08,-0.082,6.179,6.609,-0.099,5.486,6.059,-0.148,6.059,6.592,-0.101,6.261,6.704,-0.1,6.048,6.576,-0.101,6.415,6.831,-0.145,6.179,6.64,-0.11,6.074,6.461,-0.098,6.094,6.778,-0.072,5.742,6.347,-0.063,6.068,6.832,-0.112
Openjourney v1 (1B),3.0,1.0,0.6866666666666668,0.5266666666666666,6.522,7.089,-0.205,6.731,6.731,-0.191,6.114,6.926,-0.248,6.546,7.154,-0.224,6.799,7.36,-0.211,4.396,5.231,-0.192,4.718,5.606,-0.258,5.17,6.341,-0.231,7.067,7.75,-0.218,6.281,6.867,-0.225,5.889,6.553,-0.268,6.448,7.281,-0.222,6.428,7.085,-0.223,6.688,7.39,-0.217,6.486,7.065,-0.27,6.367,6.928,-0.249,6.405,6.981,-0.246,6.624,7.524,-0.166,6.717,7.611,-0.174,6.563,7.357,-0.22
Safe Stable Diffusion max (1B),4.0,5.0,0.6233333333333333,0.27,6.186,6.732,-0.212,6.28,6.28,-0.106,5.918,6.57,-0.222,6.197,6.755,-0.206,6.318,6.909,-0.209,4.392,4.964,-0.132,4.461,5.503,-0.192,4.666,5.768,-0.244,6.259,6.998,-0.196,6.034,6.633,-0.201,5.559,6.267,-0.231,5.705,6.321,-0.161,6.177,6.758,-0.206,5.999,6.576,-0.197,6.326,6.853,-0.265,6.044,6.638,-0.215,5.863,6.336,-0.194,5.936,6.834,-0.138,5.703,6.771,-0.13,5.922,6.975,-0.205
Dreamlike Photoreal v2.0 (1B),5.0,4.0,0.6122222222222222,0.2733333333333333,6.214,6.656,-0.142,6.175,6.175,-0.082,5.428,6.074,-0.14,6.141,6.594,-0.149,6.429,6.926,-0.138,4.61,5.232,-0.102,3.688,4.724,-0.146,4.125,4.957,-0.162,6.196,6.765,-0.099,6.082,6.537,-0.133,5.28,5.894,-0.216,5.851,6.375,-0.144,6.073,6.534,-0.136,5.843,6.402,-0.133,6.298,6.72,-0.185,6.088,6.625,-0.147,6.093,6.468,-0.132,5.898,6.511,-0.07,5.672,6.224,-0.059,5.895,6.709,-0.137
Promptist + Stable Diffusion v1.4 (1B),,,,,6.816,7.367,-0.193,6.335,6.335,-0.175,6.514,7.171,-0.242,6.496,7.019,-0.221,6.491,6.997,-0.204,4.215,5.087,-0.19,3.568,4.657,-0.26,3.614,4.438,-0.284,6.977,7.616,-0.17,6.468,7.049,-0.213,5.708,6.391,-0.274,6.349,6.944,-0.188,6.206,6.808,-0.221,6.67,7.182,-0.216,6.512,7.068,-0.251,6.175,6.751,-0.24,6.444,6.889,-0.215,5.647,6.532,-0.15,5.744,6.548,-0.138,6.041,6.782,-0.221
Openjourney v2 (1B),,,,,6.277,6.779,-0.2,6.277,6.277,-0.135,5.552,6.379,-0.216,6.187,6.794,-0.214,6.423,6.966,-0.211,4.071,4.768,-0.143,3.66,4.506,-0.236,4.219,5.159,-0.237,6.317,7.151,-0.217,5.996,6.622,-0.204,5.429,6.157,-0.269,5.989,6.716,-0.202,6.125,6.669,-0.195,5.849,6.597,-0.213,6.265,6.789,-0.247,5.989,6.547,-0.232,6.241,6.806,-0.23,5.93,6.927,-0.148,5.845,6.836,-0.155,6.037,6.887,-0.254
Stable Diffusion v2.1 base (1B),,,,,6.178,6.647,-0.213,6.389,6.389,-0.098,5.688,6.329,-0.224,6.166,6.675,-0.214,6.316,6.843,-0.209,4.262,5.068,-0.151,4.363,5.399,-0.249,4.211,5.194,-0.269,6.143,6.742,-0.174,5.997,6.551,-0.214,5.275,5.991,-0.24,5.94,6.515,-0.171,6.158,6.749,-0.203,5.886,6.49,-0.195,6.289,6.749,-0.282,6.034,6.602,-0.229,5.919,6.341,-0.226,5.749,6.527,-0.142,5.163,5.92,-0.11,5.775,6.703,-0.23
Safe Stable Diffusion weak (1B),,,,,6.149,6.661,-0.215,6.259,6.259,-0.107,5.635,6.219,-0.219,6.121,6.619,-0.218,6.286,6.815,-0.222,4.197,4.971,-0.136,3.494,4.577,-0.264,3.559,4.515,-0.25,6.14,6.879,-0.19,5.927,6.455,-0.216,5.138,5.819,-0.291,5.747,6.27,-0.171,6.133,6.639,-0.207,5.785,6.397,-0.212,6.156,6.698,-0.266,5.838,6.357,-0.231,5.929,6.373,-0.228,5.709,6.596,-0.132,5.415,6.055,-0.115,5.513,6.403,-0.226
GigaGAN (1B),,,,,5.705,6.279,-0.195,5.62,5.62,-0.102,5.502,6.064,-0.217,5.824,6.37,-0.221,5.907,6.465,-0.175,4.15,4.872,-0.18,3.952,4.842,-0.228,3.988,4.936,-0.201,5.62,6.2,-0.165,5.576,6.191,-0.206,4.961,5.622,-0.295,5.198,5.753,-0.179,5.576,6.169,-0.158,5.247,5.91,-0.184,6.041,6.595,-0.236,5.612,6.268,-0.197,6.175,6.699,-0.163,5.588,6.337,-0.151,5.178,6.319,-0.204,5.531,6.366,-0.194
