Model,Rank,Rank-Before,WinRate,WinRate-Before,MS-COCO (base) - Clear subject (human) ↑ [ sort ],MS-COCO (base) - Aesthetics (human) ↑ [ sort ],MS-COCO (fairness - gender) - Aesthetics (human) ↑ [ sort ],MS-COCO (fairness - AAVE dialect) - Aesthetics (human) ↑ [ sort ],MS-COCO (robustness) - Aesthetics (human) ↑ [ sort ],MS-COCO (Chinese) - Aesthetics (human) ↑ [ sort ],MS-COCO (Hindi) - Aesthetics (human) ↑ [ sort ],MS-COCO (Spanish) - Aesthetics (human) ↑ [ sort ],MS-COCO (Art styles) - Clear subject (human) ↑ [ sort ],MS-COCO (Art styles) - Aesthetics (human) ↑ [ sort ],dailydall.e - Clear subject (human) ↑ [ sort ],dailydall.e - Aesthetics (human) ↑ [ sort ],Landing Page - Clear subject (human) ↑ [ sort ],Landing Page - Aesthetics (human) ↑ [ sort ],Logos - Clear subject (human) ↑ [ sort ],Logos - Aesthetics (human) ↑ [ sort ],Magazine Cover Photos - Clear subject (human) ↑ [ sort ],Magazine Cover Photos - Aesthetics (human) ↑ [ sort ]
Dreamlike Photoreal v2.0 (1B),1.0,1.0,0.7916666666666666,0.47777777777777775,2.9,3.76,3.707,3.571,3.618,3.43,3.348,3.576,2.874,3.824,2.968,4.208,2.712,3.496,2.848,3.608,2.952,3.808
Openjourney v1 (1B),2.0,2.0,0.7777777777777778,0.4333333333333334,2.864,3.804,3.575,3.477,3.602,3.894,3.59,3.598,2.834,3.91,2.968,4.152,2.56,3.496,2.92,3.856,2.848,3.896
DALL-E 2 (3.5B),3.0,3.0,0.7569444444444444,0.4,2.914,3.718,3.584,3.491,3.602,3.352,3.431,3.547,2.836,3.764,2.944,3.88,2.752,3.504,2.928,3.664,2.912,3.72
Safe Stable Diffusion strong (1B),4.0,5.0,0.7256944444444444,0.3111111111111111,2.91,3.56,3.58,3.611,3.52,3.368,3.204,3.488,2.828,3.74,2.96,3.872,2.896,3.736,2.888,3.864,2.864,3.672
Promptist + Stable Diffusion v1.4 (1B),5.0,4.0,0.71875,0.32222222222222224,2.906,3.738,3.496,3.594,3.541,3.346,3.14,3.55,2.834,3.616,2.936,3.928,2.92,3.856,2.92,3.8,2.96,3.608
Safe Stable Diffusion max (1B),,,,,2.87,3.476,3.514,3.5,3.484,3.428,3.536,3.63,2.86,3.494,2.848,3.528,2.856,3.512,2.872,3.424,2.864,3.544
DALL-E mega (2.6B),,,,,2.906,3.528,3.291,3.331,3.29,3.054,2.236,3.084,2.808,3.606,2.96,3.736,2.936,3.752,2.888,3.856,2.808,3.584
Stable Diffusion v1.4 (1B),,,,,2.84,3.632,3.483,3.408,3.462,3.212,3.036,3.228,2.814,3.76,2.872,3.976,2.632,3.304,2.84,3.672,2.768,3.496
Redshift Diffusion (1B),,,,,2.492,3.356,3.538,3.474,3.471,3.366,3.336,3.382,2.538,3.288,2.448,3.288,2.496,3.28,2.52,3.152,2.344,3.128
minDALL-E (1.3B),,,,,2.79,3.226,3.344,3.237,3.281,3.31,3.248,3.3,2.592,3.186,2.896,3.496,2.808,3.392,2.848,3.488,2.808,3.392
DeepFloyd IF Large (0.9B),,,,,2.626,3.236,3.381,3.32,3.506,3.382,3.32,3.444,2.576,3.26,2.368,3.04,2.336,3.088,2.44,3.24,2.424,3.288
Stable Diffusion v2 base (1B),,,,,2.474,3.18,3.536,3.419,3.404,3.242,3.104,3.32,2.514,3.39,2.496,3.28,2.4,3.08,2.368,3.12,2.4,3.12
Safe Stable Diffusion weak (1B),,,,,2.478,3.284,3.424,3.373,3.34,3.308,3.142,3.36,2.58,3.44,2.376,3.024,2.376,2.968,2.376,3.096,2.464,3.16
Stable Diffusion v1.5 (1B),,,,,2.466,3.13,3.475,3.474,3.369,3.188,3.102,3.306,2.516,3.412,2.464,3.176,2.4,3.112,2.472,3.048,2.408,3.088
DeepFloyd IF Medium (0.4B),,,,,2.562,3.13,3.347,3.427,3.354,3.188,3.128,3.3,2.546,3.304,2.368,3.248,2.376,3.192,2.424,3.096,2.456,3.144
GigaGAN (1B),,,,,2.542,3.016,3.4,3.32,3.414,3.288,3.22,3.284,2.484,3.238,2.376,3.088,2.472,3.128,2.448,3.12,2.432,3.024
