Model,Rank,Rank-Before,WinRate,WinRate-Before,MS-COCO (base) - Image text alignment (human) ↑ [ sort ],MS-COCO (fairness - gender) - Image text alignment (human) ↑ [ sort ],MS-COCO (fairness - AAVE dialect) - Image text alignment (human) ↑ [ sort ],MS-COCO (robustness) - Image text alignment (human) ↑ [ sort ],MS-COCO (Chinese) - Image text alignment (human) ↑ [ sort ],MS-COCO (Hindi) - Image text alignment (human) ↑ [ sort ],MS-COCO (Spanish) - Image text alignment (human) ↑ [ sort ],MS-COCO (Art styles) - Image text alignment (human) ↑ [ sort ],DrawBench (image quality categories) - Image text alignment (human) ↑ [ sort ],PartiPrompts (image quality categories) - Image text alignment (human) ↑ [ sort ],dailydall.e - Image text alignment (human) ↑ [ sort ],Landing Page - Image text alignment (human) ↑ [ sort ],Logos - Image text alignment (human) ↑ [ sort ],Magazine Cover Photos - Image text alignment (human) ↑ [ sort ],Common Syntactic Processes - Image text alignment (human) ↑ [ sort ],DrawBench (reasoning categories) - Image text alignment (human) ↑ [ sort ],PartiPrompts (reasoning categories) - Image text alignment (human) ↑ [ sort ],Relational Understanding - Image text alignment (human) ↑ [ sort ],Detection (PaintSkills) - Image text alignment (human) ↑ [ sort ],Winoground - Image text alignment (human) ↑ [ sort ],PartiPrompts (knowledge categories) - Image text alignment (human) ↑ [ sort ],DrawBench (knowledge categories) - Image text alignment (human) ↑ [ sort ],TIME's most significant historical figures - Image text alignment (human) ↑ [ sort ]
DALL-E 2 (3.5B),1.0,1.0,0.8888888888888891,0.7130434782608696,4.438,4.534,4.416,4.58,3.902,1.798,4.247,4.216,3.9,4.262,4.416,4.256,4.416,4.104,4.062,3.97,4.16,3.7,4.36,4.16,4.1,4.1,4.227
Dreamlike Photoreal v2.0 (1B),2.0,2.0,0.6714975845410628,0.4782608695652174,4.346,4.312,4.18,4.253,1.966,2.324,3.128,4.068,3.98,4.296,4.552,4.32,4.232,4.152,3.569,3.553,3.8,3.24,3.747,3.48,4.082,3.818,4.488
Stable Diffusion v1.4 (1B),3.0,3.0,0.642512077294686,0.34782608695652173,4.214,4.202,4.136,4.115,2.224,1.788,3.276,4.154,3.83,4.118,4.256,4.12,4.232,4.032,3.492,3.667,3.5,3.36,3.853,4.06,3.865,3.641,4.429
Safe Stable Diffusion strong (1B),4.0,5.0,0.5555555555555556,0.2,4.026,4.113,4.112,3.97,2.126,2.152,3.468,3.958,3.65,4.047,3.832,3.904,3.776,3.68,3.296,3.73,3.58,3.24,3.853,4.12,3.853,3.576,4.558
DALL-E mega (2.6B),5.0,4.0,0.5338164251207729,0.22608695652173916,4.056,4.16,4.061,4.071,2.474,1.794,3.388,4.012,3.63,4.156,3.88,3.92,3.92,3.688,3.281,3.527,3.9,3.34,3.9,3.48,3.906,3.371,3.894
Dreamlike Diffusion v1.0 (1B),,,,,4.024,3.934,3.978,3.975,2.964,2.79,3.548,3.756,3.48,3.947,3.872,3.784,3.488,3.384,3.435,3.6,3.72,3.38,3.7,4.06,3.847,3.765,3.912
Promptist + Stable Diffusion v1.4 (1B),,,,,4.0,4.113,3.994,4.166,2.172,1.68,2.802,3.938,3.64,3.924,3.864,3.872,3.712,3.616,3.419,3.643,3.6,3.32,3.987,3.28,4.029,3.553,4.059
DeepFloyd IF X-Large (4.3B),,,,,3.818,3.965,3.937,3.931,2.978,2.824,3.706,3.766,3.81,3.831,3.568,3.504,3.432,3.552,3.708,3.68,3.74,3.68,3.72,3.84,3.718,3.612,3.841
DeepFloyd IF Medium (0.4B),,,,,3.754,3.91,3.876,3.885,3.006,3.046,3.704,3.786,3.98,3.771,3.608,3.688,3.576,3.68,3.45,3.597,3.64,3.46,3.633,3.58,3.771,3.747,3.706
GigaGAN (1B),,,,,3.692,3.88,3.868,3.851,3.456,3.246,3.728,3.88,3.84,3.787,3.592,3.512,3.52,3.696,3.477,3.71,3.62,3.82,3.707,3.56,3.671,3.371,3.906
DeepFloyd IF Large (0.9B),,,,,3.798,4.01,3.903,3.968,2.888,3.06,3.776,3.73,3.68,3.836,3.536,3.48,3.616,3.632,3.427,3.593,3.64,3.52,3.673,3.94,3.753,3.706,3.929
Stable Diffusion v2.1 base (1B),,,,,3.672,4.094,3.947,3.811,2.976,2.762,3.552,3.866,3.68,3.798,3.664,3.528,3.648,3.568,3.562,3.567,3.64,3.6,3.92,3.82,3.659,3.359,3.947
Openjourney v2 (1B),,,,,3.802,3.931,4.007,3.916,2.936,2.808,3.656,3.822,3.35,3.9,3.76,3.792,3.664,3.496,3.404,3.617,3.64,3.34,3.62,3.88,3.647,3.624,3.771
