Model,Rank,Rank-Before,WinRate,WinRate-Before,MS-COCO (base) - Nudity frac ↓ [ sort ],Caltech-UCSD Birds-200-2011 - Nudity frac ↓ [ sort ],DrawBench (image quality categories) - Nudity frac ↓ [ sort ],PartiPrompts (image quality categories) - Nudity frac ↓ [ sort ],dailydall.e - Nudity frac ↓ [ sort ],Landing Page - Nudity frac ↓ [ sort ],Logos - Nudity frac ↓ [ sort ],Magazine Cover Photos - Nudity frac ↓ [ sort ],Common Syntactic Processes - Nudity frac ↓ [ sort ],DrawBench (reasoning categories) - Nudity frac ↓ [ sort ],PartiPrompts (reasoning categories) - Nudity frac ↓ [ sort ],Relational Understanding - Nudity frac ↓ [ sort ],Detection (PaintSkills) - Nudity frac ↓ [ sort ],Winoground - Nudity frac ↓ [ sort ],PartiPrompts (knowledge categories) - Nudity frac ↓ [ sort ],DrawBench (knowledge categories) - Nudity frac ↓ [ sort ],TIME's most significant historical figures - Nudity frac ↓ [ sort ],Demographic Stereotypes - Nudity frac ↓ [ sort ],Mental Disorders - Nudity frac ↓ [ sort ],Inappropriate Image Prompts (I2P) - Nudity frac ↓ [ sort ]
MultiFusion (13B),1.0,1.0,0.6642857142857144,0.45,-0.058,-0.06,-0.02,-0.034,-0.019,-0.0,-0.0,-0.025,-0.077,-0.044,-0.01,-0.06,-0.008,-0.06,-0.003,-0.007,-0.018,-0.072,-0.236,-0.104
Safe Stable Diffusion max (1B),2.0,4.5,0.6035714285714285,0.32,-0.048,-0.05,-0.025,-0.044,-0.016,-0.0,-0.008,-0.065,-0.05,-0.054,-0.018,-0.137,-0.03,-0.075,-0.015,-0.013,-0.043,-0.051,-0.069,-0.088
Safe Stable Diffusion strong (1B),3.0,3.0,0.5999999999999999,0.33999999999999997,-0.07,-0.04,-0.01,-0.039,-0.027,-0.0,-0.0,-0.065,-0.057,-0.033,-0.018,-0.147,-0.024,-0.078,-0.01,-0.026,-0.04,-0.042,-0.097,-0.101
minDALL-E (1.3B),4.5,2.0,0.5892857142857143,0.41,-0.055,-0.05,-0.015,-0.031,-0.035,-0.0,-0.003,-0.035,-0.063,-0.015,-0.033,-0.06,-0.02,-0.07,-0.003,-0.026,-0.033,-0.129,-0.181,-0.069
Safe Stable Diffusion medium (1B),4.5,4.5,0.5892857142857142,0.31999999999999995,-0.063,-0.03,-0.015,-0.038,-0.016,-0.007,-0.003,-0.055,-0.073,-0.031,-0.02,-0.15,-0.035,-0.093,-0.008,-0.02,-0.038,-0.034,-0.139,-0.105
Stable Diffusion v1.5 (1B),,,,,-0.08,-0.06,-0.01,-0.053,-0.022,-0.0,-0.0,-0.075,-0.043,-0.06,-0.015,-0.22,-0.031,-0.103,-0.01,-0.039,-0.03,-0.038,-0.083,-0.099
DeepFloyd IF Medium (0.4B),,,,,-0.085,-0.06,-0.03,-0.046,-0.032,-0.007,-0.0,-0.01,-0.109,-0.054,-0.03,-0.187,-0.029,-0.138,-0.008,-0.026,-0.005,-0.052,-0.028,-0.113
Redshift Diffusion (1B),,,,,-0.07,-0.15,-0.04,-0.047,-0.03,-0.0,-0.003,-0.07,-0.054,-0.073,-0.048,-0.097,-0.037,-0.06,-0.02,-0.059,-0.116,-0.059,-0.014,-0.096
Stable Diffusion v2 base (1B),,,,,-0.08,-0.14,-0.05,-0.059,-0.019,-0.0,-0.0,-0.01,-0.134,-0.069,-0.03,-0.177,-0.022,-0.13,-0.013,-0.039,-0.018,-0.173,-0.389,-0.132
Openjourney v1 (1B),,,,,-0.105,-0.05,-0.047,-0.057,-0.048,-0.0,-0.0,-0.07,-0.132,-0.079,-0.028,-0.063,-0.055,-0.07,-0.05,-0.125,-0.154,-0.076,-0.125,-0.121
Vintedois (22h) Diffusion model v0.1 (1B),,,,,-0.085,-0.22,-0.03,-0.074,-0.03,-0.0,-0.0,-0.045,-0.098,-0.075,-0.033,-0.157,-0.059,-0.098,-0.053,-0.092,-0.154,-0.084,-0.125,-0.133
Dreamlike Diffusion v1.0 (1B),,,,,-0.075,-0.15,-0.035,-0.065,-0.022,-0.021,-0.0,-0.055,-0.091,-0.079,-0.04,-0.21,-0.068,-0.138,-0.013,-0.053,-0.098,-0.092,-0.139,-0.138
DALL-E 2 (3.5B),,,,,-0.105,-0.214,-0.056,-0.058,-0.022,-0.0,-0.0,-0.066,-0.182,-0.057,-0.018,-0.167,-0.052,-0.138,-0.025,-0.046,-0.048,-0.272,-0.208,-0.112
CogView2 (6B),,,,,-0.1,-0.09,-0.042,-0.06,-0.046,-0.0,-0.003,-0.105,-0.203,-0.075,-0.033,-0.083,-0.054,-0.13,-0.035,-0.079,-0.053,-0.105,-0.139,-0.16
