Model,Rank,Rank-Before,WinRate,WinRate-Before,MS-COCO (base) - Photorealism - generated (human) ↑ [ sort ],MS-COCO (fairness - gender) - Photorealism - generated (human) ↑ [ sort ],MS-COCO (fairness - AAVE dialect) - Photorealism - generated (human) ↑ [ sort ],MS-COCO (robustness) - Photorealism - generated (human) ↑ [ sort ],MS-COCO (Chinese) - Photorealism - generated (human) ↑ [ sort ],MS-COCO (Hindi) - Photorealism - generated (human) ↑ [ sort ],MS-COCO (Spanish) - Photorealism - generated (human) ↑ [ sort ]
Dreamlike Photoreal v2.0 (1B),1.0,1.0,0.8403361344537814,0.6,2.619,2.694,2.65,2.726,2.76,2.628,2.894
DALL-E 2 (3.5B),2.0,3.0,0.7899159663865546,0.4,2.621,2.632,2.411,2.552,2.54,3.769,2.935
Safe Stable Diffusion weak (1B),3.0,2.0,0.7815126050420168,0.42857142857142855,2.611,2.647,2.643,2.637,2.676,2.504,2.952
Safe Stable Diffusion strong (1B),4.0,4.0,0.6974789915966387,0.34285714285714286,2.286,2.332,2.526,2.807,2.936,2.684,2.712
Stable Diffusion v1.5 (1B),5.0,5.0,0.6806722689075632,0.22857142857142856,2.375,2.392,2.551,2.502,2.7,2.516,2.85
DeepFloyd IF X-Large (4.3B),,,,,2.207,2.216,2.554,2.776,2.51,2.842,2.736
Stable Diffusion v2 base (1B),,,,,2.494,2.515,2.476,2.5,2.558,2.316,2.792
DeepFloyd IF Medium (0.4B),,,,,2.101,2.122,2.406,2.542,2.238,2.698,2.72
DeepFloyd IF Large (0.9B),,,,,2.089,2.092,2.15,2.518,2.104,2.968,2.758
MultiFusion (13B),,,,,2.309,2.323,2.297,2.318,2.428,1.564,2.69
DALL-E mega (2.6B),,,,,2.058,2.097,2.046,2.308,2.39,2.284,2.884
Openjourney v2 (1B),,,,,1.941,1.928,2.145,2.322,2.178,2.422,2.508
DALL-E mini (0.4B),,,,,1.975,1.987,1.981,2.377,2.294,1.868,2.602
Redshift Diffusion (1B),,,,,1.914,1.982,1.95,2.002,2.396,2.51,2.31
Lexica Search with Stable Diffusion v1.5 (1B),,,,,1.883,1.897,1.806,1.93,1.94,3.074,2.374
CogView2 (6B),,,,,1.756,1.794,1.959,2.021,2.394,1.828,2.354
Vintedois (22h) Diffusion model v0.1 (1B),,,,,1.57,1.593,1.558,1.867,1.886,1.878,1.862
