Model,Rank,Rank-Before,WinRate,WinRate-Before,MMLU - EM,BoolQ - EM,NarrativeQA - F1,NaturalQuestions (closed-book) - F1,NaturalQuestions (open-book) - F1,QuAC - F1,HellaSwag - EM,OpenbookQA - EM,TruthfulQA - EM,MS MARCO (regular) - RR@10,MS MARCO (TREC) - NDCG@10,CNN/DailyMail - ROUGE-2,XSUM - ROUGE-2,IMDB - EM,CivilComments - EM,RAFT - EM
Llama 2 (70B),1.0,1.0,0.9147435897435897,0.682051282051282,0.582,0.886,0.77,0.458,0.674,0.484,,,0.554,,,,,0.961,0.652,0.727
LLaMA (65B),2.0,4.0,0.8837606837606837,0.5581196581196581,0.584,0.871,0.755,0.431,0.672,0.401,,,0.508,,,,,0.962,0.655,0.702
text-davinci-002,3.0,3.0,0.8742663586413587,0.56505994005994,0.568,0.877,0.727,0.383,0.713,0.445,0.815,0.594,0.61,0.421,0.664,0.153,0.144,0.948,0.668,0.733
Mistral v0.1 (7B),4.0,7.0,0.8525641025641026,0.4256410256410256,0.572,0.874,0.716,0.365,0.687,0.423,,,0.422,,,,,0.962,0.624,0.707
text-davinci-003,5.0,2.0,0.8470800033300032,0.6066808191808192,0.569,0.881,0.727,0.406,0.77,0.525,0.822,0.646,0.593,0.368,0.644,0.156,0.124,0.848,0.684,0.759
Cohere Command beta (52.4B),6.0,9.0,0.8333749583749583,0.3927947052947053,0.452,0.856,0.752,0.372,0.76,0.432,0.811,0.582,0.269,0.472,0.762,0.161,0.152,0.96,0.601,0.667
Llama 2 (13B),7.0,12.0,0.8104700854700855,0.30341880341880334,0.507,0.811,0.744,0.376,0.637,0.424,,,0.33,,,,,0.962,0.588,0.707
Jurassic-2 Jumbo (178B),8.0,10.0,0.8066464785214785,0.35872877122877117,0.48,0.829,0.733,0.385,0.669,0.435,0.788,0.558,0.437,0.398,0.661,0.149,0.182,0.938,0.57,0.746
gpt-3.5-turbo-0613,9.0,8.0,0.7926816239316239,0.4034188034188035,0.391,0.87,0.625,0.348,0.675,0.485,,,0.339,,,,,0.943,0.696,0.748
Anthropic-LM v4-s3 (52B),10.0,13.0,0.7773060273060272,0.2678321678321678,0.481,0.815,0.728,0.288,0.686,0.431,0.807,0.558,0.368,,,0.154,0.134,0.934,0.61,0.699
LLaMA (30B),11.0,11.0,0.7766025641025638,0.35641025641025637,0.531,0.861,0.752,0.408,0.666,0.39,,,0.344,,,,,0.927,0.549,0.752
gpt-3.5-turbo-0301,12.0,6.0,0.7746794871794868,0.4871794871794871,0.59,0.74,0.663,0.39,0.624,0.512,,,0.609,,,,,0.899,0.674,0.768
Palmyra X (43B),13.0,5.0,0.744172494172494,0.5439005439005439,0.609,0.896,0.742,0.413,,0.473,,,0.616,,,0.049,0.149,0.935,0.008,0.701
Luminous Supreme (70B),,,,,0.38,0.775,0.711,0.293,0.649,0.37,,,0.222,,,0.15,0.136,0.959,0.562,0.653
Cohere Command beta (6.1B),,,,,0.406,0.798,0.709,0.229,0.717,0.375,0.752,0.55,0.203,0.434,0.709,0.153,0.122,0.961,0.54,0.634
Llama 2 (7B),,,,,0.431,0.762,0.691,0.337,0.611,0.406,,,0.272,,,,,0.907,0.562,0.643
LLaMA (13B),,,,,0.422,0.714,0.711,0.346,0.614,0.347,,,0.324,,,,,0.928,0.6,0.643
Jurassic-2 Large (7.5B),,,,,0.339,0.742,,0.274,0.589,,0.729,0.53,0.245,0.247,0.464,0.136,0.142,0.956,0.57,0.622
RedPajama-INCITE-Instruct (7B),,,,,0.363,0.705,0.638,0.232,0.659,0.26,,,0.243,,,,,0.927,0.664,0.695
Cohere xlarge v20220609 (52.4B),,,,,0.353,0.718,0.65,0.312,0.595,0.361,0.811,0.55,0.198,0.273,0.459,0.144,0.129,0.956,0.532,0.633
