Model,Rank,Rank-Before,WinRate,WinRate-Before,MMLU - EM (Robustness),BoolQ - EM (Robustness),NarrativeQA - F1 (Robustness),NaturalQuestions (closed-book) - F1 (Robustness),NaturalQuestions (open-book) - F1 (Robustness),QuAC - F1 (Robustness),HellaSwag - EM (Robustness),OpenbookQA - EM (Robustness),TruthfulQA - EM (Robustness),MS MARCO (regular) - RR@10 (Robustness),MS MARCO (TREC) - NDCG@10 (Robustness),IMDB - EM (Robustness),CivilComments - EM (Robustness),RAFT - EM (Robustness)
Llama 2 (70B),1.0,1.0,0.9463937621832358,0.764957264957265,0.545,0.863,0.722,0.42,0.639,0.362,,,0.468,,,0.949,0.59,0.673
text-davinci-002,2.0,4.0,0.8872319688109161,0.5548229548229549,0.525,0.841,0.638,0.299,0.665,0.319,0.776,0.52,0.547,0.344,0.628,0.925,0.567,0.666
text-davinci-003,3.0,2.0,0.8842662211083264,0.7044566544566545,0.517,0.858,0.694,0.369,0.73,0.42,0.798,0.572,0.516,0.304,0.616,0.779,0.594,0.714
Mistral v0.1 (7B),4.0,7.0,0.8723196881091618,0.47094017094017093,0.533,0.837,0.649,0.305,0.631,0.31,,,0.339,,,0.954,0.521,0.652
LLaMA (65B),5.0,6.0,0.8720760233918128,0.4794871794871795,0.504,0.84,0.567,0.388,0.624,0.275,,,0.448,,,0.935,0.566,0.655
Cohere Command beta (52.4B),6.0,12.0,0.8211918685602896,0.3059218559218559,0.387,0.811,0.57,0.289,0.679,0.238,0.774,0.492,0.229,0.434,0.734,0.933,0.535,0.599
Llama 2 (13B),7.0,8.0,0.8198830409356724,0.3333333333333333,0.444,0.753,0.682,0.324,0.563,0.294,,,0.287,,,0.954,0.47,0.652
Anthropic-LM v4-s3 (52B),8.0,10.0,0.8106237816764132,0.31196581196581197,0.434,0.756,0.663,0.245,0.632,0.313,0.766,0.472,0.326,,,0.928,0.514,0.6
gpt-3.5-turbo-0301,9.0,5.0,0.8089181286549704,0.4871794871794871,0.525,0.66,0.602,0.327,0.556,0.411,,,0.566,,,0.857,0.605,0.705
Palmyra X (43B),10.0,3.0,0.8059036480089106,0.6581196581196581,0.566,0.878,0.672,0.363,,0.383,,,0.568,,,0.904,0.006,0.677
LLaMA (30B),11.0,9.0,0.8015107212475632,0.3162393162393162,0.461,0.791,0.611,0.36,0.612,0.273,,,0.281,,,0.893,0.503,0.67
Falcon-Instruct (40B),12.0,13.0,0.7753898635477582,0.2786324786324786,0.446,0.781,0.508,0.335,0.591,0.212,,,0.338,,,0.938,0.523,0.523
Jurassic-2 Jumbo (178B),13.0,11.0,0.7742411584516846,0.3108669108669109,0.417,0.729,0.66,0.315,0.599,0.314,0.754,0.47,0.39,0.337,0.607,0.896,0.449,0.69
MPT-Instruct (30B),,,,,0.383,0.77,0.623,0.202,0.607,0.204,,,0.177,,,0.942,0.408,0.548
LLaMA (13B),,,,,0.37,0.67,0.544,0.272,0.556,0.194,,,0.274,,,0.875,0.529,0.559
TNLG v2 (530B),,,,,0.403,0.733,0.319,0.307,0.525,0.194,0.757,0.476,0.202,0.287,0.565,0.921,0.409,0.545
Cohere Command beta (6.1B),,,,,0.334,0.725,0.529,0.163,0.605,0.17,0.696,0.448,0.171,0.387,0.685,0.921,0.468,0.552
LLaMA (7B),,,,,0.268,0.688,0.485,0.222,0.519,0.223,,,0.229,,,0.897,0.492,0.486
Luminous Supreme (70B),,,,,0.255,0.665,0.59,0.252,0.586,0.233,,,0.106,,,0.932,0.263,0.564
Cohere xlarge v20221108 (52.4B),,,,,0.299,0.718,0.39,0.283,0.533,0.229,0.764,0.482,0.116,0.242,0.482,0.923,0.408,0.489
BLOOM (176B),,,,,0.25,0.642,0.53,0.185,0.558,0.234,0.699,0.438,0.183,0.19,0.333,0.92,0.467,0.527
InstructPalmyra (30B),,,,,0.348,0.656,0.317,0.267,0.567,0.248,,,0.151,,,0.906,0.443,0.518
Jurassic-2 Large (7.5B),,,,,0.263,0.607,,0.187,0.503,,0.687,0.448,0.21,0.177,0.397,0.941,0.469,0.498
RedPajama-INCITE-Instruct (7B),,,,,0.291,0.599,0.482,0.137,0.547,0.164,,,0.197,,,0.82,0.527,0.605
davinci (175B),,,,,0.34,0.639,0.498,0.256,0.521,0.208,0.738,0.474,0.145,0.154,0.332,0.873,0.461,0.505
OPT (175B),,,,,0.27,0.623,0.409,0.208,0.408,0.2,0.744,0.488,0.205,0.235,0.408,0.919,0.184,0.48
Cohere xlarge v20220609 (52.4B),,,,,0.29,0.614,0.383,0.238,0.471,0.215,0.759,0.448,0.151,0.207,0.397,0.923,0.32,0.563
J1-Jumbo v1 (178B),,,,,0.221,0.65,0.523,0.179,0.503,0.222,0.726,0.43,0.154,0.144,0.307,0.923,0.271,0.555
Luminous Extended (30B),,,,,0.23,0.659,0.513,0.212,0.524,0.193,,,0.151,,,0.92,0.368,0.436
Falcon (7B),,,,,0.236,0.65,0.436,0.185,0.489,0.164,,,0.205,,,0.692,0.485,0.516
J1-Grande v1 (17B),,,,,0.225,0.643,0.477,0.17,0.478,0.219,0.695,0.424,0.142,0.121,0.297,0.941,0.417,0.513
OPT (66B),,,,,0.216,0.683,0.397,0.206,0.458,0.199,0.699,0.45,0.174,0.179,0.437,0.886,0.305,0.405
RedPajama-INCITE-Instruct-v1 (3B),,,,,0.218,0.629,0.403,0.132,0.536,0.137,,,0.173,,,0.852,0.506,0.548
Alpaca (7B),,,,,0.324,0.643,0.246,0.203,0.491,0.16,,,0.199,,,0.561,0.482,0.42
GPT-NeoX (20B),,,,,0.189,0.551,0.421,0.133,0.452,0.191,0.661,0.414,0.175,0.096,0.351,0.912,0.48,0.399
Cohere large v20220720 (13.1B),,,,,0.253,0.545,0.357,0.172,0.347,0.204,0.687,0.43,0.154,0.13,0.257,0.902,0.333,0.49
RedPajama-INCITE-Base (7B),,,,,0.25,0.569,0.424,0.167,0.472,0.186,,,0.173,,,0.56,0.401,0.489
Luminous Base (13B),,,,,0.183,0.655,0.476,0.163,0.491,0.185,,,0.112,,,0.887,0.416,0.402
J1-Large v1 (7.5B),,,,,0.2,0.567,0.4,0.098,0.41,0.197,0.646,0.412,0.155,0.105,0.248,0.932,0.444,0.443
Falcon-Instruct (7B),,,,,0.25,0.593,0.258,0.132,0.327,0.179,,,0.17,,,0.759,0.487,0.445
text-curie-001,,,,,0.22,0.549,0.34,0.121,0.415,0.169,0.625,0.424,0.235,0.198,0.444,0.881,0.129,0.399
GPT-J (6B),,,,,0.217,0.621,0.135,0.099,0.228,0.147,0.619,0.398,0.181,0.116,0.319,0.903,0.418,0.53
Pythia (12B),,,,,0.22,0.51,0.42,0.108,0.47,0.171,,,0.138,,,0.854,0.418,0.45
UL2 (20B),,,,,0.272,0.646,0.059,0.141,0.291,0.111,,,0.178,,,0.276,0.45,0.349
Cohere medium v20221108 (6.1B),,,,,0.207,0.54,0.296,0.105,0.222,0.152,0.687,0.414,0.17,0.13,0.314,0.888,0.353,0.502
TNLG v2 (6.7B),,,,,0.169,0.638,0.352,0.149,0.299,0.159,0.656,0.408,0.136,0.105,0.278,0.896,0.336,0.445
curie (6.7B),,,,,0.19,0.545,0.367,0.126,0.338,0.171,0.632,0.396,0.186,0.11,0.253,0.803,0.347,0.413
text-babbage-001,,,,,0.186,0.384,0.126,0.04,0.151,0.087,0.468,0.39,0.195,0.122,0.356,0.844,0.499,0.383
YaLM (100B),,,,,0.243,0.566,0.088,0.047,0.125,0.08,,,0.202,,,0.719,0.463,0.211
Pythia (6.9B),,,,,0.201,0.527,0.313,0.094,0.391,0.171,,,0.139,,,0.871,0.363,0.377
T0pp (11B),,,,,0.378,0.0,0.099,0.031,0.122,0.071,,,0.365,,,0.17,0.087,0.085
Cohere medium v20220720 (6.1B),,,,,0.184,0.562,0.3,0.102,0.266,0.144,0.651,0.382,0.149,0.109,0.315,0.889,0.136,0.385
T5 (11B),,,,,0.258,0.65,0.045,0.153,0.071,0.064,,,0.122,,,0.304,0.392,0.331
Cohere small v20220720 (410M),,,,,0.226,0.361,0.078,0.025,0.074,0.098,0.405,0.238,0.204,,0.252,0.473,0.434,0.403
babbage (1.3B),,,,,0.166,0.477,0.255,0.068,0.212,0.149,0.489,0.314,0.162,0.073,0.246,0.5,0.4,0.409
text-ada-001,,,,,0.178,0.332,0.058,0.008,0.034,0.067,0.32,0.248,0.175,0.069,0.252,0.716,0.491,0.335
ada (350M),,,,,0.204,0.461,0.104,0.031,0.043,0.092,0.37,0.27,0.167,0.072,0.247,0.701,0.421,0.345
