Model,Rank,Rank-Before,Average,Average-Before,harness|hendrycksTest-abstract_algebra|5 (× 0.0055),harness|hendrycksTest-anatomy|5 (× 0.0077),harness|hendrycksTest-astronomy|5 (× 0.0076),harness|hendrycksTest-business_ethics|5 (× 0.0081),harness|hendrycksTest-clinical_knowledge|5 (× 0.0107),harness|hendrycksTest-college_biology|5 (× 0.0076),harness|hendrycksTest-college_chemistry|5 (× 1.0000),harness|hendrycksTest-college_computer_science|5 (× 0.0073),harness|hendrycksTest-college_mathematics|5 (× 0.0063),harness|hendrycksTest-college_medicine|5 (× 0.0094),harness|hendrycksTest-college_physics|5 (× 0.0038),harness|hendrycksTest-computer_security|5 (× 0.0125),harness|hendrycksTest-conceptual_physics|5 (× 0.0059),harness|hendrycksTest-econometrics|5 (× 0.0054),harness|hendrycksTest-electrical_engineering|5 (× 0.0050),harness|hendrycksTest-elementary_mathematics|5 (× 0.0028),harness|hendrycksTest-formal_logic|5 (× 0.0086),harness|hendrycksTest-global_facts|5 (× 0.0051),harness|hendrycksTest-high_school_biology|5 (× 0.0079),harness|hendrycksTest-high_school_chemistry|5 (× 0.0065),harness|hendrycksTest-high_school_computer_science|5 (× 0.0069),harness|hendrycksTest-high_school_european_history|5 (× 0.0093),harness|hendrycksTest-high_school_geography|5 (× 0.0113),harness|hendrycksTest-high_school_government_and_politics|5 (× 0.0118),harness|hendrycksTest-high_school_macroeconomics|5 (× 0.0059),harness|hendrycksTest-high_school_mathematics|5 (× 0.0056),harness|hendrycksTest-high_school_microeconomics|5 (× 0.0093),harness|hendrycksTest-high_school_physics|5 (× 0.0071),harness|hendrycksTest-high_school_psychology|5 (× 0.0122),harness|hendrycksTest-high_school_statistics|5 (× 0.0079),harness|hendrycksTest-high_school_us_history|5 (× 0.0085),harness|hendrycksTest-high_school_world_history|5 (× 0.0142),harness|hendrycksTest-human_aging|5 (× 0.0145),harness|hendrycksTest-human_sexuality|5 (× 0.0088),harness|hendrycksTest-international_law|5 (× 0.0144),harness|hendrycksTest-jurisprudence|5 (× 0.0099),harness|hendrycksTest-logical_fallacies|5 (× 0.0072),harness|hendrycksTest-machine_learning|5 (× 0.0053),harness|hendrycksTest-management|5 (× 0.0094),harness|hendrycksTest-marketing|5 (× 0.0179),harness|hendrycksTest-medical_genetics|5 (× 0.0046),harness|hendrycksTest-miscellaneous|5 (× 0.0130),harness|hendrycksTest-moral_disputes|5 (× 0.0137),harness|hendrycksTest-moral_scenarios|5 (× 0.0023),harness|hendrycksTest-nutrition|5 (× 0.0088),harness|hendrycksTest-philosophy|5 (× 0.0123),harness|hendrycksTest-prehistory|5 (× 0.0117),harness|hendrycksTest-professional_accounting|5 (× 0.0068),harness|hendrycksTest-professional_law|5 (× 0.0092),harness|hendrycksTest-professional_medicine|5 (× 0.0082),harness|hendrycksTest-professional_psychology|5 (× 0.0105),harness|hendrycksTest-public_relations|5 (× 0.0136),harness|hendrycksTest-security_studies|5 (× 0.0107),harness|hendrycksTest-sociology|5 (× 0.0232),harness|hendrycksTest-us_foreign_policy|5 (× 0.0126),harness|hendrycksTest-virology|5 (× 0.0112),harness|hendrycksTest-world_religions|5 (× 0.0124)
details_cognitivecomputations__yayi2-30b-llama,1.0,91.0,1.8049982611114361,70.60243200091298,0.23811358807692884,0.45919581323833886,0.6010634217746601,0.6422754292023922,0.779471908792823,0.49338068338123925,65.0,0.5415130943947666,0.37166490152473675,0.6618504601459324,0.25850169579475085,1.0024286097411124,0.4133815236942584,0.32099167825060326,0.36384581381287107,0.18206358016327837,0.46962499794014767,0.26466430478901565,0.5688016285369073,0.4203427813164845,0.5240252518460875,0.6385978793233863,0.9524590546034221,0.942760053536798,0.4209863637341987,0.33129194641410326,0.6936169610055725,0.47682613168037385,0.9118872340855615,0.5557417029786943,0.6132887458308437,1.1829748718769022,1.1590503018635288,0.6376925771996321,1.1979479427443682,0.7858246301022593,0.4935258125672859,0.24714075677917002,0.7444265738233857,1.493526846615948,0.29773535137700086,0.9732232119708967,1.062054585965268,0.1143223490310304,0.6790794496258679,0.9640234124526765,0.8730630695299048,0.42996525258172746,0.5951852882104437,0.5554270323223233,0.7565176854825635,1.0727990426319785,0.8427465808787706,2.02356179360429,1.0231407259905436,0.7047280932498471,0.8605604052639758
details_kyujinpy__PlatYi-34B-Llama-Q,2.0,1.0,1.7559865714809966,78.77691613518728,0.26026368929338733,0.5782465796334638,0.670607949913877,0.658535566650554,0.8602461998594367,0.6928324490034422,57.99999999999999,0.5122421163193738,0.30237144530826043,0.6835504752326842,0.23227688607644278,1.02748932498464,0.4656767766917248,0.33515307582048287,0.40889339076113135,0.21228466027135293,0.5104619542827692,0.29520249380313285,0.7379048153992309,0.45537134642619165,0.5791858046719914,0.8081371393207456,1.0437126167211153,1.1570237020678886,0.49725200933822017,0.2750348234381234,0.8183121450065741,0.40601036954962527,1.147720139452517,0.5520855075643608,0.7759980049288225,1.3084419037426342,1.1590503018635288,0.7786561995279719,1.316556649946781,0.9137495698863481,0.6446958812815897,0.370711135168755,0.8442886751899374,1.6620273113623625,0.4168294919278012,1.1811768897424555,1.1331214355837618,0.17454572932416246,0.7423834661164148,1.0430417249487975,1.0137633162723274,0.45158361723667456,0.5712582414482149,0.67919066452458,0.8702538295414454,0.9864818782822791,0.8907787694262653,2.092941055099294,1.1494543958659194,0.636965776591208,1.0992032067237338
details_kyujinpy__PlatYi-34B-200K-Q,3.0,34.0,1.7306332141835927,75.18645615749864,0.2104259615563557,0.5272248226069817,0.6308682195486102,0.6260152917542304,0.8642849144127674,0.6875837183291738,57.99999999999999,0.4317469266120436,0.2645750146447279,0.6944004827760601,0.19855927358147532,1.014958967362876,0.4656767766917248,0.3398735416771093,0.36384581381287107,0.1864861772522649,0.4151757228166522,0.29520249380313285,0.7122831204200909,0.44581810139627154,0.5791858046719914,0.8194397566539028,1.020899226191692,1.12641460942059,0.4545432477999681,0.24169726908198724,0.7598612775061045,0.3115893533752938,1.134243973431548,0.5082111625923587,0.7885141017825134,1.2666195597873902,1.1655618204133238,0.7383808788627321,1.2809740377860572,0.8589245956931671,0.6135726318404097,0.31843135969623826,0.8170535566354233,1.692663759498074,0.38934622872377034,1.1562224484098687,1.105484327398792,0.13295076751153312,0.7366285555263651,1.0074834843255431,0.9776863299281165,0.41074892844399663,0.5509202517003202,0.6761720393489151,0.8478512557116656,1.0234749487178645,0.8689459564501314,2.011998583355122,1.1494543958659194,0.636965776591208,1.0919716066794987
details_OpenBuddy__openbuddy-mixtral-8x7b-v16.2-32k,4.0,79.0,1.682271180732577,71.33227980075964,0.23811358807692884,0.5215557384929281,0.5911284891833434,0.6016250855819877,0.8521687707527754,0.6350964115864889,56.99999999999999,0.4756533937251328,0.27717382486590536,0.6510004526025565,0.19106647080481584,0.9773678944975844,0.3859887721241569,0.34931447339036237,0.33265902977176787,0.1356263107289199,0.4764311573305846,0.22903641760587895,0.6764127474492949,0.37576097117685736,0.5033400445363736,0.7742292873212737,0.9695690975004896,1.0958055167732912,0.4209863637341987,0.1979417289895585,0.7442743795059794,0.32103145499272695,1.09156944769848,0.4533682313773559,0.7342776820831871,1.2546703186573203,1.1004466349153728,0.7115306650859055,1.221669684184851,0.8497870999943037,0.573557025416035,0.28991511852941093,0.7988968109324138,1.6313908632266505,0.366443509387078,1.1462406718768339,1.062054585965268,0.12172267966027121,0.6905892708059673,0.9758761593270945,0.9416093435839056,0.3723162801685349,0.4767464067374107,0.6490044127679321,0.7875366338622585,0.961819831325222,0.8602128312596777,2.0351250038534574,1.098928927915769,0.5759796915984327,1.0558136064583232
details_CausalLM__72B-preview,5.0,9.0,1.678217872934464,77.20827753020035,0.2325760627728142,0.5555702431772496,0.6954452813921685,0.6504054979264731,0.9006333453927438,0.6770862569806368,54.0,0.4756533937251328,0.3527666861929705,0.726950505406188,0.19481287219314555,1.0525500402281678,0.4731475271199342,0.30210981482409716,0.40196299430755283,0.19090877434125142,0.46962499794014767,0.2799333992960743,0.7148452899180049,0.42671161133643126,0.5378153900525635,0.8024858306541669,1.0665260072505385,1.169267339126808,0.4804735673053354,0.2979543920579671,0.7676547265061672,0.37768406469732585,1.1319979457613865,0.5484293121500273,0.7843420694979497,1.260644939222355,1.1720733389631188,0.7786561995279719,1.2453914256253333,0.8315121085965766,0.622464988823604,0.3612057214464793,0.8079751837839185,1.685004647464146,0.4076684041931243,1.1994768133863531,1.1607585437687313,0.13167484843752605,0.7510158320014895,1.0430417249487975,1.039017206713275,0.4251611715472947,0.5736509461244377,0.67919066452458,0.858190905171564,1.0234749487178645,0.8514797060692242,2.0698146346009594,1.2126112308036072,0.636965776591208,1.0919716066794987
details_SUSTech__SUS-Chat-72B,6.0,14.0,1.6751097436807705,76.69790566971729,0.2325760627728142,0.5555702431772496,0.6557055510269019,0.6504054979264731,0.8885172017327516,0.6770862569806368,54.0,0.44638241564974,0.27717382486590536,0.7052504903194361,0.21354487913479417,1.02748932498464,0.4606962764062518,0.3257121441072298,0.40196299430755283,0.187223276767096,0.4764311573305846,0.24939521028195707,0.7045966119263489,0.4394492713763247,0.5791858046719914,0.7968345219875883,1.0494159643534708,1.1570237020678886,0.48810013186573753,0.25419885196553826,0.791035073506355,0.4012893187409087,1.1319979457613865,0.5118673580066921,0.7801700372133861,1.27856880091746,1.178584857512914,0.7786561995279719,1.269113167065816,0.8680620913920306,0.6180188103320068,0.3374421871407898,0.7988968109324138,1.692663759498074,0.3801851409890934,1.202804072230698,1.1370695938959003,0.13754407617795844,0.759648197886564,1.015385315575155,1.0173710149067485,0.4419754551678093,0.5616874227433233,0.6852279148759096,0.856467630261581,1.0727990426319785,0.8689459564501314,2.092941055099294,1.1999798638160697,0.630189544925344,1.0847400066352635
details_OpenBuddy__openbuddy-mixtral-7bx8-v16.3-32k,7.0,62.0,1.6691900822842876,71.9897431033915,0.26580121459750194,0.5215557384929281,0.6060308880703185,0.569104810685664,0.8602461998594367,0.6298476809122203,56.00000000000001,0.4976066272816774,0.2897726350870829,0.6564254563742444,0.20605207635813472,1.0024286097411124,0.40591077326604885,0.3304326099638563,0.35691541735929255,0.14078600733273752,0.4968496355018954,0.24430551211293755,0.6764127474492949,0.3789453861868307,0.5033400445363736,0.7855319046544309,0.9638657498681338,1.1141709723616706,0.4209863637341987,0.21877770046214365,0.7559645530060732,0.3257525058014435,1.087077392358157,0.4643368176203564,0.7426217466523141,1.272594180352425,1.0809120792659874,0.7249557719743187,1.2335305549050921,0.8315121085965766,0.5646646684328408,0.32318406655737614,0.7988968109324138,1.5854361910230828,0.3618629655197395,1.1445770424546613,1.0817953775259606,0.10998422417940645,0.6877118155109424,0.9837779905767068,0.9524324394871689,0.37471832068575134,0.4779427590755221,0.6520230379435968,0.7961530084121738,0.9494888078466935,0.8427465808787706,2.011998583355122,1.1368230288783818,0.5759796915984327,1.0702768065467934
details_kyujinpy__PlatYi-34B-LoRA,8.0,2.0,1.6667140188984908,78.45856474176378,0.2990263664221897,0.5782465796334638,0.6755754162095352,0.658535566650554,0.8562074853061061,0.6770862569806368,53.0,0.4902888827628292,0.28347322997649416,0.6944004827760601,0.21729128052312388,1.02748932498464,0.4656767766917248,0.31155074653735026,0.40889339076113135,0.20565076463787316,0.5036557948923323,0.31047158831019145,0.7276561374075747,0.43308044135637797,0.5998710119817054,0.8081371393207456,1.0437126167211153,1.144780065008969,0.49115075768989835,0.2667004348490894,0.8144154205065428,0.3965682679321921,1.1364900011017096,0.5667102892216949,0.7885141017825134,1.3144165243076689,1.178584857512914,0.7719436460837653,1.2809740377860572,0.8863370827897575,0.6269111673152011,0.35645301458534134,0.8352103023384329,1.6696864233962903,0.4214100357951397,1.1828405191646285,1.1449659105201773,0.1755664645833681,0.7682805637716386,1.0311889780743793,1.0281941108100119,0.46119177930554006,0.5718564176172705,0.6882465400515745,0.8926564033712253,0.9988129017608074,0.8951453320214923,2.0698146346009594,1.1494543958659194,0.6437420082570718,1.0775084065910285
details_mlinmg__SG-Raccoon-Yi-200k-2.0,9.0,60.0,1.665954209443604,73.28519859884108,0.20488843625224107,0.5158866543788745,0.6358356858442684,0.6178852230301495,0.8602461998594367,0.6665887956320998,55.00000000000001,0.4244291820931954,0.22677858398119533,0.6510004526025565,0.1835736680281564,1.014958967362876,0.4432645254070963,0.2737870196843381,0.3673110120396603,0.14963120151071058,0.43559420098796303,0.26466430478901565,0.7122831204200909,0.4139739512965378,0.5516055282590395,0.7968345219875883,1.0323059214564034,1.144780065008969,0.46827106400869195,0.1979417289895585,0.7754481755062299,0.33991565822759323,1.1117836967299333,0.4935863809350246,0.7885141017825134,1.272594180352425,1.1525387833137335,0.7518059857511452,1.2453914256253333,0.8315121085965766,0.649142059773187,0.29942053225168674,0.7716616923778998,1.6390499752605783,0.3801851409890934,1.1578860778320412,1.105484327398792,0.11381198140142756,0.7251187343462656,0.995630737451125,0.9740786312936955,0.40114076637513124,0.5341713189667601,0.633911286889608,0.8323417815218181,0.961819831325222,0.8907787694262653,2.0698146346009594,1.1494543958659194,0.630189544925344,1.026887206281383
details_CausalLM__72B-preview,10.0,10.0,1.6604068058034533,77.14314354396925,0.2325760627728142,0.5669084114053566,0.6904778150965104,0.6422754292023922,0.8885172017327516,0.6770862569806368,53.0,0.4610179046874364,0.3527666861929705,0.732375509177876,0.20605207635813472,1.0525500402281678,0.46816702683446126,0.3068302806807237,0.40196299430755283,0.18943457531158922,0.4764311573305846,0.27484370112705475,0.7071587814242629,0.42671161133643126,0.5378153900525635,0.8024858306541669,1.0665260072505385,1.169267339126808,0.4804735673053354,0.2979543920579671,0.7715514510061985,0.38712616631475893,1.1364900011017096,0.5338045304926933,0.7843420694979497,1.2666195597873902,1.178584857512914,0.7719436460837653,1.2453914256253333,0.8406496042954402,0.622464988823604,0.3612057214464793,0.8079751837839185,1.685004647464146,0.4030878603257858,1.1978131839641808,1.156810385456593,0.12886782647471062,0.7538932872965143,1.0390908093239914,1.031801809444433,0.4251611715472947,0.5742491222934935,0.67919066452458,0.8650840048114963,1.0234749487178645,0.8514797060692242,2.0698146346009594,1.2126112308036072,0.636965776591208,1.0919716066794987
