Model,Rank,Rank-Before,Average,Average-Before,Average-0 (× 0.0017),Average-1 (× 0.0017),Average-2 (× 0.0017),Average-3 (× 0.0017),Average-4 (× 0.0017),Average-5 (× 0.0017),Average-6 (× 0.0017),Average-7 (× 0.0017),Average-8 (× 0.0017),Average-9 (× 0.0017),Average-10 (× 0.0017),Average-11 (× 0.0017),Average-12 (× 0.0017),Average-13 (× 0.0017),Average-14 (× 0.0017),Average-15 (× 0.0017),Average-16 (× 0.0017),Average-17 (× 0.0017),Average-18 (× 0.0017),Average-19 (× 0.0017),Average-20 (× 0.0017),Average-21 (× 0.0017),Average-22 (× 0.0017),Average-23 (× 0.0017),Average-24 (× 0.0017),Average-25 (× 0.0017),Average-26 (× 0.0017),Average-27 (× 0.0017),Average-28 (× 0.0017),Average-29 (× 0.0017),Average-30 (× 0.0017),Average-31 (× 0.0017),Average-32 (× 0.0017),Average-33 (× 0.0017),Average-34 (× 0.0017),Average-35 (× 0.0017),Average-36 (× 0.0017),Average-37 (× 0.0017),Average-38 (× 0.0017),Average-39 (× 0.0017),Average-40 (× 0.0017),Average-41 (× 0.0017),Average-42 (× 0.0017),Average-43 (× 0.0017),Average-44 (× 0.0017),Average-45 (× 0.0017),Average-46 (× 0.0017),Average-47 (× 0.0017),Average-48 (× 0.0017),Average-49 (× 0.0017),Average-50 (× 0.0017),Average-51 (× 0.0017),Average-52 (× 0.0017),Average-53 (× 0.0017),Average-54 (× 0.0017),Average-55 (× 0.0017),Classification Average-0 (× 0.0020),Classification Average-1 (× 0.0020),Classification Average-2 (× 0.0020),Classification Average-3 (× 0.0020),Classification Average-4 (× 0.0020),Classification Average-5 (× 0.0020),Classification Average-6 (× 0.0020),Classification Average-7 (× 0.0020),Classification Average-8 (× 0.0020),Classification Average-9 (× 0.0020),Classification Average-10 (× 0.0020),Classification Average-11 (× 0.0020),Clustering Average-0 (× 0.0018),Clustering Average-1 (× 0.0018),Clustering Average-2 (× 0.0018),Clustering Average-3 (× 0.0018),Clustering Average-4 (× 0.0018),Clustering Average-5 (× 0.0018),Clustering Average-6 (× 0.0018),Clustering Average-7 (× 0.0018),Clustering Average-8 (× 0.0018),Clustering Average-9 (× 0.0018),Clustering Average-10 (× 0.0018),Pair Classification Average-0 (× 0.0020),Pair Classification Average-1 (× 0.0020),Pair Classification Average-2 (× 0.0020),Reranking Average-0 (× 0.0027),Reranking Average-1 (× 0.0027),Reranking Average-2 (× 0.0027),Reranking Average-3 (× 0.0027),Retrieval Average-0 (× 0.0010),Retrieval Average-1 (× 0.0010),Retrieval Average-2 (× 0.0010),Retrieval Average-3 (× 0.0010),Retrieval Average-4 (× 0.0010),Retrieval Average-5 (× 0.0010),Retrieval Average-6 (× 0.0010),Retrieval Average-7 (× 0.0010),Retrieval Average-8 (× 0.0010),Retrieval Average-9 (× 0.0010),Retrieval Average-10 (× 0.0010),Retrieval Average-11 (× 0.0010),Retrieval Average-12 (× 0.0010),Retrieval Average-13 (× 0.0010),Retrieval Average-14 (× 0.0010),STS Average-0 (× 0.0020),STS Average-1 (× 0.0020),STS Average-2 (× 0.0020),STS Average-3 (× 0.0020),STS Average-4 (× 0.0020),STS Average-5 (× 0.0020),STS Average-6 (× 0.0020),STS Average-7 (× 0.0020),STS Average-8 (× 0.0020),STS Average-9 (× 0.0020),Summarization Average-0 (× 1.0000)
sgpt-bloom-7b1-msmarco,1.0,51.0,0.39969142090779614,57.59062500000004,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.09696812177978888,0.13333270635397906,0.13333270635397906,0.13333270635397906,0.13333270635397906,0.13333270635397906,0.13333270635397906,0.13333270635397906,0.13333270635397906,0.13333270635397906,0.13333270635397906,0.13333270635397906,0.13333270635397906,0.07087885921337664,0.07087885921337664,0.07087885921337664,0.07087885921337664,0.07087885921337664,0.07087885921337664,0.07087885921337664,0.07087885921337664,0.07087885921337664,0.07087885921337664,0.07087885921337664,0.1618059989459725,0.1618059989459725,0.1618059989459725,0.15176051259209597,0.15176051259209597,0.15176051259209597,0.15176051259209597,0.0471436308586371,0.0471436308586371,0.0471436308586371,0.0471436308586371,0.0471436308586371,0.0471436308586371,0.0471436308586371,0.0471436308586371,0.0471436308586371,0.0471436308586371,0.0471436308586371,0.0471436308586371,0.0471436308586371,0.0471436308586371,0.0471436308586371,0.15559498843242472,0.15559498843242472,0.15559498843242472,0.15559498843242472,0.15559498843242472,0.15559498843242472,0.15559498843242472,0.15559498843242472,0.15559498843242472,0.15559498843242472,33.6
stella-base-en-v2,2.0,15.0,0.39903957459062717,62.608125000000065,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.10542063039820422,0.1516435433498647,0.1516435433498647,0.1516435433498647,0.1516435433498647,0.1516435433498647,0.1516435433498647,0.1516435433498647,0.1516435433498647,0.1516435433498647,0.1516435433498647,0.1516435433498647,0.1516435433498647,0.08174828612074521,0.08174828612074521,0.08174828612074521,0.08174828612074521,0.08174828612074521,0.08174828612074521,0.08174828612074521,0.08174828612074521,0.08174828612074521,0.08174828612074521,0.08174828612074521,0.17079522110963763,0.17079522110963763,0.17079522110963763,0.16029618922126507,0.16029618922126507,0.16029618922126507,0.16029618922126507,0.04898166540891163,0.04898166540891163,0.04898166540891163,0.04898166540891163,0.04898166540891163,0.04898166540891163,0.04898166540891163,0.04898166540891163,0.04898166540891163,0.04898166540891163,0.04898166540891163,0.04898166540891163,0.04898166540891163,0.04898166540891163,0.04898166540891163,0.1661627982976576,0.1661627982976576,0.1661627982976576,0.1661627982976576,0.1661627982976576,0.1661627982976576,0.1661627982976576,0.1661627982976576,0.1661627982976576,0.1661627982976576,32.52
UAE-Large-V1,3.0,4.0,0.39778376070871413,64.63776785714278,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.10883867671202557,0.15224786140253418,0.15224786140253418,0.15224786140253418,0.15224786140253418,0.15224786140253418,0.15224786140253418,0.15224786140253418,0.15224786140253418,0.15224786140253418,0.15224786140253418,0.15224786140253418,0.15224786140253418,0.08508012049938582,0.08508012049938582,0.08508012049938582,0.08508012049938582,0.08508012049938582,0.08508012049938582,0.08508012049938582,0.08508012049938582,0.08508012049938582,0.08508012049938582,0.08508012049938582,0.17237574368786446,0.17237574368786446,0.17237574368786446,0.16329594778103695,0.16329594778103695,0.16329594778103695,0.16329594778103695,0.05343987687127963,0.05343987687127963,0.05343987687127963,0.05343987687127963,0.05343987687127963,0.05343987687127963,0.05343987687127963,0.05343987687127963,0.05343987687127963,0.05343987687127963,0.05343987687127963,0.05343987687127963,0.05343987687127963,0.05343987687127963,0.05343987687127963,0.16920504659219435,0.16920504659219435,0.16920504659219435,0.16920504659219435,0.16920504659219435,0.16920504659219435,0.16920504659219435,0.16920504659219435,0.16920504659219435,0.16920504659219435,32.03
instructor-xl,4.0,22.0,0.3958297546219606,61.79160714285716,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.10403994173941924,0.14729245337064437,0.14729245337064437,0.14729245337064437,0.14729245337064437,0.14729245337064437,0.14729245337064437,0.14729245337064437,0.14729245337064437,0.14729245337064437,0.14729245337064437,0.14729245337064437,0.14729245337064437,0.08145697819692964,0.08145697819692964,0.08145697819692964,0.08145697819692964,0.08145697819692964,0.08145697819692964,0.08145697819692964,0.08145697819692964,0.08145697819692964,0.08145697819692964,0.08145697819692964,0.17113108215751083,0.17113108215751083,0.17113108215751083,0.15623287989939225,0.15623287989939225,0.15623287989939225,0.15623287989939225,0.04816041592900173,0.04816041592900173,0.04816041592900173,0.04816041592900173,0.04816041592900173,0.04816041592900173,0.04816041592900173,0.04816041592900173,0.04816041592900173,0.04816041592900173,0.04816041592900173,0.04816041592900173,0.04816041592900173,0.04816041592900173,0.04816041592900173,0.1662428574633033,0.1662428574633033,0.1662428574633033,0.1662428574633033,0.1662428574633033,0.1662428574633033,0.1662428574633033,0.1662428574633033,0.1662428574633033,0.1662428574633033,32.32
e5-mistral-7b-instruct,5.0,3.0,0.3954869720475763,66.63116071428584,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.11218937235956472,0.1580694586432503,0.1580694586432503,0.1580694586432503,0.1580694586432503,0.1580694586432503,0.1580694586432503,0.1580694586432503,0.1580694586432503,0.1580694586432503,0.1580694586432503,0.1580694586432503,0.1580694586432503,0.09150710156856691,0.09150710156856691,0.09150710156856691,0.09150710156856691,0.09150710156856691,0.09150710156856691,0.09150710156856691,0.09150710156856691,0.09150710156856691,0.09150710156856691,0.09150710156856691,0.17452920570069852,0.17452920570069852,0.17452920570069852,0.1641958753489685,0.1641958753489685,0.1641958753489685,0.1641958753489685,0.05562009870484995,0.05562009870484995,0.05562009870484995,0.05562009870484995,0.05562009870484995,0.05562009870484995,0.05562009870484995,0.05562009870484995,0.05562009870484995,0.05562009870484995,0.05562009870484995,0.05562009870484995,0.05562009870484995,0.05562009870484995,0.05562009870484995,0.16938517971489714,0.16938517971489714,0.16938517971489714,0.16938517971489714,0.16938517971489714,0.16938517971489714,0.16938517971489714,0.16938517971489714,0.16938517971489714,0.16938517971489714,31.4
SFR-Embedding-Mistral,6.0,1.0,0.39475278179178563,67.55830357142858,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.11375527535062574,0.15778744355200455,0.15778744355200455,0.15778744355200455,0.15778744355200455,0.15778744355200455,0.15778744355200455,0.15778744355200455,0.15778744355200455,0.15778744355200455,0.15778744355200455,0.15778744355200455,0.15778744355200455,0.09407425264719164,0.09407425264719164,0.09407425264719164,0.09407425264719164,0.09407425264719164,0.09407425264719164,0.09407425264719164,0.09407425264719164,0.09407425264719164,0.09407425264719164,0.09407425264719164,0.17492433634525525,0.17492433634525525,0.17492433634525525,0.16536850824051572,0.16536850824051572,0.16536850824051572,0.16536850824051572,0.057682999184147425,0.057682999184147425,0.057682999184147425,0.057682999184147425,0.057682999184147425,0.057682999184147425,0.057682999184147425,0.057682999184147425,0.057682999184147425,0.057682999184147425,0.057682999184147425,0.057682999184147425,0.057682999184147425,0.057682999184147425,0.057682999184147425,0.17022580095417703,0.17022580095417703,0.17022580095417703,0.17022580095417703,0.17022580095417703,0.17022580095417703,0.17022580095417703,0.17022580095417703,0.17022580095417703,0.17022580095417703,31.16
bge-large-en-v1.5,7.0,8.0,0.39336026712979877,64.23160714285709,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.10814833238263309,0.15303347487100455,0.15303347487100455,0.15303347487100455,0.15303347487100455,0.15303347487100455,0.15303347487100455,0.15303347487100455,0.15303347487100455,0.15303347487100455,0.15303347487100455,0.15303347487100455,0.15303347487100455,0.08389668205888506,0.08389668205888506,0.08389668205888506,0.08389668205888506,0.08389668205888506,0.08389668205888506,0.08389668205888506,0.08389668205888506,0.08389668205888506,0.08389668205888506,0.08389668205888506,0.1721189087689026,0.1721189087689026,0.1721189087689026,0.1637050057664604,0.1637050057664604,0.1637050057664604,0.1637050057664604,0.05307813602893837,0.05307813602893837,0.05307813602893837,0.05307813602893837,0.05307813602893837,0.05307813602893837,0.05307813602893837,0.05307813602893837,0.05307813602893837,0.05307813602893837,0.05307813602893837,0.05307813602893837,0.05307813602893837,0.05307813602893837,0.05307813602893837,0.1663429314203604,0.1663429314203604,0.1663429314203604,0.1663429314203604,0.1663429314203604,0.1663429314203604,0.1663429314203604,0.1663429314203604,0.1663429314203604,0.1663429314203604,31.61
voyage-lite-02-instruct,8.0,2.0,0.392880024414174,67.12839285714294,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.11303125568809214,0.15964068558019098,0.15964068558019098,0.15964068558019098,0.15964068558019098,0.15964068558019098,0.15964068558019098,0.15964068558019098,0.15964068558019098,0.15964068558019098,0.15964068558019098,0.15964068558019098,0.15964068558019098,0.09543975854007715,0.09543975854007715,0.09543975854007715,0.09543975854007715,0.09543975854007715,0.09543975854007715,0.09543975854007715,0.09543975854007715,0.09543975854007715,0.09543975854007715,0.09543975854007715,0.17162499546320673,0.17162499546320673,0.17162499546320673,0.15882358047374068,0.15882358047374068,0.15882358047374068,0.15882358047374068,0.055336572098690584,0.055336572098690584,0.055336572098690584,0.055336572098690584,0.055336572098690584,0.055336572098690584,0.055336572098690584,0.055336572098690584,0.055336572098690584,0.055336572098690584,0.055336572098690584,0.055336572098690584,0.055336572098690584,0.055336572098690584,0.055336572098690584,0.17170689551862256,0.17170689551862256,0.17170689551862256,0.17170689551862256,0.17170689551862256,0.17170689551862256,0.17170689551862256,0.17170689551862256,0.17170689551862256,0.17170689551862256,31.01
sf_model_e5,9.0,13.0,0.39204730668040394,63.34258928571433,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.10664978005785426,0.14898454391811894,0.14898454391811894,0.14898454391811894,0.14898454391811894,0.14898454391811894,0.14898454391811894,0.14898454391811894,0.14898454391811894,0.14898454391811894,0.14898454391811894,0.14898454391811894,0.14898454391811894,0.08486163955652415,0.08486163955652415,0.08486163955652415,0.08486163955652415,0.08486163955652415,0.08486163955652415,0.08486163955652415,0.08486163955652415,0.08486163955652415,0.08486163955652415,0.08486163955652415,0.17158548239875102,0.17158548239875102,0.17158548239875102,0.16324140671631382,0.16324140671631382,0.16324140671631382,0.16324140671631382,0.05064371792777689,0.05064371792777689,0.05064371792777689,0.05064371792777689,0.05064371792777689,0.05064371792777689,0.05064371792777689,0.05064371792777689,0.05064371792777689,0.05064371792777689,0.05064371792777689,0.05064371792777689,0.05064371792777689,0.05064371792777689,0.05064371792777689,0.16782402598480592,0.16782402598480592,0.16782402598480592,0.16782402598480592,0.16782402598480592,0.16782402598480592,0.16782402598480592,0.16782402598480592,0.16782402598480592,0.16782402598480592,31.61
gte-large,10.0,14.0,0.39201873971869583,63.12910714285726,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.10629618905987274,0.147715476007513,0.147715476007513,0.147715476007513,0.147715476007513,0.147715476007513,0.147715476007513,0.147715476007513,0.147715476007513,0.147715476007513,0.147715476007513,0.147715476007513,0.147715476007513,0.08528039469700904,0.08528039469700904,0.08528039469700904,0.08528039469700904,0.08528039469700904,0.08528039469700904,0.08528039469700904,0.08528039469700904,0.08528039469700904,0.08528039469700904,0.08528039469700904,0.1679305239366015,0.1679305239366015,0.1679305239366015,0.16125065785391976,0.16125065785391976,0.16125065785391976,0.16125065785391976,0.05105434266773184,0.05105434266773184,0.05105434266773184,0.05105434266773184,0.05105434266773184,0.05105434266773184,0.05105434266773184,0.05105434266773184,0.05105434266773184,0.05105434266773184,0.05105434266773184,0.05105434266773184,0.05105434266773184,0.05105434266773184,0.05105434266773184,0.16682328641423463,0.16682328641423463,0.16682328641423463,0.16682328641423463,0.16682328641423463,0.16682328641423463,0.16682328641423463,0.16682328641423463,0.16682328641423463,0.16682328641423463,31.66
