Model,Rank,Rank-Before,Average,Average-Before,ARC (× 0.0216),HellaSwag (× 0.0440),MMLU (× 0.0117),TruthfulQA (× 0.0106),Winogrande (× 0.0368),GSM8K (× 1.0000)
moreh/MoMo-70B-lora-1.8.4-DPO,1.0,4.0,14.368474070480538,76.225,1.5005470904895188,3.753653839262474,0.9048608410044845,0.6869161507309784,3.094866501395782,76.27
cloudyu/Yi-34Bx2-MoE-60B,2.0,1.0,14.253543334968738,76.72166666666668,1.5320150415397153,3.748376294321508,0.9064990217589216,0.7033876859047564,3.1209819662875216,75.51
cloudyu/Mixtral_34Bx2_MoE_60B,3.0,2.0,14.103376249888266,76.66000000000001,1.5374033893222834,3.7492558851450024,0.9049778539155158,0.70763840465928,3.1209819662875216,74.6
cloudyu/Mixtral_34Bx2_MoE_60B,4.0,3.0,14.102832710142176,76.63166666666666,1.5356791180318616,3.7540936346742217,0.9042757764493283,0.707850940597006,3.1150967911006506,74.6
moreh/MoMo-70B-lora-1.8.5-DPO,5.0,6.0,14.044034676647042,76.14333333333333,1.498822819199097,3.764648724556155,0.906733047580984,0.6991369671502332,3.094866501395782,74.3
samir-fama/FernandoGPT-v1,6.0,61.0,13.837989731814423,72.86833333333333,1.4968830139973726,3.8235813097302813,0.7628071670125739,0.6501474335043511,2.984519466641951,73.31
cloudyu/Yi-34Bx3-MoE-90B,7.0,5.0,13.80862556308876,76.18333333333335,1.5281354311362667,3.75277424843898,0.9057969442927343,0.7046629015311136,3.1003838531334735,72.86
cookinai/OpenCM-14,8.0,63.0,13.77405291816955,72.745,1.4932189375052263,3.8213823326715457,0.7607009346140119,0.6489784858468572,2.9900368183796426,72.93
cloudyu/Mixtral_7Bx5_MoE_30B,9.0,36.0,13.656645966180408,73.39,1.5080907773851138,3.8183037647893148,0.7537971728631694,0.7010497905897686,2.97863429145508,72.18
SUSTech/SUS-Chat-34B,10.0,43.0,13.645147846690142,73.22333333333333,1.4289898319370165,3.6903232999708755,0.8940956531896115,0.6061524943950342,3.0713258006482977,72.18
janhq/supermario-v2,11.0,74.5,13.642906499231271,72.34,1.4768383602462198,3.8046701070251516,0.7591797667706058,0.643771355372566,2.992979405973078,72.18
