Model,Rank,Rank-Before,Average,Average-Before,CIFAR-100 (× 0.0115),Caltech101 (× 0.0089),Camelyon (× 0.0721),Clevr-Count (× 0.0084),Clevr-Dist (× 0.0124),DMLab (× 0.0165),DTD (× 0.0093),EuroSAT (× 0.0371),Flowers102 (× 0.0077),KITTI-Dist (× 0.0201),Pets (× 0.0073),Resisc45 (× 0.0119),Retinopathy (× 0.0948),SVHN (× 0.0278),Sun397 (× 0.0120),dSpr-Loc (× 1.0000),dSpr-Orient (× 0.0093),sNORB-Azim (× 0.0108),sNORB-Elev (× 0.0147)
Sup-Exemplar-100%,1.0,2.0,7.071424527831669,90.11052631578947,0.9637877623914068,0.8427820029193386,6.249376725349239,0.8391824009210874,1.153042386976964,1.266529961715568,0.6915251714779749,3.6609834346360115,0.7217379585925525,1.684516400275128,0.6662244208625016,1.1335690262241533,7.5389774569110415,2.6958781365816287,0.836146730287733,100.0,0.8998607316200884,1.0737389654827956,1.439206355576483
Sup-Rotation-100%,2.0,1.0,7.068916314549208,90.2,0.9718097770605386,0.8445675580102693,6.19171234956747,0.8391824009210874,1.1505547011366686,1.2615825790526165,0.7045202753715207,3.6684093645237117,0.7317835618706072,1.6504249969362268,0.6640472168727548,1.1311850745391394,7.5389774569110415,2.693101743032111,0.8457853093112228,100.0,0.9007941971093208,1.0758907469767491,1.4450806672318972
Sup-100%,3.0,3.0,7.055934262619314,89.73157894736842,0.9603497561046361,0.8401036702829422,6.047551410113047,0.8391824009210874,1.1455793294560774,1.2599334514982996,0.6868840629445656,3.6684093645237117,0.7201924811651594,1.6183389702643196,0.6669501555257505,1.1359529779091675,7.520011475887366,2.693101743032111,0.8518094212009037,100.0,0.8998607316200884,1.0737389654827956,1.4348006218349223
Semi-Exemplar-10%,4.0,4.0,7.052608840984974,88.82631578947368,0.9477437330531433,0.761539246281987,6.198920396540191,0.8391824009210874,1.1580177586575549,1.266529961715568,0.654396303210701,3.6609834346360115,0.7124650940281941,1.634381983600273,0.6459038502915321,1.1288011228541255,7.472596523328177,2.693101743032111,0.8120502827290087,100.0,0.9007941971093208,1.0758907469767491,1.4362691997487758
Rotation,5.0,6.0,7.030849282385709,86.38947368421051,0.8434575423544297,0.7883225726459491,6.227752584431076,0.8391824009210874,1.1605054444978504,1.266529961715568,0.5875643403296081,3.649844539804462,0.6444640872229002,1.6564411269372092,0.521077488212719,1.1133054369015345,7.453630542304501,2.6903253494825936,0.7289175386514098,100.0,0.9007941971093208,1.0748148562297724,1.439206355576483
Semi-Rotation-10%,6.0,5.0,7.0259556302979735,88.56842105263159,0.9443057267663726,0.7865370175550181,5.665524920558825,0.8391824009210874,1.1592616015777029,1.254986068835348,0.6720325156376561,3.664696399579862,0.7201924811651594,1.624355100265302,0.6379207689957941,1.1311850745391394,7.491562504351853,2.6903253494825936,0.8036165260834552,100.0,0.9007941971093208,1.0748148562297724,1.4318634660072151
Exemplar,7.0,7.0,7.009142191488752,84.80000000000001,0.8102234815823124,0.7311848097361634,6.105215785894816,0.8391824009210874,1.1605054444978504,1.2318982830749081,0.5671434627826075,3.657270469692162,0.6127817999613426,1.5682045535894646,0.4920481016827626,1.1144974127440415,7.491562504351853,2.684772562383558,0.7012066239588769,100.0,0.9007941971093208,1.0748148562297724,1.4303948880933617
Rel.Pat.Loc,8.0,8.0,6.988966087810688,83.10000000000001,0.7529233768027994,0.7133292588268554,6.148464067731142,0.836659808533549,1.0908502409695766,1.1791262013367594,0.6052005527565633,3.6312797150852125,0.60891810639286,1.50403250024565,0.48479075505027347,1.0906578958939015,7.567426428446555,2.601480755898029,0.6987969792030044,100.0,0.843852802266141,1.0726630747358188,1.359903148228391
Jigsaw,9.0,9.0,6.982734950949438,82.96842105263158,0.7483393684204384,0.7061870384631321,5.982678987358557,0.8375006726627285,1.1020448272509062,1.187371839108345,0.5931336705696992,3.634992680029063,0.6019634579695914,1.4980163702446676,0.47463046976478873,1.0966177751064365,7.595875399982068,2.6070335429970646,0.7132548477382391,100.0,0.8429193367769084,1.0748148562297724,1.3745889273669265
From-Scratch,10.0,10.0,6.8928372417135835,75.4157894736842,0.7380253495601261,0.49906264791515914,5.852934141849576,0.838341536791908,1.1119955706120883,1.1791262013367594,0.2905333941914176,3.571872275983614,0.39100578913044065,1.371677640224033,0.17272484985324116,1.0346350312960728,7.282936713091421,2.6736669881854875,0.6349413931723852,100.0,0.8989272661308558,1.0748148562297724,1.3466859470037091
VAE,11.0,12.0,6.7785015182973805,66.83157894736841,0.506532926250894,0.43210433200525405,5.860142188822296,0.8274103031125752,1.1207024710531224,0.9845291499273361,0.14851547306909527,3.434492573061167,0.14218392332016022,1.143064700186694,0.10160285285484774,0.7747842976295476,7.036378959783639,2.584822394600923,0.3530129567353109,100.0,0.8839918183031366,1.0532970412902374,1.4039604856439976
WAE-MMD,12.0,13.0,6.74932596393286,64.94210526315788,0.44464881308902005,0.45353099309642364,5.809685860013248,0.8248877107250367,1.1107517276919405,0.8674410935708188,0.102104387735003,3.4939000121627655,0.16072965244887677,1.2353120268684274,0.11756901544632381,0.7724003459445336,6.998446997736288,2.523741736511535,0.38072387142784386,100.0,0.8419858712876761,1.0360827893386093,1.0632504096299733
WAE-GAN,13.0,15.0,6.408886977060064,48.46684210526316,0.28420851970638394,0.3749665690954684,5.557404215968008,0.438931075431671,0.8731777299437203,0.6151245777602954,0.08047682196931599,3.026066429237677,0.11977450062296106,1.2493496635373866,0.09507124088560752,0.45771872352268655,6.979481016712612,2.1711397557227947,0.1542172643758355,97.7,0.4657992791269959,0.35934750949023414,0.7665976710315553
WAE-UKL,14.0,16.0,6.389749983117331,46.82105263157895,0.2658724861769398,0.3722882364590722,5.506947887158961,0.37418453748485364,0.8433254998601742,0.6052298124343926,0.11417126992186699,2.89982562114678,0.13291105875580195,1.1049625435138044,0.08926536357961623,0.4386471100425746,6.979481016712612,1.8185377749340543,0.14457868535234575,98.1,0.4798012614654828,0.3862447781646529,0.7489747360653125
Uncond-BigGAN,15.0,11.0,6.061223240640934,68.18947368421051,0.6658272175379398,0.6570842734625351,5.925014611576787,0.40025132548941644,0.6828697631611146,0.9037218997657959,0.41677154630014857,3.3342425195772196,0.4906890831972921,1.1510862068546708,0.22425201094391392,0.8987497852502753,7.197589798484882,2.5820460010514057,0.5650616952520846,86.1,0.8951934041739261,0.9478597480865159,1.1249306820118223
Cond-BigGAN,16.0,14.0,1.7282386238992238,51.41884210526316,0.6451991798173151,0.0013213107672887933,5.860142188822296,0.10426715201825135,0.30474151543619865,0.847651562919013,0.41584332459346673,3.5087518719381654,0.5316442350232078,0.9966722034961175,0.22933215358665632,0.9118615195178521,7.140691855413854,2.5376237042591234,0.5409652476933603,6.16,0.06954317894781803,0.8671679420632596,1.1631137077720148
