Model,Rank,Average,harness|hendrycksTest-abstract_algebra|5,harness|hendrycksTest-anatomy|5,harness|hendrycksTest-astronomy|5,harness|hendrycksTest-business_ethics|5,harness|hendrycksTest-clinical_knowledge|5,harness|hendrycksTest-college_biology|5,harness|hendrycksTest-college_chemistry|5,harness|hendrycksTest-college_computer_science|5,harness|hendrycksTest-college_mathematics|5,harness|hendrycksTest-college_medicine|5,harness|hendrycksTest-college_physics|5,harness|hendrycksTest-computer_security|5,harness|hendrycksTest-conceptual_physics|5,harness|hendrycksTest-econometrics|5,harness|hendrycksTest-electrical_engineering|5,harness|hendrycksTest-elementary_mathematics|5,harness|hendrycksTest-formal_logic|5,harness|hendrycksTest-global_facts|5,harness|hendrycksTest-high_school_biology|5,harness|hendrycksTest-high_school_chemistry|5,harness|hendrycksTest-high_school_computer_science|5,harness|hendrycksTest-high_school_european_history|5,harness|hendrycksTest-high_school_geography|5,harness|hendrycksTest-high_school_government_and_politics|5,harness|hendrycksTest-high_school_macroeconomics|5,harness|hendrycksTest-high_school_mathematics|5,harness|hendrycksTest-high_school_microeconomics|5,harness|hendrycksTest-high_school_physics|5,harness|hendrycksTest-high_school_psychology|5,harness|hendrycksTest-high_school_statistics|5,harness|hendrycksTest-high_school_us_history|5,harness|hendrycksTest-high_school_world_history|5,harness|hendrycksTest-human_aging|5,harness|hendrycksTest-human_sexuality|5,harness|hendrycksTest-international_law|5,harness|hendrycksTest-jurisprudence|5,harness|hendrycksTest-logical_fallacies|5,harness|hendrycksTest-machine_learning|5,harness|hendrycksTest-management|5,harness|hendrycksTest-marketing|5,harness|hendrycksTest-medical_genetics|5,harness|hendrycksTest-miscellaneous|5,harness|hendrycksTest-moral_disputes|5,harness|hendrycksTest-moral_scenarios|5,harness|hendrycksTest-nutrition|5,harness|hendrycksTest-philosophy|5,harness|hendrycksTest-prehistory|5,harness|hendrycksTest-professional_accounting|5,harness|hendrycksTest-professional_law|5,harness|hendrycksTest-professional_medicine|5,harness|hendrycksTest-professional_psychology|5,harness|hendrycksTest-public_relations|5,harness|hendrycksTest-security_studies|5,harness|hendrycksTest-sociology|5,harness|hendrycksTest-us_foreign_policy|5,harness|hendrycksTest-virology|5,harness|hendrycksTest-world_religions|5
details_kyujinpy__PlatYi-34B-Llama-Q,1.0,78.77691613518728,47.0,75.55555555555556,88.81578947368422,81.0,80.37735849056604,91.66666666666666,57.99999999999999,70.0,48.0,72.83236994219652,60.78431372549019,82.0,79.57446808510639,62.28070175438597,81.37931034482759,76.19047619047619,59.523809523809526,57.99999999999999,92.90322580645162,70.44334975369459,84.0,86.66666666666667,92.42424242424242,97.92746113989638,83.58974358974359,48.888888888888886,88.23529411764706,56.95364238410596,93.76146788990826,69.9074074074074,91.17647058823528,92.40506329113924,79.82062780269058,88.54961832061069,91.73553719008264,92.59259259259261,88.95705521472392,69.64285714285714,90.29126213592232,92.73504273504274,91.0,90.67688378033203,82.94797687861272,76.42458100558659,84.31372549019608,84.88745980707395,86.72839506172839,66.66666666666666,62.255541069100396,82.72058823529412,82.51633986928104,72.72727272727273,83.26530612244898,90.04975124378109,91.0,56.62650602409639,88.88888888888889
details_kyujinpy__PlatYi-34B-LoRA,2.0,78.45856474176378,54.0,75.55555555555556,89.47368421052632,81.0,80.0,89.58333333333334,53.0,67.0,45.0,73.98843930635837,56.86274509803921,82.0,79.57446808510639,57.89473684210527,81.37931034482759,73.80952380952381,58.730158730158735,61.0,91.61290322580643,66.99507389162561,87.0,86.66666666666667,92.42424242424242,96.89119170984456,82.56410256410255,47.40740740740741,87.81512605042016,55.62913907284768,92.84403669724772,71.75925925925925,92.64705882352942,92.82700421940928,81.16591928251121,87.78625954198473,89.25619834710744,89.81481481481481,86.50306748466258,66.96428571428571,89.32038834951457,93.16239316239316,92.0,90.80459770114943,83.8150289017341,76.87150837988827,87.25490196078431,83.92282958199357,87.96296296296296,68.08510638297872,62.32073011734028,83.82352941176471,84.640522875817,73.63636363636363,83.6734693877551,89.05472636815921,91.0,57.22891566265061,87.13450292397661
details_kyujinpy__PlatYi-34B-Llama-Q-FastChat,3.0,78.37428442901546,55.00000000000001,75.55555555555556,88.1578947368421,82.0,80.75471698113208,90.27777777777779,51.0,67.0,49.0,72.83236994219652,54.90196078431373,82.0,78.72340425531915,57.89473684210527,77.24137931034483,75.39682539682539,60.317460317460316,64.0,92.58064516129032,68.4729064039409,87.0,86.66666666666667,92.42424242424242,96.89119170984456,82.3076923076923,49.25925925925926,86.97478991596638,54.966887417218544,93.02752293577981,72.22222222222221,92.15686274509804,91.9831223628692,80.26905829596413,85.49618320610686,93.38842975206612,88.88888888888889,87.73006134969326,63.39285714285714,88.3495145631068,94.87179487179488,90.0,90.80459770114943,83.52601156069365,78.8826815642458,86.60130718954248,84.56591639871382,85.80246913580247,66.31205673758865,61.86440677966102,82.72058823529412,83.16993464052288,71.81818181818181,83.6734693877551,87.06467661691542,93.0,58.43373493975904,87.71929824561403
details_kyujinpy__PlatYi-34B-Llama,4.0,78.25506758304114,51.0,75.55555555555556,89.47368421052632,81.0,80.0,93.05555555555556,49.0,71.0,48.0,71.09826589595376,54.90196078431373,83.0,80.0,64.03508771929825,80.0,74.60317460317461,57.936507936507944,55.00000000000001,92.25806451612904,69.95073891625616,85.0,87.87878787878788,90.90909090909092,97.40932642487049,83.07692307692308,47.03703703703704,87.39495798319328,56.95364238410596,92.84403669724772,68.98148148148148,93.62745098039215,92.40506329113924,80.26905829596413,89.31297709923665,89.25619834710744,89.81481481481481,88.95705521472392,64.28571428571429,87.37864077669903,94.01709401709401,88.0,91.18773946360153,82.65895953757226,72.84916201117319,86.9281045751634,82.63665594855306,87.65432098765432,67.02127659574468,62.58148631029987,84.92647058823529,82.6797385620915,74.54545454545455,83.6734693877551,89.55223880597015,91.0,57.831325301204814,87.13450292397661
details_kyujinpy__PlatYi-34B-Q,5.0,77.66084695579161,52.0,73.33333333333333,85.52631578947368,81.0,79.62264150943396,90.97222222222221,51.0,65.0,44.0,72.83236994219652,52.94117647058824,83.0,78.72340425531915,60.526315789473685,82.06896551724138,73.54497354497354,55.55555555555556,50.0,90.96774193548389,67.48768472906403,84.0,86.66666666666667,91.91919191919192,96.37305699481864,80.0,47.03703703703704,86.97478991596638,54.966887417218544,91.55963302752293,68.51851851851852,92.64705882352942,91.9831223628692,79.82062780269058,87.02290076335878,92.56198347107438,88.88888888888889,88.34355828220859,65.17857142857143,92.23300970873788,92.30769230769232,91.0,91.95402298850576,83.52601156069365,74.41340782122904,85.62091503267973,83.92282958199357,87.34567901234568,67.02127659574468,62.451108213820085,84.19117647058823,81.69934640522875,75.45454545454545,84.08163265306122,89.55223880597015,91.0,56.024096385542165,88.30409356725146
details_cloudyu__Yi-34Bx2-MoE-60B,6.0,77.46987523965544,49.0,73.33333333333333,87.5,78.0,80.0,87.5,48.0,67.0,44.0,76.30057803468208,64.70588235294117,81.0,79.57446808510639,61.40350877192983,76.55172413793103,72.75132275132276,58.730158730158735,56.99999999999999,90.32258064516128,63.05418719211823,82.0,86.66666666666667,92.92929292929291,96.89119170984456,82.3076923076923,44.81481481481481,84.87394957983193,50.993377483443716,91.55963302752293,68.05555555555556,92.15686274509804,89.87341772151899,78.9237668161435,90.83969465648856,90.08264462809916,87.03703703703704,88.34355828220859,64.28571428571429,91.2621359223301,94.44444444444444,89.0,90.80459770114943,82.65895953757226,81.00558659217877,85.94771241830065,82.63665594855306,87.65432098765432,64.18439716312056,60.039113428943935,82.35294117647058,82.35294117647058,71.81818181818181,84.89795918367346,90.04975124378109,92.0,55.42168674698795,88.88888888888889
details_cloudyu__Mixtral_34Bx2_MoE_60B,7.0,77.34083385400415,48.0,73.33333333333333,87.5,77.0,80.0,87.5,49.0,65.0,44.0,76.878612716763,63.725490196078425,79.0,79.57446808510639,59.64912280701754,75.17241379310344,73.80952380952381,57.936507936507944,59.0,90.32258064516128,62.5615763546798,81.0,87.27272727272727,92.42424242424242,96.89119170984456,82.3076923076923,44.44444444444444,85.71428571428571,52.317880794701985,91.92660550458716,67.12962962962963,92.15686274509804,90.29535864978904,79.37219730941703,89.31297709923665,88.42975206611571,87.03703703703704,88.34355828220859,64.28571428571429,91.2621359223301,94.44444444444444,89.0,91.06002554278416,82.94797687861272,81.1173184357542,85.94771241830065,81.9935691318328,87.65432098765432,63.829787234042556,59.90873533246415,82.35294117647058,82.02614379084967,71.81818181818181,85.3061224489796,90.04975124378109,92.0,56.024096385542165,90.05847953216374
details_cloudyu__Mixtral_34Bx2_MoE_60B,8.0,77.27645969364298,47.0,73.33333333333333,87.5,77.0,79.62264150943396,88.19444444444444,50.0,66.0,43.0,75.72254335260115,63.725490196078425,80.0,79.14893617021276,61.40350877192983,75.17241379310344,74.07407407407408,57.14285714285714,56.99999999999999,90.64516129032259,63.05418719211823,81.0,86.66666666666667,92.92929292929291,96.89119170984456,82.3076923076923,43.7037037037037,84.87394957983193,52.317880794701985,92.11009174311928,67.5925925925926,92.15686274509804,90.29535864978904,78.9237668161435,89.31297709923665,88.42975206611571,87.96296296296296,87.73006134969326,62.5,91.2621359223301,94.44444444444444,89.0,90.9323116219668,82.65895953757226,81.56424581005587,86.27450980392157,81.9935691318328,87.65432098765432,63.829787234042556,60.039113428943935,81.98529411764706,82.51633986928104,71.81818181818181,84.89795918367346,90.54726368159204,92.0,55.42168674698795,89.47368421052632
details_CausalLM__72B-preview,9.0,77.20827753020035,42.0,72.5925925925926,92.10526315789473,80.0,84.15094339622642,89.58333333333334,54.0,65.0,56.00000000000001,77.45664739884393,50.98039215686274,84.0,80.85106382978722,56.14035087719298,80.0,68.51851851851852,54.761904761904766,55.00000000000001,90.0,66.00985221674877,78.0,86.06060606060606,94.44444444444444,98.96373056994818,80.76923076923077,52.96296296296297,82.77310924369748,52.980132450331126,92.47706422018348,69.44444444444444,92.15686274509804,89.0295358649789,80.71748878923766,88.54961832061069,86.77685950413223,84.25925925925925,85.88957055214725,67.85714285714286,86.40776699029125,94.01709401709401,89.0,92.08173690932313,84.97109826589595,57.653631284916194,85.29411764705883,84.88745980707395,88.88888888888889,62.76595744680851,62.51629726205997,82.72058823529412,81.37254901960785,75.45454545454545,79.59183673469387,89.05472636815921,96.0,56.62650602409639,88.30409356725146
details_CausalLM__72B-preview,10.0,77.14314354396925,42.0,74.07407407407408,91.44736842105264,79.0,83.01886792452831,89.58333333333334,53.0,63.0,56.00000000000001,78.03468208092485,53.92156862745098,84.0,80.0,57.01754385964912,80.0,67.98941798941799,55.55555555555556,54.0,89.03225806451613,66.00985221674877,78.0,86.06060606060606,94.44444444444444,98.96373056994818,80.76923076923077,52.96296296296297,83.19327731092437,54.3046357615894,92.84403669724772,67.5925925925926,92.15686274509804,89.45147679324894,81.16591928251121,87.78625954198473,86.77685950413223,85.18518518518519,85.88957055214725,67.85714285714286,86.40776699029125,94.01709401709401,88.0,91.95402298850576,84.6820809248555,56.424581005586596,85.62091503267973,84.56591639871382,88.27160493827161,62.76595744680851,62.58148631029987,82.72058823529412,82.02614379084967,75.45454545454545,79.59183673469387,89.05472636815921,96.0,56.62650602409639,88.30409356725146
