Model,Rank,Average,Average-0,Average-1,Average-2,Average-3,Average-4,Average-5,Average-6,Average-7,Average-8,Average-9,Average-10,Average-11,Average-12,Average-13,Average-14,Average-15,Average-16,Average-17,Average-18,Average-19,Average-20,Average-21,Average-22,Average-23,Average-24,Average-25,Average-26,Average-27,Average-28,Average-29,Average-30,Average-31,Average-32,Average-33,Average-34,Average-35,Average-36,Average-37,Average-38,Average-39,Average-40,Average-41,Average-42,Average-43,Average-44,Average-45,Average-46,Average-47,Average-48,Average-49,Average-50,Average-51,Average-52,Average-53,Average-54,Average-55,Classification Average-0,Classification Average-1,Classification Average-2,Classification Average-3,Classification Average-4,Classification Average-5,Classification Average-6,Classification Average-7,Classification Average-8,Classification Average-9,Classification Average-10,Classification Average-11,Clustering Average-0,Clustering Average-1,Clustering Average-2,Clustering Average-3,Clustering Average-4,Clustering Average-5,Clustering Average-6,Clustering Average-7,Clustering Average-8,Clustering Average-9,Clustering Average-10,Pair Classification Average-0,Pair Classification Average-1,Pair Classification Average-2,Reranking Average-0,Reranking Average-1,Reranking Average-2,Reranking Average-3,Retrieval Average-0,Retrieval Average-1,Retrieval Average-2,Retrieval Average-3,Retrieval Average-4,Retrieval Average-5,Retrieval Average-6,Retrieval Average-7,Retrieval Average-8,Retrieval Average-9,Retrieval Average-10,Retrieval Average-11,Retrieval Average-12,Retrieval Average-13,Retrieval Average-14,STS Average-0,STS Average-1,STS Average-2,STS Average-3,STS Average-4,STS Average-5,STS Average-6,STS Average-7,STS Average-8,STS Average-9,Summarization Average-0
SFR-Embedding-Mistral,1.0,67.55830357142858,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,78.33,78.33,78.33,78.33,78.33,78.33,78.33,78.33,78.33,78.33,78.33,78.33,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,88.54,88.54,88.54,60.64,60.64,60.64,60.64,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,85.05,85.05,85.05,85.05,85.05,85.05,85.05,85.05,85.05,85.05,31.16
voyage-lite-02-instruct,2.0,67.12839285714294,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,79.25,79.25,79.25,79.25,79.25,79.25,79.25,79.25,79.25,79.25,79.25,79.25,52.42,52.42,52.42,52.42,52.42,52.42,52.42,52.42,52.42,52.42,52.42,86.87,86.87,86.87,58.24,58.24,58.24,58.24,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,85.79,85.79,85.79,85.79,85.79,85.79,85.79,85.79,85.79,85.79,31.01
e5-mistral-7b-instruct,3.0,66.63116071428584,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,66.63,78.47,78.47,78.47,78.47,78.47,78.47,78.47,78.47,78.47,78.47,78.47,78.47,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,88.34,88.34,88.34,60.21,60.21,60.21,60.21,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,84.63,84.63,84.63,84.63,84.63,84.63,84.63,84.63,84.63,84.63,31.4
UAE-Large-V1,4.0,64.63776785714278,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,75.58,75.58,75.58,75.58,75.58,75.58,75.58,75.58,75.58,75.58,75.58,75.58,46.73,46.73,46.73,46.73,46.73,46.73,46.73,46.73,46.73,46.73,46.73,87.25,87.25,87.25,59.88,59.88,59.88,59.88,54.66,54.66,54.66,54.66,54.66,54.66,54.66,54.66,54.66,54.66,54.66,54.66,54.66,54.66,54.66,84.54,84.54,84.54,84.54,84.54,84.54,84.54,84.54,84.54,84.54,32.03
text-embedding-3-large,5.0,64.59080357142851,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,75.45,75.45,75.45,75.45,75.45,75.45,75.45,75.45,75.45,75.45,75.45,75.45,49.01,49.01,49.01,49.01,49.01,49.01,49.01,49.01,49.01,49.01,49.01,85.72,85.72,85.72,59.16,59.16,59.16,59.16,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,29.92
voyage-lite-01-instruct,6.0,64.4907142857142,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,74.79,74.79,74.79,74.79,74.79,74.79,74.79,74.79,74.79,74.79,74.79,74.79,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,86.57,86.57,86.57,59.74,59.74,59.74,59.74,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,30.97
Cohere-embed-english-v3.0,7.0,64.47205357142855,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,76.49,76.49,76.49,76.49,76.49,76.49,76.49,76.49,76.49,76.49,76.49,76.49,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,85.84,85.84,85.84,58.01,58.01,58.01,58.01,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,82.62,82.62,82.62,82.62,82.62,82.62,82.62,82.62,82.62,82.62,30.18
bge-large-en-v1.5,8.0,64.23160714285709,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,75.97,75.97,75.97,75.97,75.97,75.97,75.97,75.97,75.97,75.97,75.97,75.97,46.08,46.08,46.08,46.08,46.08,46.08,46.08,46.08,46.08,46.08,46.08,87.12,87.12,87.12,60.03,60.03,60.03,60.03,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,83.11,83.11,83.11,83.11,83.11,83.11,83.11,83.11,83.11,83.11,31.61
Cohere-embed-multilingual-v3.0,9.0,64.01125000000006,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,64.01,76.01,76.01,76.01,76.01,76.01,76.01,76.01,76.01,76.01,76.01,76.01,76.01,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,86.15,86.15,86.15,57.86,57.86,57.86,57.86,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,83.15,83.15,83.15,83.15,83.15,83.15,83.15,83.15,83.15,83.15,30.99
GIST-Embedding-v0,10.0,63.70973214285722,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,63.71,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,86.32,86.32,86.32,59.37,59.37,59.37,59.37,52.31,52.31,52.31,52.31,52.31,52.31,52.31,52.31,52.31,52.31,52.31,52.31,52.31,52.31,52.31,83.51,83.51,83.51,83.51,83.51,83.51,83.51,83.51,83.51,83.51,30.87
