Model,Rank,Average,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K
cloudyu/Yi-34Bx2-MoE-60B,1.0,76.72166666666668,71.08,85.23,77.47,66.19,84.85,75.51
cloudyu/Mixtral_34Bx2_MoE_60B,2.0,76.66000000000001,71.33,85.25,77.34,66.59,84.85,74.6
cloudyu/Mixtral_34Bx2_MoE_60B,3.0,76.63166666666666,71.25,85.36,77.28,66.61,84.69,74.6
moreh/MoMo-70B-lora-1.8.4-DPO,4.0,76.225,69.62,85.35,77.33,64.64,84.14,76.27
cloudyu/Yi-34Bx3-MoE-90B,5.0,76.18333333333335,70.9,85.33,77.41,66.31,84.29,72.86
moreh/MoMo-70B-lora-1.8.5-DPO,6.0,76.14333333333333,69.54,85.6,77.49,65.79,84.14,74.3
TomGrc/FusionNet_7Bx2_MoE_14B,7.0,75.91499999999998,73.55,88.84,64.68,69.6,88.16,70.66
one-man-army/UNA-34Beagles-32K-bf16-v1,8.0,75.41333333333334,73.55,85.93,76.45,73.55,82.95,60.05
jondurbin/nontoxic-bagel-34b-v0.2,9.5,74.68666666666667,72.44,85.64,76.41,72.7,82.48,58.45
jondurbin/bagel-dpo-34b-v0.2,9.5,74.68666666666665,71.93,85.25,76.58,70.05,83.35,60.96
moreh/MoMo-70B-LoRA-V1.4,11.0,74.66499999999999,69.2,85.07,77.12,62.66,83.74,70.2
udkai/Turdus,12.0,74.655,73.38,88.56,64.52,67.11,86.66,67.7
jondurbin/bagel-dpo-34b-v0.2,13.0,74.49833333333333,72.01,85.24,76.58,70.16,83.03,59.97
kodonho/Solar-OrcaDPO-Solar-Instruct-SLERP,14.0,74.34833333333334,70.99,88.22,66.22,71.95,83.43,65.28
kodonho/SolarM-SakuraSolar-SLERP,15.0,74.29166666666667,71.16,88.47,66.24,72.1,83.11,64.67
bhavinjawade/SOLAR-10B-OrcaDPO-Jawade,16.0,74.26666666666667,71.16,88.27,66.12,71.57,83.66,64.82
VAGOsolutions/SauerkrautLM-SOLAR-Instruct,17.0,74.20666666666666,70.82,88.63,66.2,71.95,83.5,64.14
upstage/SOLAR-10.7B-Instruct-v1.0,18.0,74.20166666666667,71.08,88.16,66.21,71.43,83.58,64.75
fblgit/UNA-SOLAR-10.7B-Instruct-v1.0,19.0,74.2,70.56,88.18,66.08,72.05,83.66,64.67
bhavinjawade/SOLAR-10B-Nector-DPO-Jawade,20.0,74.185,71.33,88.62,66.22,70.92,83.43,64.59
dhanushreddy29/BrokenKeyboard,21.0,74.07833333333333,71.25,88.34,66.04,71.36,83.19,64.29
fblgit/UNA-SOLAR-10.7B-Instruct-v1.0,22.0,74.06666666666666,70.73,88.32,66.1,72.52,83.35,63.38
fblgit/UNA-POLAR-10.7B-InstructMath-v2,23.0,74.065,70.73,88.2,66.03,71.73,82.95,64.75
yhyu13/LMCocktail-10.7B-v1,24.0,74.05666666666667,70.65,88.13,66.21,71.03,83.35,64.97
rishiraj/meow,25.0,73.93833333333333,70.48,88.08,66.25,70.49,83.43,64.9
fblgit/UNA-TheBeagle-7b-v1,26.0,73.875,73.04,88.0,63.48,69.85,82.16,66.72
fblgit/UNAversal-8x7B-v1beta,27.0,73.78333333333332,69.8,86.9,70.39,71.97,82.0,61.64
NousResearch/Nous-Hermes-2-Yi-34B,28.0,73.74166666666666,66.89,85.49,76.7,60.37,82.95,70.05
argilla/distilabeled-Marcoro14-7B-slerp,29.0,73.63166666666666,70.73,87.47,65.22,65.1,82.08,71.19
Qwen/Qwen-72B,30.0,73.60000000000001,65.19,85.94,77.37,60.19,82.48,70.43
mlabonne/NeuralMarcoro14-7B,31.0,73.575,71.42,87.59,64.84,65.64,81.22,70.74
abideen/NexoNimbus-7B,32.0,73.50166666666667,70.82,87.86,64.69,62.43,84.85,70.36
Neuronovo/neuronovo-7B-v0.2,33.0,73.44333333333334,73.04,88.32,65.15,71.02,80.66,62.47
cloudyu/Mixtral_7Bx2_MoE,34.0,73.43166666666666,71.25,87.45,64.98,67.23,81.22,68.46
argilla/distilabeled-Marcoro14-7B-slerp-full,35.0,73.39999999999999,70.65,87.55,65.33,64.21,82.0,70.66
cloudyu/Mixtral_7Bx5_MoE_30B,36.0,73.39,69.97,86.82,64.42,65.97,80.98,72.18
CultriX/MistralTrix-v1,37.0,73.38666666666667,72.27,88.33,65.24,70.73,80.98,62.77
macadeliccc/SOLAR-math-2x10.7b,38.0,73.37333333333335,68.43,86.31,66.9,64.21,83.35,71.04
ryandt/MusingCaterpillar,39.0,73.32666666666667,72.53,88.34,65.26,70.93,80.66,62.24
cloudyu/Mixtral_7Bx6_MoE_35B,40.0,73.32000000000001,70.14,86.77,64.74,65.79,81.06,71.42
cloudyu/Mixtral_7Bx6_MoE_35B,41.0,73.31333333333332,69.97,86.82,64.91,65.77,81.14,71.27
Neuronovo/neuronovo-7B-v0.3,42.0,73.28666666666665,72.7,88.26,65.1,71.35,80.9,61.41
SUSTech/SUS-Chat-34B,43.0,73.22333333333333,66.3,83.91,76.41,57.04,83.5,72.18
Sao10K/SOLAR-10.7B-NahIdWin,44.0,73.215,64.51,85.67,64.17,76.73,80.51,67.7
argilla/notus-8x7b-experiment,45.0,73.18166666666667,70.99,87.73,71.33,65.79,81.61,61.64
CultriX/MistralTrixTest,46.5,73.17,72.53,88.4,65.22,70.77,81.37,60.73
CultriX/MistralTrixTest,46.5,73.17,72.53,88.4,65.22,70.77,81.37,60.73
macadeliccc/Orca-SOLAR-4x10.7b,48.5,73.16666666666667,68.52,86.78,67.03,64.54,83.9,68.23
macadeliccc/Orca-SOLAR-4x10.7b,48.5,73.16666666666667,68.52,86.78,67.03,64.54,83.9,68.23
samir-fama/SamirGPT-v1,50.5,73.11,69.54,87.04,65.3,63.37,81.69,71.72
samir-fama/SamirGPT-v1,50.5,73.11,69.54,87.04,65.3,63.37,81.69,71.72
SanjiWatsuki/Lelantos-DPO-7B,52.5,73.09333333333333,71.08,87.22,64.0,67.77,80.03,68.46
SanjiWatsuki/Lelantos-DPO-7B,52.5,73.09333333333333,71.08,87.22,64.0,67.77,80.03,68.46
