Model,Rank,Average,BoolQ,CB,COPA,MultiRC,ReCoRD,RTE,WiC,WSC
Vega v2,1.0,91.28125,90.5,98.9,99.4,75.3,94.15,96.0,77.4,98.6
ST-MoE-32B,2.0,91.16250000000001,92.4,97.45,99.2,77.69999999999999,94.75,93.5,77.7,96.6
Turing NLR v5 ,3.0,90.9125,92.0,96.75,98.2,75.7,96.15,94.1,77.1,97.3
ERNIE 3.0,4.0,90.61874999999999,91.0,98.9,97.4,75.9,94.45,92.6,77.4,97.3
PaLM 540B,5.0,90.425,91.9,95.2,99.0,76.15,93.75,94.1,77.4,95.9
T5 + UDG  Single Model (Google Brain),6.0,90.3875,91.4,96.69999999999999,98.0,75.65,93.85,93.0,77.9,96.6
DeBERTa / TuringNLRv4,7.0,90.28750000000001,90.4,96.65,98.4,75.95,94.3,93.2,77.5,95.9
SuperGLUE Human Baselines,8.0,89.78750000000001,89.0,97.35,100.0,66.85,91.5,93.6,80.0,100.0
T5,9.0,89.24999999999999,91.2,95.35,94.8,75.69999999999999,93.75,92.5,76.9,93.8
Frozen T5 1.1 + SPoT,10.0,89.20624999999998,91.1,96.69999999999999,95.6,74.9,92.85,92.9,75.8,93.8
NEZHA-Plus,11.0,86.65000000000002,87.8,95.2,93.6,69.85,89.85,89.1,74.6,93.2
PAI Albert,12.0,86.0875,88.1,94.4,91.8,69.65,88.65,88.8,74.1,93.2
RoBERTa-iCETS,13.0,85.94999999999999,88.5,94.2,91.2,72.30000000000001,89.6,89.9,72.9,89.0
RoBERTa (ensemble),14.0,85.875,88.2,94.05,90.8,68.9,91.25,87.9,74.1,91.8
RoBERTa-mtl-adv,15.0,85.6875,87.1,94.0,91.2,69.69999999999999,91.5,88.1,72.1,91.8
RoBERTa,16.0,84.55,87.1,92.85,90.6,68.45,90.3,88.2,69.9,89.0
AILabs Team  Transformers,17.0,82.6375,88.1,93.19999999999999,86.8,69.9,81.3,88.9,74.1,78.8
FSL++(ALBERT)-Few-Shot(32 Examples),18.0,77.66875,81.1,89.9,87.0,57.849999999999994,81.5,75.1,60.5,88.4
Text to Text PETL,19.0,76.98750000000001,82.0,89.65,80.2,62.6,81.75,78.1,67.6,74.0
INSTALL(ALBERT)-few-shot,20.0,76.63125,78.4,88.95,85.6,55.5,83.9,74.9,60.9,84.9
ADAPET (ALBERT) - few-shot,21.0,76.05,80.0,87.15,85.4,55.95,85.8,75.0,53.5,85.6
iPET (ALBERT) - Few-Shot (32 Examples),22.0,75.425,81.2,84.35,90.8,52.9,85.65,70.8,49.3,88.4
Bort (Alexa AI),23.0,74.10624999999999,83.7,84.15,89.6,68.9,49.4,81.2,70.1,65.8
BERT-mtl,24.0,73.48125,84.8,91.8,73.8,51.85,74.3,84.1,66.2,61.0
GPT-3 few-shot - OpenAI,25.0,71.7875,76.4,63.8,92.0,52.95,90.65,69.0,49.4,80.1
BERT++,26.0,71.5125,79.0,87.6,73.8,47.05,71.65,79.0,69.6,64.4
select-step-by-step,27.0,51.91875000000001,62.2,72.1,96.4,0.25,13.8,49.7,53.1,67.8
WARP (ALBERT-XXL-V2) - Few-Shot (32 Examples),28.0,48.75625,62.2,76.30000000000001,51.6,0.25,13.8,69.1,53.1,63.7
